Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Forward P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
NVDA	5144920000000.0	0.0027	0.8297	1.1429	77.17%	3.44	2.85	0.06	0.07	0.7415	0.6402	0.6297	May 20/a	212.6	-0.0105	161891409.0	NVIDIA Corp	Technology	Semiconductors	USA	32.56	2.23	7.39	-0.0095	0.0733	0.1348	-0.1012	0.5995	51.04	-0.006500000000000001	-0.004	17.19	0.39	20.3	26.34	63.85	48.5	0.8598	0.39390000000000003	0.9527	0.44049999999999995	0.669	True	True	True	True	True	True	True	True	True	True	True	True	2026-05-27	100
MU	1047000000000.0	0.0006	0.2762	0.3982	29.16%	2.9	2.32	0.14	0.15	0.5854	0.4865	0.41490000000000005	Mar 18/a	928.41	0.0363	71306848.0	Micron Technology Inc	Technology	Semiconductors	USA	43.83	2.08	56.7	0.3104	0.7252	1.8089	0.0127	9.0673	76.45	-0.028999999999999998	0.0673	9.15	0.08	18.01	14.45	71.64	101.84	6.0961	0.7245999999999999	0.2619	1.2173	0.1176	True	True	True	True	True	True	True	True	True	True	True	True	2026-05-27	100
AVGO	1997370000000.0	0.006500000000000001	0.149	0.3337	17.38%	1.9	1.73	0.8	0.83	0.6496	0.4157	0.3657	Jun 03/a	421.86	-0.0004	17353399.0	Broadcom Inc	Technology	Semiconductors	USA	82.29	1.42	15.24	0.0034999999999999996	0.1073	0.2018	-0.0463	0.8251999999999999	56.37	-0.0074	0.0070999999999999995	23.25	0.47	29.25	25.01	140.92	69.09	0.6524	0.6102000000000001	0.4976	0.4959	0.21739999999999998	True	True	True	True	True	True	True	True	True	True	True	True	2026-05-27	100
NBIX	15670000000.0		0.15560000000000002	0.225	17.53%	2.93	2.85	0.12	0.12	0.9817	0.2575	0.2155	May 05/a	155.83	0.0006	708662.0	Neurocrine Biosciences Inc	Healthcare	Drug Manufacturers - Specialty & Generic	USA	23.96	0.38	4.15	0.0431	0.1305	0.1197	-0.0404	0.30269999999999997	66.84	-0.0058	0.006500000000000001	16.45	0.45	5.05	4.6	11.9	18.85	0.629	0.24530000000000002	0.0231	0.36210000000000003	0.2229	True	True	True	True	True	True	True	True	True	True	True	True	2026-05-27	100
STRL	24000000000.0		0.1439	0.3475	23.10%	1.1	1.1	0.26	0.29	0.2243	0.1741	0.1202	May 04/a	782.12	-0.0018	389016.0	Sterling Infrastructure Inc	Industrials	Engineering & Construction	USA	69.92	1.75	49.32	0.0434	0.38549999999999995	0.9425	-0.1243	3.2645999999999997	60.31	-0.017	0.0154	33.66	0.87	8.32	20.17	46.89	54.51	0.7195999999999999	0.242	0.4426	0.3851	0.1177	True	True	True	True	True	True	True	True	True	True	True	True	2026-05-27	95
AMAT	355890000000.0	0.0040999999999999995	0.2302	0.3969	28.49%	2.51	1.8	0.25	0.3	0.48960000000000004	0.3013	0.29309999999999997	May 14/a	448.25	-0.0146	5043457.0	Applied Materials Inc	Technology	Semiconductor Equipment & Materials	USA	42.12	1.67	18.36	0.062	0.13970000000000002	0.5461	-0.0187	1.9208	61.35	-0.025699999999999997	0.011399999999999999	27.60	0.98	12.26	14.89	43.19	66.61	0.2933	0.3329	0.1718	0.2805	0.1052	True	True	True	True	True	True	True	True	True	True	True	True	2026-05-27	95
SIMO	9560000000.0	0.0068000000000000005	0.1477	0.2023	18.73%	2.85	1.38	0.0	0.0	0.48090000000000005	0.1277	0.15990000000000001	Apr 28/a	284.98	-0.0184	847437.0	Silicon Motion Technology Corp ADR	Technology	Semiconductors	Hong Kong	56.68	1.73	17.48	0.12689999999999999	0.6046	1.3883	-0.030699999999999998	3.7220999999999997	73.73	-0.0103	-0.008199999999999999	28.18	0.58	9.01	10.55	46.21		1.3840999999999999	0.195	0.0977	0.4854	0.1039	True	True	True	True	True	True	True	True	True	True	True	True	2026-05-27	95
LLY	1019830000000.0	0.0066	0.24539999999999998	1.0764	35.82%	1.5	1.1	1.26	1.39	0.8283	0.473	0.34979999999999994	Apr 30/b	1082.92	0.0171	2553362.0	Lilly(Eli) & Co	Healthcare	Drug Manufacturers - General	USA	38.98	0.51	29.51	0.08929999999999999	0.1438	0.1611	-0.045	0.7361	70.67	0.0121	0.0049	24.37	0.86	14.12	32.75	193.08	86.26	0.5075	0.21739999999999998	0.2759	0.2818	0.2158	True	True	True	True	True	True	True	True	True	True	True	True	2026-05-27	95
AMG	8130000000.000001	0.0001	0.0833	0.2404	12.56%	1.18	1.18	0.94	0.94	0.9361	0.1954	0.3542	May 01/b	307.92	-0.0024	451149.0	Affiliated Managers Group Inc	Financial	Asset Management	USA	12.55	1.14	9.76	0.0265	0.0605	0.1259	-0.0802	0.7846	59.71	-0.0033	0.001	7.79	0.36	3.82	2.64	21.62	7.44	0.32549999999999996	0.1441	0.3932	0.2163	0.0054	True	True	True	True	True	True	True	True	True	True	True	True	2026-05-27	95
NXPI	83120000000.0	0.0131	0.1015	0.262	12.11%	2.24	1.55	1.0	1.07	0.5371	0.2631	0.21030000000000001	Apr 28/a	329.24	-0.0103	3782969.0	NXP Semiconductors NV	Technology	Semiconductors	Netherlands	31.5	1.8	12.85	0.096	0.3475	0.4475	-0.0169	0.7990999999999999	71.11	-0.0233	0.013300000000000001	18.71	0.93	6.59	7.61	22.42	29.83	0.2429	0.19899999999999998	1.1219	0.20079999999999998	0.0733	True	True	True	True	True	True	True	True	True	True	True	True	2026-05-27	95
