Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Forward P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
AGI	20000000000.0	0.0026	0.1512	0.2206	19.02%	1.72	1.33	0.05	0.05	0.5326	0.4805	0.48969999999999997	Feb 18/a	47.62	0.0245	3373121.0	Alamos Gold Inc	Basic Materials	Gold	Canada	22.71	0.65	2.47	0.08289999999999999	0.053099999999999994	0.3345	-0.1406	1.0051	57.8	-0.0232	0.048799999999999996	13.25	0.33	11.06	4.5	29.32	74.88	1.0392000000000001	0.2589	0.4175	0.3998	0.1931	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-08	100
AVGO	1660120000000.0	0.0078000000000000005	0.149	0.3337	17.38%	1.9	1.73	0.8	0.83	0.6496	0.4157	0.3657	Mar 04/a	350.63	0.0499	31358446.0	Broadcom Inc	Technology	Semiconductors	USA	68.4	1.3	13.14	0.0971	0.0775	0.0655	-0.1543	1.2904	64.37	-0.0036	0.0537	19.69	0.41	24.31	20.79	117.12	57.42	0.6557	0.5766	0.4976	0.4781	0.21739999999999998	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-08	100
MU	458830000000.0	0.0014000000000000002	0.2762	0.3982	29.16%	2.9	2.32	0.14	0.15	0.5854	0.4865	0.41490000000000005	Mar 18/a	406.86	0.0775	48811330.0	Micron Technology Inc	Technology	Semiconductors	USA	19.21	1.66	26.8	0.025699999999999997	0.0095	0.6467	-0.1368	5.4052	54.5	-0.0208	0.10039999999999999	4.36	0.04	7.89	6.33	31.39	44.63	5.8448	0.6431999999999999	0.2619	1.1097	0.1176	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-08	100
CGAU	3790000000.0	0.0109	0.2224	0.3143	28.20%	2.39	1.65	0.01	0.01	0.2547	0.18710000000000002	0.44689999999999996	Feb 19/a	18.99	0.021	1315387.0	Centerra Gold Inc	Basic Materials	Gold	Canada	6.68	0.89	1.03	0.0809	0.0371	0.5001	-0.10300000000000001	2.478	58.6	-0.0291	0.0516	8.99	0.43	2.9	1.84	7.01	40.7	0.8264	0.0424	0.1553	0.2113	0.1295	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-08	95
EXEL	11490000000.0		0.2667	0.3553	33.52%	3.56	3.5	0.08	0.09	0.9639	0.3848	0.3373	Feb 10/a	44.23	0.0055000000000000005	2628325.0	Exelixis Inc	Healthcare	Biotechnology	USA	15.89	0.4	1.09	0.0463	0.0359	0.0625	-0.10859999999999999	0.366	61.9	-0.0083	0.0139	11.27	0.72	4.95	5.37	10.85	13.12	0.0775	0.1822	0.5119	0.15689999999999998	0.1863	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-08	90
KGC	39700000000.0	0.0045000000000000005	0.2054	0.3096	25.61%	2.35	1.37	0.09	0.09	0.47450000000000003	0.4341	0.33899999999999997	Apr 29/a	33.09	0.04650000000000001	10856224.0	Kinross Gold Corp	Basic Materials	Gold	Canada	16.89	0.82	1.64	0.1017	0.0167	0.2864	-0.1539	1.7948	58.84	-0.0042	0.0509	9.65	0.51	5.63	4.63	22.61	15.73	0.693	0.10060000000000001	0.1292	0.1906	0.1085	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-08	90
CLS	36870000000.0		0.1261	0.40490000000000004	27.08%	1.44	0.88	0.39	0.41	0.11539999999999999	0.0812	0.0672	Jan 28/a	320.7	0.0786	2616658.0	Celestica, Inc	Technology	Electronic Components	Canada	44.69	1.95	19.05	0.1351	0.1219	0.22699999999999998	-0.1175	3.7504000000000004	61.89	0.0183	0.0592	24.90	0.61	2.98	16.63	61.91	80.28	0.48	0.43829999999999997	0.7248	0.4081	0.166	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-08	90
SSRM	7130000000.0		0.0702	0.1197	10.83%	2.08	1.25	0.04	0.11	0.35729999999999995	0.28859999999999997	0.24280000000000002	Feb 17/a	35.08	0.0764	6615388.0	SSR Mining Inc	Basic Materials	Gold	USA	19.2	-0.14	2.12	0.2492	0.2491	0.6081	0.0475	2.8381	69.01	0.0037	0.0724	6.73	0.21	4.38	2.03	12.39	29.45	1.2266	0.1654	0.12990000000000002	0.3271	0.1382	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-08	90
JBL	30320000000.0	0.0011	0.0426	0.5988	15.76%	1.01	0.68	2.82	3.27	0.10640000000000001	0.049800000000000004	0.0248	Mar 18/b	287.14	0.0524	1210441.0	Jabil Inc	Technology	Electronic Components	USA	38.51	1.19	13.06	0.0857	0.1104	0.2591	0.011899999999999999	1.4387999999999999	61.52	0.0182	0.0335	19.88	0.98	0.93	22.82	16.57	23.78	0.2627	0.17329999999999998	0.7636	0.2022	0.0179	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-08	85
PAHC	2380000000.0	0.008199999999999999	0.0684	0.318	8.56%	3.05	1.22	2.24	2.33	0.3178	0.11900000000000001	0.0629	Feb 04/a	58.74	0.0553	386025.0	Phibro Animal Health Corp	Healthcare	Drug Manufacturers - Specialty & Generic	USA	26.04	0.71	2.74	0.096	0.154	0.46	0.0194	2.6349	66.55	0.0044	0.0507	17.46	0.83	1.63	7.16	32.0	50.41	0.4474	0.1124	0.0745	0.2104	0.1012	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-08	85
LRCX	307810000000.0	0.0042	0.3014	0.6556000000000001	44.78%	2.26	1.61	0.37	0.44	0.498	0.33759999999999996	0.30219999999999997	Apr 22/a	246.49	0.0987	10987129.0	Lam Research Corp	Technology	Semiconductor Equipment & Materials	USA	50.52	1.82	12.77	0.1084	0.08439999999999999	0.5368999999999999	-0.0397	3.1963	61.28	0.0154	0.08199999999999999	34.62	1.28	14.97	30.4	49.8	49.52	0.2894	0.33390000000000003	0.2242	0.2701	0.1292	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-08	85
EVR	12910000000.0	0.010700000000000001	0.1225	0.3166	19.22%	2.16	2.16	0.52	0.57	0.9884000000000001	0.21239999999999998	0.15259999999999999	Feb 04/b	326.02	0.0623	699482.0	Evercore Inc	Financial	Capital Markets	USA	23.28	1.56	13.84	0.1369	0.0437	0.0229	-0.1613	1.0329000000000002	66.99	0.002	0.0602	14.25	0.74	3.33	6.18	4.29	11.13	0.2639	0.2433	0.113	0.1928	0.1118	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-08	85
SQM	11780000000.0	0.0232	0.0451	0.1081	5.90%	3.27	2.25	0.75	0.84	0.2933	0.245	0.1284	Feb 28/a	82.48	0.0504	1279659.0	Sociedad Quimica Y Minera de Chile S.A. ADR	Basic Materials	Specialty Chemicals	Chile	40.05	1.01	3.77	0.055999999999999994	0.08560000000000001	0.44060000000000005	-0.0424	1.8093000000000001	58.04	0.013600000000000001	0.0363	13.20	0.37	2.57	4.14	4.32	26.96	1.8318	0.0712	0.2712	0.35450000000000004	0.20120000000000002	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-08	85
BOH	3100000000.0	0.0358	0.0086	0.11699999999999999	7.42%	0.07		0.35	0.38		0.2452	0.17300000000000001	Apr 20/b	78.23	0.0226	337304.0	Bank of Hawaii Corp	Financial	Banks - Regional	USA	16.91	0.72	1.98	0.0625	0.034	0.133	-0.029500000000000002	0.3618	65.92	-0.0015	0.0242	11.31	0.56	2.9	2.06		16.84	0.2944	0.1545	0.037200000000000004	0.20149999999999998	0.0897	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-08	80
NSSC	1520000000.0	0.0134	0.22829999999999998	0.2642	24.95%	7.99	6.55	0.03	0.03	0.5625	0.26890000000000003	0.247	Feb 02/b	42.62	0.026699999999999998	547865.0	NAPCO Security Technologies Inc	Industrials	Security & Protection Services	USA	32.3	1.53	1.68	0.034	0.0052	0.0859	-0.1143	1.1945999999999999	55.07	-0.0196	0.0472	27.03	1.62	7.92	8.22	13.17	28.33	0.2059	0.0987	0.3885	0.16670000000000001	0.12369999999999999	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-08	80
GOOG	3818570000000.0	0.0027	0.2528	0.35700000000000004	27.73%	2.01	2.01	0.15	0.16	0.5968	0.32939999999999997	0.32789999999999997	Feb 04/a	314.79	0.035699999999999996	20672566.0	Alphabet Inc	Communication Services	Internet Content & Information	USA	29.13	1.1	8.47	0.060700000000000004	0.0199	0.177	-0.10099999999999999	1.1678	61.81	-0.0096	0.0458	23.37	1.82	9.47	9.16	30.1	52.12	0.060899999999999996	0.1746	0.2982	0.1284	0.1718	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-08	80
BAP	28020000000.0	0.042	0.0263	0.1888	10.78%	0.41		0.58	0.89		0.33049999999999996	0.2293	Feb 13/b	352.25	0.043899999999999995	318899.0	Credicorp Ltd	Financial	Banks - Regional	Peru	14.43	0.96	11.85	0.059699999999999996	0.0291	0.2523	-0.0735	1.1206	60.1	0.0034999999999999996	0.0403	10.93	0.87	3.31	2.45		10.67	0.1374	0.1182	0.8127	0.125	0.08789999999999999	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-08	80
CRS	21310000000.0	0.0019	0.1273	0.2348	16.25%	4.25	2.26	0.35	0.35	0.2897	0.20420000000000002	0.1476	Apr 29/b	427.84	0.0859	1296236.0	Carpenter Technology Corp	Industrials	Metal Fabrication	USA	49.7	1.31	20.96	0.1033	0.1321	0.3922	0.016	1.9142	62.32	0.0316	0.0526	35.23	1.46	7.24	10.73	91.9	67.29	0.37270000000000003	0.1826	2.1797999999999997	0.24109999999999998	0.057	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-08	80
KLAC	219200000000.0	0.004699999999999999	0.2874	1.0073	39.55%	2.77	1.95	1.11	1.12	0.605	0.4254	0.3578	Apr 29/a	1672.34	0.0797	1020377.0	KLA Corp	Technology	Semiconductor Equipment & Materials	USA	48.58	1.49	72.1	0.11960000000000001	0.1306	0.4104	-0.0124	1.8499	66.44	0.0062	0.0731	34.86	1.94	17.21	40.13	42.09	50.08	0.0992	0.3115	0.3157	0.1801	0.1593	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-08	80
GOOGL	3829980000000.0	0.0027	0.2528	0.35700000000000004	27.73%	2.01	2.01	0.15	0.16	0.5968	0.32939999999999997	0.32789999999999997	Feb 04/a	317.32	0.0388	32690944.0	Alphabet Inc	Communication Services	Internet Content & Information	USA	29.37	1.1	8.84	0.0644	0.0268	0.1883	-0.0908	1.2186	62.0	-0.011399999999999999	0.0508	23.56	1.83	9.5	9.24	30.19	52.27	0.060899999999999996	0.1745	0.2982	0.1286	0.1718	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-08	80
WWD	23550000000.0	0.0031	0.1084	0.20379999999999998	15.95%	2.05	1.36	0.18	0.35	0.2793	0.15810000000000002	0.12890000000000001	Feb 02/a	394.97	0.0528	800924.0	Woodward Inc	Industrials	Aerospace & Defense	USA	49.74	1.0	15.81	0.0764	0.0602	0.3425	-0.0207	1.5563999999999998	60.7	-0.0001	0.0529	38.65	1.9	6.21	9.12	51.84	57.47	0.2718	0.16620000000000001	0.13949999999999999	0.2039	0.0741	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-08	80
SCHW	169440000000.0	0.0125	0.0182	0.18100000000000002	12.02%	1.28	1.28	0.42	0.64	0.8342	0.4764	0.3041	Apr 16/b	96.7	0.036000000000000004	10280951.0	Charles Schwab Corp	Financial	Capital Markets	USA	20.75	0.89	2.5	0.031200000000000002	0.004	0.0106	-0.1005	0.4305	57.28	0.0191	0.0166	13.90	0.76	6.12	3.99	2.34	12.77	0.2253	0.1656	0.1702	0.1837	0.17980000000000002	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-08	80
AEM	108010000000.0	0.0076	0.1384	0.19579999999999997	17.82%	2.02	1.33	0.01	0.01	0.5639	0.5346	0.3747	Apr 30/a	215.59	0.0285	2925979.0	Agnico Eagle Mines Ltd	Basic Materials	Gold	Canada	24.29	0.7	10.09	0.0737	0.0152	0.26739999999999997	-0.1553	1.177	57.06	-0.0216	0.0512	14.66	0.91	9.07	4.36	37.57	24.63	0.6804000000000001	0.056900000000000006	0.3322	0.1605	0.3057	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-08	80
WBS	11550000000.0	0.0225	0.0121	0.1065	9.37%	0.05		0.1	0.48		0.2851	0.2206	Jan 23/b	71.64	0.0268	2882353.0	Webster Financial Corp	Financial	Banks - Regional	USA	12.13	1.07	1.26	0.0393	0.024900000000000002	0.1495	-0.0319	0.7928000000000001	60.9	-0.0039000000000000003	0.0308	9.64	0.85	2.61	1.25		11.45	0.11410000000000001	0.12279999999999999	0.2026	0.1128	0.2817	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-08	80
VICR	8170000000.0		0.16140000000000002	0.185	16.53%	8.99	7.59	0.01	0.01	0.5642	0.09029999999999999	0.2908	Apr 21/b	179.99	0.1261	822735.0	Vicor Corp	Technology	Electronic Components	USA	69.11	1.99	15.77	0.0555	0.050499999999999996	0.8251999999999999	-0.141	3.6239999999999997	54.82	0.0275	0.096	37.71	1.18	20.03	11.45	20.27	68.5	0.0219	0.7896	0.449	0.31980000000000003	0.06570000000000001	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-08	80
