Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Forward P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
HALO	8439999999.999999		0.1433	0.9940000000000001	16.18%	2.76	2.33	8.81	9.76	0.7693000000000001	0.5696	0.23129999999999998	May 11/a	71.15	0.022000000000000002	1937676.0	Halozyme Therapeutics Inc	Healthcare	Biotechnology	USA	25.59	0.85	2.21	0.0227	0.0461	0.0297	-0.1346	0.3935	57.32	0.0147	0.0072	7.17	0.18	5.59	38.39	26.49	12.64	0.9541	0.2241	0.2289	0.391	0.39159999999999995	True	True	True	True	True	True	True	True	True	True	True	True	2026-06-24	100
MU	1182440000000.0	0.0005	0.2762	0.3982	29.16%	2.9	2.32	0.14	0.15	0.5854	0.4865	0.41490000000000005	Jun 24/a	1048.51	-0.0031	62538266.0	Micron Technology Inc	Technology	Semiconductors	USA	49.5	2.14	86.85	0.0374	0.3553	1.5238999999999998	-0.136	9.1423	56.81	-0.0253	0.022799999999999997	8.61	0.06	20.35	16.32	80.91	115.01	6.6547	0.9187000000000001	0.2619	1.4828000000000001	0.1176	True	True	True	True	True	True	True	True	True	True	True	True	2026-06-24	100
NBIX	16700000000.0		0.15560000000000002	0.225	17.53%	2.93	2.85	0.12	0.12	0.9817	0.2575	0.2155	May 05/a	166.06	0.0286	1361910.0	Neurocrine Biosciences Inc	Healthcare	Drug Manufacturers - Specialty & Generic	USA	25.53	0.39	4.82	0.0325	0.1101	0.1725	-0.0207	0.35960000000000003	62.69	0.0161	0.0123	17.16	0.46	5.38	4.9	12.69	20.09	0.6533	0.25370000000000004	0.0231	0.3753	0.2229	True	True	True	True	True	True	True	True	True	True	True	True	2026-06-24	100
AMG	8960000000.0	0.0001	0.0833	0.2404	12.56%	1.18	1.18	0.94	0.94	0.9361	0.1954	0.3542	May 01/b	339.1	-0.0318	255778.0	Affiliated Managers Group Inc	Financial	Asset Management	USA	13.82	1.08	10.52	0.013999999999999999	0.0842	0.1935	-0.0681	0.8329000000000001	55.77	-0.0316	-0.0002	8.45	0.36	4.2	2.91	23.81	8.19	0.34130000000000005	0.1481	0.3932	0.2359	0.0054	True	True	True	True	True	True	True	True	True	True	True	True	2026-06-24	95
LLY	1052170000000.0001	0.0062	0.24539999999999998	1.0764	35.82%	1.5	1.1	1.26	1.39	0.8283	0.473	0.34979999999999994	Apr 30/b	1117.26	0.0092	2893971.0	Lilly(Eli) & Co	Healthcare	Drug Manufacturers - General	USA	40.22	0.52	34.58	0.0016	0.0941	0.14980000000000002	-0.0554	0.7911	58.05	-0.015600000000000001	0.0252	25.08	0.88	14.56	33.79	199.2	88.99	0.5115999999999999	0.2173	0.2759	0.2848	0.2158	True	True	True	True	True	True	True	True	True	True	True	True	2026-06-24	95
NXPI	74240000000.0	0.015600000000000001	0.1015	0.262	12.11%	2.24	1.55	1.0	1.07	0.5371	0.2631	0.21030000000000001	Apr 28/a	294.06	-0.0196	3579498.0	NXP Semiconductors NV	Technology	Semiconductors	Netherlands	28.14	1.79	15.82	-0.0506	0.0248	0.2515	-0.135	0.6069	47.19	-0.0167	-0.0029	16.60	0.8	5.89	6.8	20.02	26.64	0.2498	0.2003	1.1219	0.2072	0.0733	True	True	True	True	True	True	True	True	True	True	True	True	2026-06-24	95
SIMO	10790000000.0	0.0068000000000000005	0.1477	0.2023	18.73%	2.85	1.38	0.0	0.0	0.48090000000000005	0.1277	0.15990000000000001	Apr 28/a	321.66	0.0083	819672.0	Silicon Motion Technology Corp ADR	Technology	Semiconductors	Hong Kong	63.98	1.67	24.15	0.1152	0.3289	1.3078	-0.09390000000000001	3.5876	64.31	0.0042	0.0040999999999999995	30.49	0.56	10.17	11.91	52.16		1.484	0.1962	0.0977	0.5488000000000001	0.1039	True	True	True	True	True	True	True	True	True	True	True	True	2026-06-24	95
STRL	26610000000.0		0.1439	0.3475	23.10%	1.1	1.1	0.26	0.29	0.2243	0.1741	0.1202	May 04/a	867.23	-0.027999999999999997	615999.0	Sterling Infrastructure Inc	Industrials	Engineering & Construction	USA	77.53	1.81	63.77	-0.0008	0.1784	0.8914	-0.1377	2.9953	53.99	-0.027999999999999997	0.0	36.06	0.94	9.22	22.37	51.99	60.45	0.7365	0.2731	0.4426	0.3851	0.1177	True	True	True	True	True	True	True	True	True	True	True	True	2026-06-24	95
LRCX	468710000000.0	0.0028000000000000004	0.3292	0.6676000000000001	46.86%	2.54	1.77	0.35	0.35	0.49979999999999997	0.34259999999999996	0.3094	Apr 22/a	374.8	0.009300000000000001	11492530.0	Lam Research Corp	Technology	Semiconductor Equipment & Materials	USA	70.74	1.8	23.22	0.0755	0.22690000000000002	0.7486	-0.08529999999999999	3.1216000000000004	59.42	0.0259	-0.0161	46.42	1.38	21.62	44.28	98.66	78.06	0.3736	0.42	0.2242	0.3361	0.1292	True	True	True	True	True	True	True	True	True	True	True	True	2026-06-24	90
EXEL	13290000000.0		0.3069	0.40990000000000004	39.59%	3.26	3.19	0.09	0.09	0.9643999999999999	0.4029	0.3508	May 05/a	52.87	0.0298	2931584.0	Exelixis Inc	Healthcare	Biotechnology	USA	17.52	0.43	1.56	0.020099999999999996	0.0802	0.2097	-0.0197	0.5663	58.89	0.0191	0.0105	13.32	0.99	5.59	6.93	17.1	14.48	0.1434	0.1268	0.5119	0.13390000000000002	0.1863	True	True	True	True	True	True	True	True	True	True	True	True	2026-06-24	90
