Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Forward P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
CDNA	2710000000.0		0.22719999999999999	0.2949	25.30%	4.58	4.51	0.03	0.05	0.7011	-0.004	0.24230000000000002	Jul 30/a	52.37	4.20%	795098.0	Caredx Inc	Healthcare	Diagnostics & Research	USA	25.24	2.42	2.3	0.0596	0.2216	1.0208	-0.0242	2.9583999999999997	68.24	0.037200000000000004	0.0046	39.44	0.84	5.91	6.33	7.25	31.99	1.0755	0.10310000000000001	0.0009	0.4693	0.1459	True	True	True	True	True	True	True	True	True	True	True	True	2026-09-14	100
HALO	12250000000.0		0.17859999999999998	1.7367	19.87%	2.71	2.31	13.5	14.96	0.764	0.5677	0.2486	Aug 06/a	107.94	0.69%	912503.0	Halozyme Therapeutics Inc	Healthcare	Biotechnology	USA	32.25	0.88	2.68	0.0042	0.1522	0.43670000000000003	-0.028900000000000002	0.763	64.01	-0.0006	0.0075	10.48	0.25	7.36	85.76	53.03	15.2	1.0275	0.22390000000000002	0.2289	0.41350000000000003	0.39159999999999995	True	True	True	True	True	True	True	True	True	True	True	True	2026-09-14	100
ETON	1650000000.0		0.1167	0.35969999999999996	19.01%	1.52	1.3	0.43	0.63	0.5787	0.1563	0.1202	Aug 13/a	57.62	0.95%	352240.0	Eton Pharmaceuticals Inc	Healthcare	Drug Manufacturers - Specialty & Generic	USA	152.35	0.89	3.05	-0.051100000000000007	0.1547	0.9655	-0.1318	3.0378	53.84	-0.0115	0.0212	27.44	0.26	15.6	34.99	61.36	111.81	2.1071	0.9309999999999999	0.33659999999999995	1.074	3.5957	True	True	True	True	True	True	True	True	True	True	True	True	2026-09-14	95
CACC	6280000000.0		0.0579	0.3193	7.69%	0.29	0.29	3.11	3.96	0.9769	0.48560000000000003	0.21539999999999998	Aug 04/a	605.36	0.19%	64002.0	Credit Acceptance Corp	Financial	Credit Services	USA	13.31	1.39	15.17	0.0154	0.0134	0.1568	-0.0949	0.5062	55.51	-0.0003	0.0021	10.58	0.48	2.7	3.95	12.55	5.15	0.2274	0.1794	0.0916	0.22149999999999997	0.0678	True	True	False	True	True	True	True	True	True	True	True	True	2026-09-14	95
EXEL	13930000000.0		0.3328	0.4439	42.82%	3.46	3.38	0.09	0.09	0.9648	0.4072	0.3533	Aug 05/a	56.21	0.16%	1739681.0	Exelixis Inc	Healthcare	Biotechnology	USA	17.66	0.47	1.62	0.005	0.0165	0.1704	-0.0588	0.6652	51.45	-0.0040999999999999995	0.005699999999999999	13.56	0.78	5.72	7.59	16.59	11.88	0.1406	0.1804	0.5119	0.17300000000000001	0.1863	True	True	True	True	True	True	True	True	True	True	True	True	2026-09-14	90
FIVE	13740000000.0		0.1253	0.2825	14.72%	2.22	1.29	0.7	0.82	0.3649	0.1475	0.1165	Sep 02/a	249.59	2.04%	858612.0	Five Below Inc	Consumer Cyclical	Specialty Retail	USA	22.39	0.93	9.91	0.0109	0.1109	0.1843	-0.0541	0.8116	56.84	0.023399999999999997	-0.0029	22.56	0.96	2.59	5.55	11.57	22.93	0.5366	0.0794	0.2407	0.2353	0.1941	True	True	True	True	True	True	True	True	True	True	True	True	2026-09-14	90
GEN	18800000000.0	0.0163	0.0658	0.4194	9.90%	0.47	0.47	3.0	3.08	0.7368000000000001	0.428	0.2073	Aug 06/a	31.41	3.80%	6880279.0	Gen Digital Inc	Technology	Software - Infrastructure	USA	18.23	1.22	0.91	0.057300000000000004	0.11320000000000001	0.2713	-0.0074	0.7666	64.12	0.022799999999999997	0.0149	9.50	0.78	3.7	7.08	33.34	12.15	0.1441	0.1285	0.11230000000000001	0.1217	0.1441	True	True	True	True	True	True	True	True	True	True	True	True	2026-09-14	90
PAYC	9870000000.0	0.0067	0.1056	0.41090000000000004	31.96%	1.02	1.02	1.67	1.72	0.7434999999999999	0.303	0.2278	Aug 05/a	222.85	1.80%	855324.0	Paycom Software Inc	Technology	Software - Application	USA	23.68	0.82	7.9	-0.0215	0.1677	0.4789	-0.09029999999999999	1.1244	56.42	-0.0089	0.0271	15.96	0.85	4.61	17.27	49.84	17.41	0.3085	0.1547	0.26839999999999997	0.1885	0.19510000000000002	True	True	True	True	True	True	True	True	True	True	True	True	2026-09-14	90
ANET	236870000000.0		0.201	0.3148	27.33%	2.96	2.59	0.0	0.0	0.63	0.4314	0.3837	Aug 04/a	187.81	-5.90%	5674569.0	Arista Networks Inc	Technology	Computer Hardware	USA	59.21	1.61	8.39	-0.024900000000000002	0.0105	0.2217	-0.126	0.64	47.86	-0.0106	-0.049	35.95	1.24	22.47	16.01	17.75	45.95	0.37799999999999995	0.2721	0.40700000000000003	0.2898	0.3119	True	True	True	True	True	True	True	True	True	True	True	True	2026-09-14	85
PLGO	2060000000.0	0.0245	0.038900000000000004	0.1764	13.62%	1.42		0.32	0.32		0.21059999999999998	0.16140000000000002	Aug 12/a	24.92	-1.11%	472223.0	Pelagos Insurance Capital Ltd	Financial	Insurance - Diversified	Bermuda	6.1	0.27	0.61	0.0171	0.0036	0.1636	-0.053899999999999997	0.4693	52.91	-0.0115	0.0004	6.31	0.2	0.83	0.93		3.27	0.565	0.3148	0.1436	0.3204	0.264	True	True	True	True	True	True	True	True	True	True	True	True	2026-09-14	85
WPM	67970000000.0	0.0052	0.2036	0.23550000000000001	17.58%	0.47	0.47	0.2	0.2	0.7521	0.7299	0.6466	Aug 06/a	149.67	-2.89%	1549444.0	Wheaton Precious Metals Corp	Basic Materials	Gold	Canada	33.2	0.52	5.84	-0.015600000000000001	0.1499	0.1454	-0.0971	0.6169	54.2	0.0095	-0.038	29.52	1.33	21.43	7.01	678.45		0.5795	0.061	0.2343	0.22210000000000002	0.1612	True	True	True	True	True	True	True	True	True	True	True	True	2026-09-14	85
