Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Forward P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
AGI	20490000000.0	0.0025	0.1512	0.2206	19.02%	1.72	1.33	0.05	0.05	0.5326	0.4805	0.48969999999999997	Apr 29/a	48.78	0.012199999999999999	2166620.0	Alamos Gold Inc	Basic Materials	Gold	Canada	23.27	0.66	2.22	0.1061	0.0667	0.3504	-0.1197	1.0539	60.0	0.0043	0.0079	13.56	0.34	11.33	4.61	30.04	76.71	1.0758	0.2379	0.4175	0.3982	0.1931	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-14	100
AVGO	1802610000000.0	0.0072	0.149	0.3337	17.38%	1.9	1.73	0.8	0.83	0.6496	0.4157	0.3657	Mar 04/a	380.73	0.0026	23263841.0	Broadcom Inc	Technology	Semiconductors	USA	74.27	1.35	12.75	0.1618	0.15869999999999998	0.1493	-0.0817	1.3558000000000001	73.24	0.0034000000000000002	-0.0009	21.29	0.44	26.4	22.58	127.18	62.35	0.6546	0.5849	0.4976	0.4838	0.21739999999999998	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-14	100
MU	525140000000.0	0.0012	0.2762	0.3982	29.16%	2.9	2.32	0.14	0.15	0.5854	0.4865	0.41490000000000005	Mar 18/a	465.66	0.0917	51593157.0	Micron Technology Inc	Technology	Semiconductors	USA	21.98	1.72	26.38	0.1677	0.1532	0.8389	-0.0121	6.0936	66.11	0.0705	0.019799999999999998	4.99	0.04	9.04	7.25	35.93	51.08	5.8458000000000006	0.6459	0.2619	1.119	0.1176	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-14	100
NVDA	4773980000000.0	0.0002	0.7542	1.0149	71.75%	3.91	3.24	0.06	0.07	0.7106999999999999	0.6038	0.556	Feb 25/a	196.46	0.0378	159484703.0	NVIDIA Corp	Technology	Semiconductors	USA	40.08	2.32	5.42	0.10039999999999999	0.0787	0.08470000000000001	-0.0741	1.0671	68.03	0.0265	0.0109	17.71	0.46	22.11	30.36	76.32	57.05	0.7409	0.3361	0.9527	0.3886	0.669	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-14	100
AMG	8090000000.0	0.0001	0.0795	0.2177	12.04%	1.4	1.4	0.84	0.84	0.9267	0.2823	0.308	Feb 12/b	303.21	0.0416	362702.0	Affiliated Managers Group Inc	Financial	Asset Management	USA	13.24	1.19	10.82	0.08990000000000001	0.0354	0.1673	-0.0943	1.004	64.15	0.0333	0.008100000000000001	8.00	0.39	3.48	2.53	13.81	8.05	0.2743	0.142	0.3932	0.2029	0.0054	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-14	95
CGAU	3950000000.0	0.0104	0.2224	0.3143	28.20%	2.39	1.65	0.01	0.01	0.2547	0.18710000000000002	0.44689999999999996	Apr 29/a	19.79	0.0118	1456677.0	Centerra Gold Inc	Basic Materials	Gold	Canada	6.96	0.91	0.92	0.1116	0.0782	0.5334	-0.0652	2.1388	63.77	-0.009000000000000001	0.021	9.36	0.44	3.02	1.92	7.31	42.41	0.8197	0.0462	0.1553	0.2113	0.1295	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-14	95
CLS	44190000000.0		0.1261	0.40490000000000004	27.08%	1.44	0.88	0.39	0.41	0.11539999999999999	0.0812	0.0672	Jan 28/a	384.35	0.051699999999999996	3494110.0	Celestica, Inc	Technology	Electronic Components	Canada	53.56	2.0	20.13	0.2779	0.32880000000000004	0.447	0.04190000000000001	3.9361	74.48	0.0271	0.0239	29.84	0.73	3.57	19.93	74.19	96.22	0.48	0.43829999999999997	0.7248	0.4081	0.166	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-14	90
KGC	40730000000.0	0.0044	0.2054	0.3096	25.61%	2.35	1.37	0.09	0.09	0.47450000000000003	0.4341	0.33899999999999997	Apr 29/a	34.01	0.0128	7193604.0	Kinross Gold Corp	Basic Materials	Gold	Canada	17.36	0.83	1.45	0.1184	0.0513	0.304	-0.1304	1.561	61.52	0.0021	0.010700000000000001	9.86	0.51	5.78	4.76	23.2	16.14	0.6923	0.1082	0.1292	0.19210000000000002	0.1085	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-14	90
SII	3860000000.0	0.0109	0.14730000000000001	0.195	18.34%	1.92	1.92	0.0	0.0	0.9228000000000001	0.33039999999999997	0.2322	Feb 19/b	149.74	0.021	254969.0	Sprott Inc	Financial	Asset Management	Canada	57.4	0.91	6.82	0.059699999999999996	0.0541	0.5174	-0.1173	2.2085	56.53	0.0177	0.0032	25.71	0.75	13.32	10.51	31.12	40.21	0.7754000000000001	0.2619	0.1883	0.3446	0.17550000000000002	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-14	90
EXEL	11910000000.0		0.2667	0.3553	33.52%	3.56	3.5	0.08	0.09	0.9639	0.3848	0.3373	Feb 10/a	45.86	0.02	2532151.0	Exelixis Inc	Healthcare	Biotechnology	USA	16.47	0.4	1.16	0.06559999999999999	0.0689	0.10099999999999999	-0.0758	0.3586	65.9	0.015700000000000002	0.0042	11.73	0.75	5.13	5.57	11.25	13.6	0.0761	0.17989999999999998	0.5119	0.157	0.1863	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-14	90
