Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
AGI	21000000000.0	0.0025	0.1512	0.2206	19.02%	1.72	1.33	0.05	0.05	0.5326	0.4805	0.48969999999999997	Feb 18/a	50.02	-0.010700000000000001	2433777.0	Alamos Gold Inc	Basic Materials	Gold	Canada	23.86	0.57	2.51	0.149	0.2025	0.5275	-0.0165	1.27	64.07	-0.010700000000000001	0.0	14.6	0.39	11.61	4.72	30.8	78.64	0.9784999999999999	0.2373	0.4175	0.3696	0.1931	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-25	100
NVDA	4753690000000.0	0.0002	0.7715000000000001	1.0735999999999999	77.27%	4.47	3.71	0.08	0.09	0.7005	0.5884	0.5301	Feb 25/a	195.62	0.0144	204549338.0	NVIDIA Corp	Technology	Semiconductors	USA	48.45	2.32	5.88	0.045700000000000005	0.055099999999999996	0.12210000000000001	-0.0781	1.2584	61.07	0.0058	0.0086	24.84	0.49	25.4	39.99	78.43	61.48	0.5692	0.6783	0.9183	0.5041	0.6424	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-25	100
MU	482840000000.0	0.0011	0.15130000000000002	0.2255	16.85%	2.46	1.78	0.2	0.21	0.45530000000000004	0.3292	0.2815	Dec 17/a	429.0	0.0263	25840255.0	Micron Technology Inc	Technology	Semiconductors	USA	40.78	1.51	23.77	0.0429	0.2102	1.0974	-0.0582	5.9711	61.02	0.0049	0.0213	9.34	0.12	11.41	8.21	46.79	103.79	3.07	0.3619	0.2619	0.8011	0.1176	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-25	100
AMG	8340000000.0	0.0001	0.0795	0.2177	12.04%	1.4	1.4	0.84	0.84	0.9267	0.2823	0.308	Feb 12/b	312.63	0.0347	361341.0	Affiliated Managers Group Inc	Financial	Asset Management	USA	13.65	1.18	12.99	0.004	0.0253	0.2868	-0.0662	1.2456	51.61	0.0246	0.009899999999999999	8.09	0.39	3.59	2.61	14.24	8.3	0.29410000000000003	0.1459	0.3932	0.2101	0.0054	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-25	95
FNV	53150000000.0	0.005600000000000001	0.1331	0.1417	13.13%	4.64	4.63	0.0	0.0	0.7199	0.6908	0.5951	Mar 10/a	275.72	0.0088	415373.0	Franco-Nevada Corporation	Basic Materials	Gold	Canada	57.82	0.47	10.28	0.098	0.16649999999999998	0.3995	0.0006	1.0118	66.17	-0.0039000000000000003	0.0127	32.83	0.72	34.39	7.59	224.56		0.6820999999999999	0.5556	0.09380000000000001	0.45630000000000004	0.057	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-25	90
EXEL	11620000000.0		0.2667	0.3553	33.52%	3.56	3.5	0.08	0.09	0.9639	0.3848	0.3373	Feb 10/a	44.75	-0.0086	2251826.0	Exelixis Inc	Healthcare	Biotechnology	USA	16.08	0.41	1.38	0.0319	0.0215	0.075	-0.0981	0.382	56.5	-0.0143	0.0058	10.97	0.63	5.01	5.43	10.97	13.27	0.076	0.23079999999999998	0.5119	0.1736	0.1863	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-25	90
SSRM	6200000000.0		0.0702	0.1197	10.83%	2.08	1.25	0.04	0.11	0.35729999999999995	0.28859999999999997	0.24280000000000002	Feb 17/a	30.49	-0.0055000000000000005	3065921.0	SSR Mining Inc	Basic Materials	Gold	USA	16.69	-0.17	1.83	0.1433	0.2401	0.5778	-0.037599999999999995	2.5244	63.69	-0.0165	0.0111	5.93	0.18	3.8	1.76	10.77	25.6	1.2335	0.1452	0.12990000000000002	0.3268	0.1382	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-25	90
KGC	43240000000.0	0.004	0.2054	0.3096	25.61%	2.35	1.37	0.09	0.09	0.47450000000000003	0.4341	0.33899999999999997	Feb 18/a	36.04	-0.0006	7901388.0	Kinross Gold Corp	Basic Materials	Gold	Canada	18.4	0.74	1.76	0.0602	0.1127	0.5451	-0.0785	2.4922	58.53	-0.0025	0.0019	11.05	0.77	6.13	5.04	24.63	17.13	0.621	0.0931	0.1292	0.1429	0.1085	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-25	90
EGO	8900000000.0	0.0045000000000000005	0.0828	0.1272	9.20%	1.83	1.46	0.29	0.3	0.4487	0.4147	0.2789	Feb 19/a	44.4	0.023700000000000002	2091775.0	Eldorado Gold Corp	Basic Materials	Gold	Canada	17.79	0.52	2.64	0.0159	0.08800000000000001	0.5573	-0.1321	2.3383000000000003	53.03	0.013500000000000002	0.0101	7.07	0.13	4.89	2.05	10.24		1.5246000000000002	0.42119999999999996	0.2792	0.5323	0.1206	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-25	90
WPM	71480000000.0	0.0042	0.1267	0.1305	12.37%	8.09	8.09	0.0	0.0	0.6851999999999999	0.6409	0.5472	Nov 06/a	157.43	0.0003	1416100.0	Wheaton Precious Metals Corp	Basic Materials	Gold	Canada	71.46	0.51	6.49	0.08869999999999999	0.1748	0.47759999999999997	-0.0183	1.3607	64.04	-0.008	0.0084	32.04	0.56	39.05	8.83	61.74	102.88	1.0276	0.7188	0.433	0.5743	0.0832	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-25	90
