Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Forward P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
AVGO	1680380000000.0	0.0077	0.149	0.3337	17.38%	1.9	1.73	0.8	0.83	0.6496	0.4157	0.3657	Mar 04/a	354.91	0.012199999999999999	20302541.0	Broadcom Inc	Technology	Semiconductors	USA	69.23	1.31	12.78	0.1082	0.0892	0.0768	-0.14400000000000002	1.2533	65.84	0.0073	0.0049	19.94	0.42	24.61	21.04	118.55	58.12	0.6557	0.5766	0.4976	0.4781	0.21739999999999998	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-09	100
AGI	19780000000.0	0.0026	0.1512	0.2206	19.02%	1.72	1.33	0.05	0.05	0.5326	0.4805	0.48969999999999997	Feb 18/a	47.09	-0.0111	2074486.0	Alamos Gold Inc	Basic Materials	Gold	Canada	22.46	0.66	2.43	0.0737	0.0398	0.3159	-0.1502	0.9826999999999999	56.05	-0.0132	0.0021	13.10	0.33	10.93	4.45	29.0	74.05	1.0392000000000001	0.259	0.4175	0.3998	0.1931	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-09	100
MU	475400000000.0	0.0014000000000000002	0.2762	0.3982	29.16%	2.9	2.32	0.14	0.15	0.5854	0.4865	0.41490000000000005	Mar 18/a	421.55	0.0364	42571059.0	Micron Technology Inc	Technology	Semiconductors	USA	19.9	1.69	26.71	0.062400000000000004	0.0454	0.6959000000000001	-0.1056	5.6178	57.62	0.0285	0.0078000000000000005	4.52	0.04	8.18	6.56	32.53	46.24	5.8448	0.6431999999999999	0.2619	1.1097	0.1176	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-09	100
NVDA	4469670000000.0	0.0002	0.7542	1.0149	71.75%	3.91	3.24	0.06	0.07	0.7106999999999999	0.6038	0.556	Feb 25/a	183.94	0.0102	115468153.0	NVIDIA Corp	Technology	Semiconductors	USA	37.53	2.33	5.33	0.0383	0.009899999999999999	0.018799999999999997	-0.1331	0.9354	56.64	0.0106	-0.0004	16.62	0.43	20.7	28.42	71.45	53.42	0.7326999999999999	0.33899999999999997	0.9527	0.3886	0.669	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-09	100
CGAU	3840000000.0	0.010700000000000001	0.2224	0.3143	28.20%	2.39	1.65	0.01	0.01	0.2547	0.18710000000000002	0.44689999999999996	Feb 19/a	19.21	0.0116	1008469.0	Centerra Gold Inc	Basic Materials	Gold	Canada	6.75	0.9	1.01	0.0924	0.0495	0.5103	-0.0926	2.4181	60.01	0.0111	0.0005	9.09	0.43	2.94	1.86	7.09	41.17	0.8264	0.0424	0.1553	0.2113	0.1295	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-09	95
CLS	37750000000.0		0.1261	0.40490000000000004	27.08%	1.44	0.88	0.39	0.41	0.11539999999999999	0.0812	0.0672	Jan 28/a	328.33	0.023799999999999998	1463032.0	Celestica, Inc	Technology	Electronic Components	Canada	45.75	1.95	18.75	0.1493	0.149	0.2516	-0.0965	3.7702	63.77	0.0236	0.0002	25.49	0.62	3.05	17.02	63.38	82.19	0.48	0.43829999999999997	0.7248	0.4081	0.166	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-09	90
XPEL	1280000000.0		0.1493	0.2026	17.25%	3.25	1.52	0.06	0.08	0.42210000000000003	0.1316	0.1076	Feb 25/b	46.49	0.0393	324673.0	XPEL Inc	Consumer Cyclical	Auto Parts	USA	25.16	1.15	2.0	0.1318	0.020499999999999997	0.1189	-0.1685	0.9092	63.66	0.0464	-0.0067	16.52	0.55	2.69	4.58	25.23	20.39	0.1477	0.325	0.22820000000000001	0.2979	0.24539999999999998	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-09	90
KGC	39400000000.0	0.0045000000000000005	0.2054	0.3096	25.61%	2.35	1.37	0.09	0.09	0.47450000000000003	0.4341	0.33899999999999997	Apr 29/a	32.84	-0.0076	6135382.0	Kinross Gold Corp	Basic Materials	Gold	Canada	16.76	0.83	1.61	0.0929	0.0121	0.2725	-0.1603	1.6547999999999998	57.56	-0.0138	0.0063	9.58	0.5	5.59	4.59	22.44	15.61	0.693	0.10060000000000001	0.1292	0.1906	0.1085	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-09	90
EXEL	11790000000.0		0.2667	0.3553	33.52%	3.56	3.5	0.08	0.09	0.9639	0.3848	0.3373	Feb 10/a	45.41	0.0274	1813083.0	Exelixis Inc	Healthcare	Biotechnology	USA	16.31	0.4	1.14	0.0696	0.06269999999999999	0.09050000000000001	-0.0848	0.40240000000000004	67.95	0.032	-0.0045000000000000005	11.58	0.74	5.08	5.51	11.14	13.47	0.0761	0.18359999999999999	0.5119	0.1568	0.1863	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-09	90
SSRM	6790000000.0		0.0702	0.1197	10.83%	2.08	1.25	0.04	0.11	0.35729999999999995	0.28859999999999997	0.24280000000000002	Feb 17/a	33.41	-0.047599999999999996	4769727.0	SSR Mining Inc	Basic Materials	Gold	USA	18.29	-0.1	2.23	0.1833	0.185	0.5244	-0.0603	2.528	62.59	-0.0509	0.0034000000000000002	6.41	0.2	4.17	1.93	11.8	28.05	1.2266	0.1654	0.12990000000000002	0.3271	0.1382	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-09	90
PAHC	2400000000.0	0.008100000000000001	0.0684	0.318	8.56%	3.05	1.22	2.24	2.33	0.3178	0.11900000000000001	0.0629	Feb 04/a	59.09	0.0073	216034.0	Phibro Animal Health Corp	Healthcare	Drug Manufacturers - Specialty & Generic	USA	26.2	0.71	2.68	0.0934	0.1521	0.46240000000000003	-0.0098	2.6566	67.26	0.012	-0.0046	17.56	0.83	1.64	7.21	32.19	50.71	0.4474	0.1124	0.0745	0.2104	0.1012	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-09	85
SQM	11740000000.0	0.0233	0.0451	0.1081	5.90%	3.27	2.25	0.75	0.84	0.2933	0.245	0.1284	Feb 28/a	82.17	-0.0038	1049134.0	Sociedad Quimica Y Minera de Chile S.A. ADR	Basic Materials	Specialty Chemicals	Chile	39.9	1.01	3.77	0.049100000000000005	0.08220000000000001	0.4291	-0.046	1.7987	57.41	-0.0034999999999999996	-0.0002	13.15	0.37	2.56	4.12	4.3	26.85	1.8318	0.0712	0.2712	0.35450000000000004	0.20120000000000002	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-09	85
LRCX	323170000000.0	0.004	0.3014	0.6556000000000001	44.78%	2.26	1.61	0.37	0.44	0.498	0.33759999999999996	0.30219999999999997	Apr 22/a	258.79	0.0499	9622483.0	Lam Research Corp	Technology	Semiconductor Equipment & Materials	USA	53.04	1.83	12.76	0.1534	0.1365	0.6052000000000001	0.008199999999999999	3.3188999999999997	65.41	0.04190000000000001	0.0076	36.23	1.34	15.72	31.92	52.29	51.99	0.2887	0.33880000000000005	0.2242	0.2702	0.1292	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-09	85
EVR	13270000000.0	0.0104	0.1225	0.3166	19.22%	2.16	2.16	0.52	0.57	0.9884000000000001	0.21239999999999998	0.15259999999999999	Feb 04/b	334.96	0.0274	491169.0	Evercore Inc	Financial	Capital Markets	USA	23.92	1.57	13.82	0.1586	0.07429999999999999	0.049699999999999994	-0.1383	1.0871	70.32	0.0366	-0.0089	14.56	0.74	3.42	6.35	4.41	11.43	0.2751	0.23920000000000002	0.113	0.1968	0.1118	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-09	85
SIMO	4320000000.0	0.015300000000000001	0.1085	0.1525	14.66%	2.79	1.54	0.0	0.0	0.4827	0.105	0.1381	Feb 03/a	127.0	0.0431	968567.0	Silicon Motion Technology Corp ADR	Technology	Semiconductors	Hong Kong	35.01	1.03	7.14	0.0682	0.0203	0.3064	-0.1352	2.4131	58.32	0.0467	-0.0034000000000000002	16.98	0.36	4.88	5.18	21.38	687.18	0.6272	0.29460000000000003	0.0977	0.4731	0.1039	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-09	85
