Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Forward P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
NNBIX	17400000000.0		0.15560000000000002	0.225	17.53%	2.93	2.85	0.12	0.12	0.9817	0.2575	0.2155	Jul 30/a	173.0	0.0124	977401.0	Neurocrine Biosciences Inc	Healthcare	Drug Manufacturers - Specialty & Generic	USA	26.6	0.39	4.61	0.010700000000000001	0.058499999999999996	0.2003	-0.0451	0.4164	58.0	0.0037	0.0087	17.50	0.45	5.61	5.11	13.22	20.93	0.6419	0.289	0.0231	0.38689999999999997	0.2229	True	True	True	True	True	True	True	True	True	True	True	True	2026-07-20	100
HHALO	9140000000.0		0.1433	0.9940000000000001	16.18%	2.76	2.33	8.81	9.76	0.7693000000000001	0.5696	0.23129999999999998	May 11/a	77.09	-0.009300000000000001	1552800.0	Halozyme Therapeutics Inc	Healthcare	Biotechnology	USA	27.73	0.85	2.46	0.0102	0.0732	0.11349999999999999	-0.06280000000000001	0.38549999999999995	56.57	-0.0182	0.0091	7.78	0.2	6.06	41.6	28.7	13.7	0.9538	0.2223	0.2289	0.3897	0.39159999999999995	True	True	True	True	True	True	True	True	True	True	True	True	2026-07-20	100
AAMG	9670000000.0	0.0001	0.0833	0.2404	12.56%	1.18	1.18	0.94	0.94	0.9361	0.1954	0.3542	May 01/b	366.12	-0.01	109749.0	Affiliated Managers Group Inc	Financial	Asset Management	USA	14.92	1.11	10.62	0.0294	0.09849999999999999	0.24420000000000003	-0.0434	0.8306	59.66	-0.0191	0.0092	8.84	0.35	4.54	3.14	25.71	8.85	0.37729999999999997	0.1549	0.3932	0.2529	0.0054	True	True	True	True	True	True	True	True	True	True	True	True	2026-07-20	95
LLLY	1080079999999.9999	0.0060999999999999995	0.24539999999999998	1.0764	35.82%	1.5	1.1	1.26	1.39	0.8283	0.473	0.34979999999999994	Aug 05/b	1146.9	-0.0273	2636033.0	Lilly(Eli) & Co	Healthcare	Drug Manufacturers - General	USA	41.28	0.51	38.45	-0.0256	0.0308	0.1365	-0.0821	0.8386	47.94	-0.0278	0.0005	25.37	0.87	14.95	34.68	204.48	91.36	0.4586	0.2801	0.2759	0.2914	0.2158	True	True	True	True	True	True	True	True	True	True	True	True	2026-07-20	95
EEXEL	13960000000.0		0.3069	0.40990000000000004	39.59%	3.26	3.19	0.09	0.09	0.9643999999999999	0.4029	0.3508	May 05/a	55.53	-0.006999999999999999	2379179.0	Exelixis Inc	Healthcare	Biotechnology	USA	18.41	0.43	1.5	0.010700000000000001	0.0581	0.23190000000000002	-0.0354	0.6451	57.11	-0.0103	0.0034000000000000002	13.97	0.97	5.88	7.28	17.96	15.21	0.1326	0.1394	0.5119	0.1436	0.1863	True	True	True	True	True	True	True	True	True	True	True	True	2026-07-20	90
AATLC	1480000000.0		0.025099999999999997	0.2139	1.94%	1.59	1.59	9.12	9.23	0.9209	0.2409	0.0546	May 07/a	97.91	-0.0275	174779.0	Atlanticus Holdings Corp	Financial	Credit Services	USA	14.6	2.12	6.1	-0.026099999999999998	0.0733	0.4523	-0.1305	1.1406	51.61	-0.025099999999999997	-0.0025	7.52	0.17	0.64	2.28	1.84	1.87	0.5968	0.36810000000000004	0.0855	0.45439999999999997	0.2843	True	True	True	True	True	True	True	True	True	True	True	True	2026-07-20	90
CCPAY	24140000000.0		0.0519	0.3371	11.60%	0.98	0.98	1.88	2.95	0.7281	0.4561	0.24530000000000002	May 07/a	369.28	0.0095	457269.0	Corpay Inc	Technology	Software - Infrastructure	USA	22.07	0.87	11.27	0.0545	0.0592	0.16579999999999998	-0.0129	0.46049999999999996	60.31	0.0129	-0.0033	12.06	0.65	5.05	6.96	2.74	18.42	0.2518	0.1439	0.13140000000000002	0.18510000000000001	0.1365	True	True	True	True	True	True	True	True	True	True	True	True	2026-07-20	90
CCACC	6440000000.0		0.050499999999999996	0.2812	7.39%	0.27	0.27	3.05	4.23	0.9784	0.46909999999999996	0.1949	May 05/a	615.75	-0.0379	188392.0	Credit Acceptance Corp	Financial	Credit Services	USA	15.3	1.36	21.14	-0.0187	0.0587	0.233	-0.0794	0.5321	51.85	-0.0381	0.0002	10.85	0.49	2.77	4.24	11.54	6.12	0.2263	0.1705	0.0916	0.2216	0.0678	True	True	True	True	True	True	True	True	True	True	True	True	2026-07-20	90
AANET	213250000000.0		0.2057	0.3152	27.59%	2.83	2.47	0.0	0.0	0.6354	0.4279	0.3832	Aug 04/a	169.35	0.0044	5972610.0	Arista Networks Inc	Technology	Computer Hardware	USA	57.99	1.61	10.13	-0.0087	0.051100000000000007	0.1691	-0.10779999999999999	0.5829	50.03	0.0024	0.002	37.92	1.69	21.96	15.81	17.26	40.4	0.2211	0.2274	0.40700000000000003	0.2243	0.3119	True	True	True	True	True	True	True	True	True	True	True	True	2026-07-20	85
HHWM	108820000000.0	0.0019	0.1463	0.3382	18.00%	2.44	1.59	0.75	0.88	0.3171	0.2667	0.2021	Aug 06/b	271.98	-0.0017000000000000001	1532615.0	Howmet Aerospace Inc	Industrials	Aerospace & Defense	USA	63.1	1.2	8.96	-0.004	0.0204	0.1716	-0.0642	0.6051	51.79	-0.0095	0.008	44.87	1.87	12.62	19.75	44.67	65.71	0.3433	0.19699999999999998	0.5077	0.2396	0.0943	True	True	True	True	True	True	True	True	True	True	True	True	2026-07-20	85
