Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Forward P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
AVGO	1893060000000.0	0.0068000000000000005	0.149	0.3337	17.38%	1.9	1.73	0.8	0.83	0.6496	0.4157	0.3657	Mar 04/a	399.83	-0.043899999999999995	25279791.0	Broadcom Inc	Technology	Semiconductors	USA	77.99	1.44	13.24	0.0647	0.1603	0.1827	-0.0687	1.1728	62.22	-0.0004	-0.0435	22.23	0.46	27.72	23.71	133.56	65.48	0.6595	0.5895	0.4976	0.4864	0.21739999999999998	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-28	100
MU	568700000000.0	0.0011	0.2762	0.3982	29.16%	2.9	2.32	0.14	0.15	0.5854	0.4865	0.41490000000000005	Mar 18/a	504.29	-0.038599999999999995	43664411.0	Micron Technology Inc	Technology	Semiconductors	USA	23.81	1.93	27.12	0.15539999999999998	0.2039	0.8615	-0.0509	5.8611	66.03	0.0013	-0.039900000000000005	5.27	0.05	9.79	7.85	38.91	55.32	5.888400000000001	0.675	0.2619	1.1654	0.1176	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-28	100
NVDA	5180030000000.0	0.0002	0.7542	1.0149	71.75%	3.91	3.24	0.06	0.07	0.7106999999999999	0.6038	0.556	May 20/a	213.17	-0.0159	178941429.0	NVIDIA Corp	Technology	Semiconductors	USA	43.49	2.33	5.93	0.1032	0.1447	0.16260000000000002	-0.0169	1.0481	70.99	0.0178	-0.0331	19.15	0.49	23.99	32.94	82.81	61.91	0.7351000000000001	0.34509999999999996	0.9527	0.39380000000000004	0.669	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-28	100
AMG	7800000000.0	0.0001	0.0795	0.2177	12.04%	1.4	1.4	0.84	0.84	0.9267	0.2823	0.308	May 01/b	292.47	0.0031	279513.0	Affiliated Managers Group Inc	Financial	Asset Management	USA	12.77	1.14	10.66	0.0155	0.01	0.1059	-0.1264	0.8240999999999999	52.48	-0.0005	0.0036	7.72	0.38	3.35	2.44	13.32	7.77	0.2726	0.1435	0.3932	0.2029	0.0054	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-28	95
CLS	41570000000.0		0.1261	0.40490000000000004	27.08%	1.44	0.88	0.39	0.41	0.11539999999999999	0.0812	0.0672	Apr 27/a	361.54	-0.1437	5578745.0	Celestica Inc	Technology	Electronic Components	Canada	50.38	2.13	23.41	0.0103	0.1674	0.30260000000000004	-0.1458	3.4155	52.59	-0.0536	-0.09519999999999999	27.95	0.68	3.35	18.74	69.79	90.51	0.4911	0.4341	0.7248	0.4122	0.166	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-28	90
EXEL	11410000000.0		0.2667	0.3553	33.52%	3.56	3.5	0.08	0.09	0.9639	0.3848	0.3373	May 05/a	44.93	0.0063	1983711.0	Exelixis Inc	Healthcare	Biotechnology	USA	16.14	0.39	1.36	0.0052	0.0377	0.07780000000000001	-0.09449999999999999	0.3311	53.41	0.004699999999999999	0.0016	11.59	0.87	4.92	5.46	10.78	13.03	0.0746	0.17120000000000002	0.5119	0.133	0.1863	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-28	90
LRCX	314180000000.0	0.0040999999999999995	0.3292	0.6676000000000001	46.86%	2.54	1.77	0.35	0.35	0.49979999999999997	0.34259999999999996	0.3094	Apr 22/a	251.23	-0.0318	11334694.0	Lam Research Corp	Technology	Semiconductor Equipment & Materials	USA	47.42	1.83	12.2	-0.0002	0.064	0.4612	-0.0892	2.6663	51.53	-0.0031	-0.0288	31.95	1.01	14.49	29.68	66.13	52.32	0.36579999999999996	0.39049999999999996	0.2242	0.31739999999999996	0.1292	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-28	90
XPEL	1270000000.0		0.1493	0.2026	17.25%	3.25	1.52	0.06	0.08	0.42210000000000003	0.1316	0.1076	May 06/b	46.03	-0.0101	103352.0	XPEL Inc	Consumer Cyclical	Auto Parts	USA	24.91	1.12	1.62	0.0023	0.0481	0.09179999999999999	-0.17670000000000002	0.7073	54.98	-0.0131	0.003	16.36	0.55	2.67	4.53	24.98	20.19	0.1477	0.325	0.22820000000000001	0.2979	0.24539999999999998	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-28	90
VICR	11280000000.0		0.18600000000000003	0.20489999999999997	17.99%	14.3	12.03	0.01	0.01	0.5690999999999999	0.12619999999999998	0.32030000000000003	Apr 21/b	248.7	-0.0741	1025065.0	Vicor Corp	Technology	Electronic Components	USA	83.22	2.33	20.51	0.20739999999999997	0.3136	1.2376	-0.1539	5.3892	64.76	-0.023399999999999997	-0.052000000000000005	44.08	1.21	26.45	15.82	27.91	94.64	0.061799999999999994	1.036	0.449	0.3649	0.06570000000000001	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-28	90
EVR	13490000000.0	0.0103	0.1225	0.3166	19.22%	2.16	2.16	0.52	0.57	0.9884000000000001	0.21239999999999998	0.15259999999999999	Apr 29/b	340.51	-0.0209	635365.0	Evercore Inc	Financial	Capital Markets	USA	24.31	1.57	12.62	0.0096	0.0901	0.0518	-0.124	0.7664	56.45	-0.0235	0.0026	14.89	0.75	3.48	6.46	4.49	11.62	0.24780000000000002	0.2591	0.113	0.19760000000000003	0.1118	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-28	85
