Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
AVGO	1639300000000.0	0.0075	0.149	0.3337	17.38%	1.9	1.73	0.8	0.83	0.6496	0.4157	0.3657	Mar 04/a	345.75	0.0462	40139032.0	Broadcom Inc	Technology	Semiconductors	USA	67.49	1.25	15.23	0.047	0.0344	0.0762	-0.1661	1.5036	59.39	0.057	-0.0102	19.93	0.43	24.01	20.16	115.66	56.7	0.6272	0.5631	0.4976	0.4594	0.21739999999999998	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-09	100
AGI	21480000000.0	0.0024	0.1512	0.2206	19.02%	1.72	1.33	0.05	0.05	0.5326	0.4805	0.48969999999999997	Feb 18/a	51.16	0.0255	3734820.0	Alamos Gold Inc	Basic Materials	Gold	Canada	24.4	0.57	2.84	0.0545	0.16899999999999998	0.5123	-0.0767	1.2463	58.73	0.0559	-0.028900000000000002	15.08	0.41	11.88	4.83	31.5	80.44	0.9690000000000001	0.23079999999999998	0.4175	0.3693	0.1931	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-09	100
MU	438180000000.0	0.0012	0.15130000000000002	0.2255	16.85%	2.46	1.78	0.2	0.21	0.45530000000000004	0.3292	0.2815	Mar 18/a	389.32	0.051399999999999994	34845867.0	Micron Technology Inc	Technology	Semiconductors	USA	37.01	1.57	25.69	-0.0393	0.03	0.7972	-0.14529999999999998	5.3263	48.35	0.0695	-0.0169	7.94	0.1	10.36	7.45	42.46	94.19	3.2039999999999997	0.4077	0.2619	0.8267	0.1176	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-09	100
CGAU	3790000000.0	0.0109	0.2224	0.3143	28.20%	2.39	1.65	0.01	0.01	0.2547	0.18710000000000002	0.44689999999999996	Feb 19/a	18.93	0.011200000000000002	1180819.0	Centerra Gold Inc	Basic Materials	Gold	Canada	6.65	0.84	1.15	-0.011899999999999999	0.0758	0.6377	-0.1058	2.4991	51.7	0.047599999999999996	-0.0347	9.73	0.51	2.9	1.84	7.0	40.64	0.7001999999999999	0.0305	0.1553	0.19079999999999997	0.1295	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-09	90
FNV	50700000000.0	0.0059	0.1331	0.1417	13.13%	4.64	4.63	0.0	0.0	0.7199	0.6908	0.5951	Mar 10/a	263.02	0.0126	819632.0	Franco-Nevada Corporation	Basic Materials	Gold	Canada	55.16	0.44	11.83	0.0051	0.0723	0.30670000000000003	-0.0793	0.8783	53.93	0.041299999999999996	-0.0276	30.68	0.68	32.8	7.24	214.22		0.6823	0.5876	0.09380000000000001	0.4522	0.057	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-09	90
WPM	67170000000.0	0.0045000000000000005	0.1267	0.1305	12.37%	8.09	8.09	0.0	0.0	0.6851999999999999	0.6409	0.5472	Mar 12/a	147.95	0.0075	2877769.0	Wheaton Precious Metals Corp	Basic Materials	Gold	Canada	67.15	0.53	7.34	-0.0181	0.0574	0.3507	-0.1074	1.1748	50.17	0.0377	-0.0291	28.34	0.48	36.7	8.3	58.02	96.69	1.0686	0.7897	0.433	0.5917	0.0832	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-09	90
SIMO	4130000000.0	0.016	0.1085	0.1525	14.66%	2.79	1.54	0.0	0.0	0.4827	0.105	0.1381	Feb 03/a	121.63	0.0277	510982.0	Silicon Motion Technology Corp ADR	Technology	Semiconductors	Hong Kong	33.53	1.05	7.98	-0.0732	0.0231	0.3311	-0.17170000000000002	2.2687	46.02	0.057699999999999994	-0.028300000000000002	16.26	0.34	4.67	4.96	20.47	658.12	0.6271	0.29469999999999996	0.0977	0.4731	0.1039	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-09	85
PAHC	1980000000.0	0.0098	0.0684	0.318	8.56%	3.05	1.22	2.24	2.33	0.3178	0.11900000000000001	0.0629	Feb 04/a	48.78	0.0179	334195.0	Phibro Animal Health Corp	Healthcare	Drug Manufacturers - Specialty & Generic	USA	21.63	0.74	2.42	-0.0592	0.0843	0.3129	-0.1336	2.0186	47.96	0.0379	-0.0192	14.5	0.69	1.35	5.95	26.57	41.86	0.4474	0.1124	0.0745	0.2104	0.1012	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-09	85
SSRM	6130000000.0		0.0702	0.1197	10.83%	2.08	1.25	0.04	0.11	0.35729999999999995	0.28859999999999997	0.24280000000000002	Feb 17/a	30.14	-0.0128	4480565.0	SSR Mining Inc	Basic Materials	Gold	USA	16.5	-0.15	2.24	0.0253	0.1597	0.4963	-0.1	2.484	54.32	0.0354	-0.04650000000000001	6.11	0.21	3.76	1.74	10.65	25.31	1.219	0.10529999999999999	0.12990000000000002	0.29469999999999996	0.1382	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-09	85
AU	54980000000.0	0.051699999999999996	0.0941	0.1942	25.66%	2.87	2.2	0.27	0.28	0.5218	0.4389	0.26649999999999996	Feb 20/b	108.9	0.0222	2417005.0	AngloGold Ashanti Plc	Basic Materials	Gold	United Kingdom	20.95	0.6	6.7	-0.045899999999999996	0.046	0.49340000000000006	-0.1567	2.6072	47.72	0.0308	-0.0084	10.43	0.41	5.56	7.13	18.78	17.55	0.9054000000000001	0.020499999999999997	0.1794	0.2541	0.1745	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-09	85
