Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
AGI	19520000000.0	0.0027	0.1512	0.2206	19.02%	1.72	1.33	0.05	0.05	0.5326	0.4805	0.48969999999999997	Feb 18/a	46.48	0.0037	2523142.0	Alamos Gold Inc	Basic Materials	Gold	Canada	22.17	0.65	2.46	0.053399999999999996	0.0302	0.3064	-0.1612	0.9787	54.99	-0.0002	0.0039000000000000003	12.88	0.32	10.79	4.39	28.62	73.09	1.0488	0.2582	0.4175	0.3979	0.1931	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-07	100
AVGO	1581240000000.0	0.008100000000000001	0.149	0.3337	17.38%	1.9	1.73	0.8	0.83	0.6496	0.4157	0.3657	Mar 04/a	333.97	0.0621	32448326.0	Broadcom Inc	Technology	Semiconductors	USA	65.15	1.29	12.6	0.0463	0.027999999999999997	0.016399999999999998	-0.1945	1.4183000000000001	57.79	0.021099999999999997	0.04019999999999999	18.82	0.39	23.16	19.8	111.56	54.69	0.6466	0.5798	0.4976	0.4781	0.21739999999999998	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-07	100
CGAU	3710000000.0	0.0111	0.2224	0.3143	28.20%	2.39	1.65	0.01	0.01	0.2547	0.18710000000000002	0.44689999999999996	Feb 19/a	18.6	0.0169	1210006.0	Centerra Gold Inc	Basic Materials	Gold	Canada	6.54	0.89	1.02	0.0575	0.0159	0.47619999999999996	-0.12140000000000001	2.4381	56.06	0.013600000000000001	0.0033	8.8	0.42	2.84	1.8	6.87	39.86	0.8279000000000001	0.0415	0.1553	0.2113	0.1295	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-07	95
CLS	34189999999.999996		0.1261	0.40490000000000004	27.08%	1.44	0.88	0.39	0.41	0.11539999999999999	0.0812	0.0672	Jan 28/a	297.34	0.0172	1483249.0	Celestica, Inc	Technology	Electronic Components	Canada	41.43	1.95	18.71	0.0621	0.041100000000000005	0.1417	-0.1818	3.8688	55.28	0.0083	0.0088	23.09	0.57	2.76	15.42	57.4	74.44	0.48	0.43829999999999997	0.7248	0.4081	0.166	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-07	90
EXEL	11420000000.0		0.2667	0.3553	33.52%	3.56	3.5	0.08	0.09	0.9639	0.3848	0.3373	Feb 10/a	43.99	0.0002	2384359.0	Exelixis Inc	Healthcare	Biotechnology	USA	15.8	0.4	1.11	0.044199999999999996	0.030600000000000002	0.0572	-0.11349999999999999	0.3586	60.5	0.0009	-0.0007000000000000001	11.21	0.71	4.92	5.34	10.79	13.04	0.0775	0.1822	0.5119	0.15689999999999998	0.1863	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-07	90
SSRM	6630000000.0		0.0702	0.1197	10.83%	2.08	1.25	0.04	0.11	0.35729999999999995	0.28859999999999997	0.24280000000000002	Feb 17/a	32.59	0.022799999999999997	4341200.0	SSR Mining Inc	Basic Materials	Gold	USA	17.84	-0.14	2.06	0.16920000000000002	0.1671	0.5015999999999999	-0.0269	2.7672000000000003	63.88	0.0213	0.0014000000000000002	6.25	0.19	4.07	1.89	11.51	27.36	1.2286	0.1646	0.12990000000000002	0.3271	0.1382	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-07	90
JBL	28810000000.0	0.0012	0.0426	0.5988	15.76%	1.01	0.68	2.82	3.27	0.10640000000000001	0.049800000000000004	0.0248	Mar 18/b	272.85	0.020099999999999996	800528.0	Jabil Inc	Technology	Electronic Components	USA	36.6	1.19	12.63	0.0387	0.058899999999999994	0.1986	-0.0384	1.4447	55.65	0.0256	-0.0053	18.89	0.93	0.88	21.69	15.74	22.6	0.2627	0.17329999999999998	0.7636	0.2022	0.0179	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-07	85
PAHC	2260000000.0	0.0086	0.0684	0.318	8.56%	3.05	1.22	2.24	2.33	0.3178	0.11900000000000001	0.0629	Feb 04/a	55.66	0.0131	233983.0	Phibro Animal Health Corp	Healthcare	Drug Manufacturers - Specialty & Generic	USA	24.68	0.71	2.64	0.0467	0.10189999999999999	0.3895	-0.034	2.4443	59.47	0.0226	-0.009300000000000001	16.54	0.79	1.54	6.79	30.32	47.77	0.4474	0.1124	0.0745	0.2104	0.1012	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-07	85
SQM	11210000000.0	0.024399999999999998	0.0451	0.1081	5.90%	3.27	2.25	0.75	0.84	0.2933	0.245	0.1284	Feb 28/a	78.52	-0.024	1015146.0	Sociedad Quimica Y Minera de Chile S.A. ADR	Basic Materials	Specialty Chemicals	Chile	38.13	1.01	3.7	0.0091	0.0331	0.3775	-0.08839999999999999	1.6743999999999999	51.75	-0.0175	-0.0066	12.56	0.35	2.45	3.94	4.11	25.66	1.8488999999999998	0.06480000000000001	0.2712	0.35450000000000004	0.20120000000000002	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-07	85
WBS	11250000000.0	0.0231	0.0121	0.1065	9.37%	0.05		0.1	0.48		0.2851	0.2206	Jan 23/b	69.77	-0.0064	3331754.0	Webster Financial Corp	Financial	Banks - Regional	USA	11.81	1.07	1.19	0.0141	0.0001	0.1213	-0.0572	0.7539	52.85	-0.0019	-0.0046	9.39	0.83	2.55	1.22		11.15	0.1142	0.1222	0.2026	0.1128	0.2817	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-07	80
