Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
MU	456160000000.0	0.0014000000000000002	0.2762	0.3982	29.16%	2.9	2.32	0.14	0.15	0.5854	0.4865	0.41490000000000005	Mar 18/a	404.49	-0.0435	53937817.0	Micron Technology Inc	Technology	Semiconductors	USA	19.1	1.49	27.07	-0.0271	0.0058	0.7343999999999999	-0.1418	5.5728	47.68	-0.050499999999999996	0.0074	4.36	0.04	7.85	6.3	31.21	44.37	5.7287	0.6613	0.2619	1.0949	0.1176	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-23	100
JBL	28120000000.0	0.0012	0.0426	0.5988	15.76%	1.01	0.68	2.82	3.27	0.10640000000000001	0.049800000000000004	0.0248	Mar 18/b	266.26	0.049800000000000004	1343968.0	Jabil Inc	Technology	Electronic Components	USA	35.71	1.18	12.14	0.030899999999999997	0.053899999999999997	0.19210000000000002	-0.0537	1.4504	56.27	0.040999999999999995	0.0085	18.43	0.91	0.86	21.16	15.36	22.05	0.2627	0.17329999999999998	0.7636	0.2022	0.0179	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-23	85
PAHC	2180000000.0	0.0089	0.0684	0.318	8.56%	3.05	1.22	2.24	2.33	0.3178	0.11900000000000001	0.0629	Feb 04/a	53.8	0.0599	371726.0	Phibro Animal Health Corp	Healthcare	Drug Manufacturers - Specialty & Generic	USA	23.85	0.73	2.55	0.044000000000000004	0.131	0.397	-0.0444	2.3291999999999997	61.01	0.029300000000000003	0.0297	15.99	0.76	1.49	6.56	29.3	46.17	0.4474	0.1124	0.0745	0.2104	0.1012	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-23	85
LRCX	291350000000.0	0.0044	0.3014	0.6556000000000001	44.78%	2.26	1.61	0.37	0.44	0.498	0.33759999999999996	0.30219999999999997	Jan 28/a	233.31	0.0217	9427230.0	Lam Research Corp	Technology	Semiconductor Equipment & Materials	USA	47.82	1.75	11.9	0.0404	0.0288	0.5236	-0.091	3.1426	55.47	0.011399999999999999	0.0102	33.04	1.32	14.17	28.77	47.14	46.87	0.2861	0.326	0.2242	0.2502	0.1292	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-23	85
KLAC	198110000000.0	0.0052	0.2874	1.0073	39.55%	2.77	1.95	1.11	1.12	0.605	0.4254	0.3578	Jan 29/a	1511.43	0.0085	1105479.0	KLA Corp	Technology	Semiconductor Equipment & Materials	USA	43.91	1.42	68.06	0.027200000000000002	0.025699999999999997	0.31489999999999996	-0.1074	1.7413999999999998	55.87	-0.0144	0.0233	31.55	1.75	15.55	36.26	38.04	45.26	0.09970000000000001	0.309	0.3157	0.1801	0.1593	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-23	80
NSSC	1520000000.0	0.0134	0.22829999999999998	0.2642	24.95%	7.99	6.55	0.03	0.03	0.5625	0.26890000000000003	0.247	Feb 02/b	42.67	0.049699999999999994	470506.0	NAPCO Security Technologies Inc	Industrials	Security & Protection Services	USA	32.34	1.46	1.69	-0.0191	0.01	0.10550000000000001	-0.1133	1.2458	49.0	0.019799999999999998	0.029300000000000003	27.07	1.62	7.92	8.23	13.19	28.36	0.2059	0.0987	0.3885	0.16670000000000001	0.12369999999999999	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-23	80
WMB	89910000000.0	0.0287	0.0447	0.20739999999999997	6.49%	0.53	0.48	2.14	2.31	0.4157	0.3547	0.22149999999999997	Feb 10/b	73.6	0.016399999999999998	6419067.0	Williams Cos Inc	Energy	Oil & Gas Midstream	USA	34.48	0.65	1.68	-0.0072	0.057699999999999994	0.1838	-0.0425	0.4269	55.1	0.0111	0.0052	28.35	1.94	7.62	7.04	1427.1	100.01	0.0935	0.1304	0.6564	0.146	0.0891	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-23	80
VICR	7850000000.0		0.16140000000000002	0.185	16.53%	8.99	7.59	0.01	0.01	0.5642	0.09029999999999999	0.2908	Feb 19/a	173.07	0.0518	860878.0	Vicor Corp	Technology	Electronic Components	USA	66.45	1.97	16.07	-0.0695	0.0258	0.8784000000000001	-0.174	3.4462	48.46	0.0354	0.0159	36.26	1.13	19.26	11.01	19.49	65.86	0.0219	0.7896	0.449	0.31980000000000003	0.06570000000000001	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-23	80
CRS	18590000000.0	0.0022	0.1273	0.2348	16.25%	4.25	2.26	0.35	0.35	0.2897	0.20420000000000002	0.1476	Jan 29/b	373.19	0.0298	763429.0	Carpenter Technology Corp	Industrials	Metal Fabrication	USA	43.35	1.28	19.3	-0.0417	0.025099999999999997	0.247	-0.0949	1.6924000000000001	48.01	-0.0148	0.0452	30.85	1.31	6.31	9.36	80.16	58.69	0.3661	0.18359999999999999	2.1797999999999997	0.2357	0.057	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-23	80
WBS	11180000000.0	0.0233	0.0121	0.1065	9.37%	0.05		0.1	0.48		0.2851	0.2206	Jan 23/b	69.34	0.0227	2348281.0	Webster Financial Corp	Financial	Banks - Regional	USA	11.74	1.04	1.33	-0.0039000000000000003	0.008100000000000001	0.1293	-0.063	0.7585999999999999	50.8	-0.0032	0.026000000000000002	9.28	0.81	2.53	1.21		11.08	0.1176	0.1251	0.2026	0.114	0.2817	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-23	80
FCFS	8520000000.0	0.0087	0.0676	0.15259999999999999	6.98%	4.55	3.08	1.08	1.13	0.5167	0.1536	0.0902	Feb 05/b	193.62	0.008	355019.0	FirstCash Holdings Inc	Financial	Credit Services	USA	26.09	0.46	5.83	0.0113	0.06849999999999999	0.2438	-0.03	0.6953	59.03	0.0045000000000000005	0.0034999999999999996	15.74	0.78	2.33	3.74	68.02	18.15	0.1838	0.18600000000000003	0.237	0.2018	0.17550000000000002	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-23	75
FIX	49540000000.0	0.0019	0.1834	0.4924	35.38%	1.21	1.19	0.18	0.2	0.2346	0.1442	0.11230000000000001	Feb 19/a	1408.25	0.038	575276.0	Comfort Systems USA, Inc	Industrials	Engineering & Construction	USA	48.74	1.6	73.62	0.0042	0.0992	0.563	-0.061200000000000004	4.0942	54.7	0.0298	0.008	31.79	1.82	5.44	20.23	50.45	48.2	0.2729	0.2051	0.47850000000000004	0.1747	0.2608	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-23	75
TSEM	19240000000.0		0.0689	0.0791	7.22%	6.48	5.51	0.05	0.06	0.2323	0.124	0.1408	Feb 11/b	172.13	0.0519	5364741.0	Tower Semiconductor Ltd	Technology	Semiconductors	Israel	88.77	0.75	11.7	0.30670000000000003	0.3143	0.9662000000000001	-0.0334	5.0100999999999996	74.11	0.0067	0.045	35.19	0.86	12.28	6.64	16.7		0.3018	0.6409	0.2039	0.4071	0.0435	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-23	75
