Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Forward P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
MU	1010310000000.0	0.0006	0.2762	0.3982	29.16%	2.9	2.32	0.14	0.15	0.5854	0.4865	0.41490000000000005	Mar 18/a	895.88	0.1929	75128071.0	Micron Technology Inc	Technology	Semiconductors	USA	42.3	1.99	55.83	0.3035	0.6954	1.7441	0.0943	8.8524	74.86	0.0919	0.0925	8.88	0.07	17.38	13.95	69.13	98.27	6.0696	0.7218000000000001	0.2619	1.2122	0.1176	True	True	True	True	True	True	True	True	True	True	True	True	2026-05-26	100
AVGO	1998080000000.0	0.006500000000000001	0.149	0.3337	17.38%	1.9	1.73	0.8	0.83	0.6496	0.4157	0.3657	Jun 03/a	422.01	0.019	21866757.0	Broadcom Inc	Technology	Semiconductors	USA	82.32	1.42	15.16	0.006500000000000001	0.1134	0.20420000000000002	-0.046	0.8658	56.45	0.0079	0.011000000000000001	23.30	0.47	29.26	25.02	140.97	69.11	0.6522	0.6072	0.4976	0.4911	0.21739999999999998	True	True	True	True	True	True	True	True	True	True	True	True	2026-05-26	100
NBIX	15660000000.0		0.15560000000000002	0.225	17.53%	2.93	2.85	0.12	0.12	0.9817	0.2575	0.2155	May 05/a	155.73	-0.0062	975140.0	Neurocrine Biosciences Inc	Healthcare	Drug Manufacturers - Specialty & Generic	USA	23.94	0.37	4.23	0.052199999999999996	0.134	0.12029999999999999	-0.040999999999999995	0.3243	66.71	-0.0144	0.0083	16.44	0.45	5.05	4.6	11.9	18.84	0.629	0.24530000000000002	0.0231	0.36210000000000003	0.2229	True	True	True	True	True	True	True	True	True	True	True	True	2026-05-26	100
NVDA	5199610000000.0	0.0027	0.8297	1.1429	77.17%	3.44	2.85	0.06	0.07	0.7415	0.6402	0.6297	May 20/a	214.86	-0.0022	182728395.0	NVIDIA Corp	Technology	Semiconductors	USA	32.9	2.24	7.49	0.0009	0.08789999999999999	0.1477	-0.0917	0.6635	53.26	-0.0076	0.0055000000000000005	17.38	0.39	20.51	26.62	64.53	49.02	0.8598	0.39390000000000003	0.9527	0.44049999999999995	0.669	True	True	True	True	True	True	True	True	True	True	True	True	2026-05-26	100
AMG	8150000000.0	0.0001	0.0833	0.2404	12.56%	1.18	1.18	0.94	0.94	0.9361	0.1954	0.3542	May 01/b	308.65	0.0222	227611.0	Affiliated Managers Group Inc	Financial	Asset Management	USA	12.58	1.14	9.75	0.0316	0.06559999999999999	0.1306	-0.0781	0.7889	60.55	0.015	0.006999999999999999	7.81	0.36	3.83	2.65	21.68	7.46	0.32549999999999996	0.1441	0.3932	0.2163	0.0054	True	True	True	True	True	True	True	True	True	True	True	True	2026-05-26	95
LLY	1002710000000.0	0.0067	0.24539999999999998	1.0764	35.82%	1.5	1.1	1.26	1.39	0.8283	0.473	0.34979999999999994	Apr 30/b	1064.74	-0.0002	2827767.0	Lilly(Eli) & Co	Healthcare	Drug Manufacturers - General	USA	38.33	0.5	29.6	0.0824	0.1268	0.1444	-0.061	0.7069	68.23	-0.01	0.0098	23.96	0.85	13.88	32.2	189.84	84.81	0.5075	0.21739999999999998	0.2759	0.2818	0.2158	True	True	True	True	True	True	True	True	True	True	True	True	2026-05-26	95
NEM	119150000000.0	0.0092	0.1494	0.2556	20.96%	2.44	1.95	0.16	0.16	0.5512	0.5262	0.3464	Apr 23/a	111.61	0.0369	6486583.0	Newmont Corp	Basic Materials	Gold	USA	14.48	0.44	4.54	-0.0009	0.006500000000000001	0.12029999999999999	-0.1725	1.1545999999999998	49.62	0.0055000000000000005	0.031200000000000002	9.35	0.42	4.88	3.43	13.57	12.9	0.5249	0.1365	0.1275	0.22519999999999998	0.1412	True	True	True	True	True	True	True	True	True	True	True	True	2026-05-26	95
NXPI	83990000000.0	0.013000000000000001	0.1015	0.262	12.11%	2.24	1.55	1.0	1.07	0.5371	0.2631	0.21030000000000001	Apr 28/a	332.67	0.0512	4611593.0	NXP Semiconductors NV	Technology	Semiconductors	Netherlands	31.83	1.78	12.82	0.126	0.3771	0.46649999999999997	0.0501	0.8179000000000001	73.3	0.0387	0.0121	18.90	0.94	6.66	7.69	22.65	30.14	0.2429	0.19899999999999998	1.1219	0.20079999999999998	0.0733	True	True	True	True	True	True	True	True	True	True	True	True	2026-05-26	95
SIMO	9740000000.0	0.0067	0.1477	0.2023	18.73%	2.85	1.38	0.0	0.0	0.48090000000000005	0.1277	0.15990000000000001	Apr 28/a	290.32	0.051399999999999994	1849495.0	Silicon Motion Technology Corp ADR	Technology	Semiconductors	Hong Kong	57.74	1.7	17.12	0.1797	0.6645	1.4545	0.0425	3.8106	77.09	-0.0063	0.057999999999999996	28.71	0.59	9.18	10.75	47.08		1.3840999999999999	0.195	0.0977	0.4854	0.1039	True	True	True	True	True	True	True	True	True	True	True	True	2026-05-26	95
STRL	24040000000.0		0.1439	0.3475	23.10%	1.1	1.1	0.26	0.29	0.2243	0.1741	0.1202	May 04/a	783.53	0.069	561836.0	Sterling Infrastructure Inc	Industrials	Engineering & Construction	USA	70.05	1.71	50.02	0.0674	0.4061	0.9576	-0.12269999999999999	3.366	60.5	0.0378	0.0301	33.72	0.88	8.33	20.21	46.97	54.61	0.7195999999999999	0.242	0.4426	0.3851	0.1177	True	True	True	True	True	True	True	True	True	True	True	True	2026-05-26	95
