Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
EXEL	11140000000.0		0.2667	0.3553	33.52%	3.56	3.5	0.08	0.09	0.9639	0.3848	0.3373	Feb 10/a	42.89	0.022400000000000003	1926781.0	Exelixis Inc	Healthcare	Biotechnology	USA	15.41	0.43	1.18	0.0291	0.0040999999999999995	0.032	-0.1356	0.3246	55.02	0.0066	0.015700000000000002	10.93	0.7	4.8	5.21	10.52	12.72	0.07629999999999999	0.18359999999999999	0.5119	0.15689999999999998	0.1863	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-31	90
SSRM	5980000000.0		0.0702	0.1197	10.83%	2.08	1.25	0.04	0.11	0.35729999999999995	0.28859999999999997	0.24280000000000002	Feb 17/a	29.42	0.1225	5668205.0	SSR Mining Inc	Basic Materials	Gold	USA	16.1	-0.01	2.06	0.06	0.07490000000000001	0.3797	-0.1215	2.4008000000000003	56.57	0.08960000000000001	0.0301	5.64	0.17	3.67	1.7	10.39	24.7	1.2286	0.1646	0.12990000000000002	0.3271	0.1382	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-31	90
PAHC	2240000000.0	0.0087	0.0684	0.318	8.56%	3.05	1.22	2.24	2.33	0.3178	0.11900000000000001	0.0629	Feb 04/a	55.31	0.036699999999999997	322181.0	Phibro Animal Health Corp	Healthcare	Drug Manufacturers - Specialty & Generic	USA	24.52	0.69	2.61	0.06280000000000001	0.12029999999999999	0.40240000000000004	-0.0401	2.4226	59.66	0.0254	0.0111	16.44	0.78	1.53	6.75	30.13	47.47	0.4474	0.1124	0.0745	0.2104	0.1012	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-31	85
JBL	28050000000.0	0.0012	0.0426	0.5988	15.76%	1.01	0.68	2.82	3.27	0.10640000000000001	0.049800000000000004	0.0248	Mar 18/b	265.63	0.0733	1127932.0	Jabil Inc	Technology	Electronic Components	USA	35.63	1.18	13.55	0.0279	0.0384	0.1752	-0.0639	1.4446	52.83	0.051500000000000004	0.0208	18.39	0.91	0.86	21.11	15.33	22.0	0.2627	0.17329999999999998	0.7636	0.2022	0.0179	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-31	85
SQM	11560000000.0	0.0236	0.0451	0.1081	5.90%	3.27	2.25	0.75	0.84	0.2933	0.245	0.1284	Feb 28/a	80.94	0.0002	2268453.0	Sociedad Quimica Y Minera de Chile S.A. ADR	Basic Materials	Specialty Chemicals	Chile	39.31	0.95	3.78	0.06480000000000001	0.0629	0.44439999999999996	-0.0603	1.7568000000000001	58.13	0.004699999999999999	-0.0044	12.95	0.37	2.52	4.06	4.24	26.45	1.8488999999999998	0.06480000000000001	0.2712	0.35450000000000004	0.20120000000000002	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-31	85
WBS	11190000000.0	0.0233	0.0121	0.1065	9.37%	0.05		0.1	0.48		0.2851	0.2206	Jan 23/b	69.42	0.022099999999999998	3199303.0	Webster Financial Corp	Financial	Banks - Regional	USA	11.75	1.02	1.21	0.011699999999999999	0.001	0.1223	-0.061900000000000004	0.7606	52.17	0.0068000000000000005	0.0152	9.33	0.91	2.53	1.22		11.1	0.1143	0.1242	0.2026	0.10289999999999999	0.2817	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-31	80
CRS	19630000000.0	0.0021	0.1273	0.2348	16.25%	4.25	2.26	0.35	0.35	0.2897	0.20420000000000002	0.1476	Jan 29/b	394.15	0.0632	964329.0	Carpenter Technology Corp	Industrials	Metal Fabrication	USA	45.78	1.25	20.56	0.0191	0.061200000000000004	0.2985	-0.044000000000000004	1.8436000000000001	53.84	0.0668	-0.0034000000000000002	32.59	1.38	6.67	9.89	84.66	61.99	0.3661	0.18359999999999999	2.1797999999999997	0.2357	0.057	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-31	80
FCFS	8270000000.0	0.009000000000000001	0.0676	0.15259999999999999	6.98%	4.55	3.08	1.08	1.13	0.5167	0.1536	0.0902	Feb 05/b	188.0	-0.018600000000000002	674061.0	FirstCash Holdings Inc	Financial	Credit Services	USA	25.33	0.45	6.41	-0.0189	0.0212	0.19329999999999997	-0.0581	0.6114999999999999	48.06	-0.021099999999999997	0.0025	15.3	0.76	2.26	3.63	66.05	17.63	0.1821	0.1864	0.237	0.2018	0.17550000000000002	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-31	75
FIX	48510000000.0	0.002	0.1834	0.4924	35.38%	1.21	1.19	0.18	0.2	0.2346	0.1442	0.11230000000000001	Feb 19/a	1378.99	0.08310000000000001	451068.0	Comfort Systems USA, Inc	Industrials	Engineering & Construction	USA	47.73	1.62	80.22	-0.0058	0.0449	0.4867	-0.08070000000000001	3.9884	50.86	0.061200000000000004	0.0207	31.13	1.78	5.33	19.81	49.4	47.2	0.2729	0.2051	0.47850000000000004	0.1747	0.2608	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-31	75
AZN	305850000000.0	0.017	0.09380000000000001	0.2286	13.67%	0.94	0.72	0.54	0.61	0.7434999999999999	0.2316	0.1741	Feb 10/b	197.22	0.0172	2746831.0	Astrazeneca plc	Healthcare	Drug Manufacturers - General	United Kingdom	30.11	0.41	4.72	0.0317	0.020099999999999996	0.1653	-0.0728	0.6131	57.1	0.012199999999999999	0.005	16.98	1.4	5.21	6.28	53.28	25.15	0.124	0.1278	0.2205	0.12119999999999999	0.1631	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-31	75
AGX	7600000000.0	0.0034000000000000002	0.13419999999999999	0.3385	29.56%	1.59	1.58	0.01	0.01	0.203	0.1426	0.1459	Mar 26/a	544.65	0.059699999999999996	611842.0	Argan, Inc	Industrials	Engineering & Construction	USA	55.95	0.46	41.33	0.16269999999999998	0.2809	0.7513	-0.0737	3.8997	62.66	0.039900000000000005	0.019	37.89	1.94	8.04	16.44	8.49	18.49	0.1331	0.30260000000000004	0.4523	0.1954	0.19219999999999998	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-31	75
IESC	9500000000.0		0.23190000000000002	0.4201	33.01%	1.8	1.62	0.07	0.07	0.24420000000000003	0.1167	0.09699999999999999	Jan 30/b	476.47	0.0787	303116.0	IES Holdings Inc	Industrials	Engineering & Construction	USA	28.34	1.69	31.28	0.0438	0.0176	0.20920000000000002	-0.1139	2.252	52.44	0.0533	0.0241	23.53	1.09	2.72	9.88	36.7	35.09	0.28550000000000003	0.1532	0.5008	0.2161	0.2288	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-31	75
TSEM	19610000000.0		0.0689	0.0791	7.22%	6.48	5.51	0.05	0.06	0.2323	0.124	0.1408	Feb 11/b	175.48	0.1066	3384096.0	Tower Semiconductor Ltd	Technology	Semiconductors	Israel	90.5	0.7	13.2	0.20190000000000002	0.2799	0.9164	-0.1018	5.1271	63.1	0.0388	0.0652	35.87	0.85	12.52	6.76	17.02		0.3018	0.6409	0.2039	0.42200000000000004	0.0435	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-31	75
PGC	618660000.0	0.005699999999999999	0.0051	0.0591	4.70%	0.03		0.21	0.33		0.11779999999999999	0.084	Oct 28	35.21	0.008	121213.0	Peapack-Gladstone Financial Corp	Financial	Banks - Regional	USA	16.73	0.6	1.13	0.0311	0.054299999999999994	0.20920000000000002	-0.0184	0.46950000000000003	60.01	-0.0051	0.0132	9.93	0.27	1.39	0.94		21.65	0.10679999999999999	0.7326	0.0891	0.36229999999999996	0.14300000000000002	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-31	70
WMB	88910000000.0	0.028999999999999998	0.0447	0.20739999999999997	6.49%	0.53	0.48	2.14	2.31	0.4157	0.3547	0.22149999999999997	Feb 10/b	72.78	0.0043	9416678.0	Williams Cos Inc	Energy	Oil & Gas Midstream	USA	34.1	0.64	1.69	-0.0129	0.0229	0.163	-0.053200000000000004	0.41100000000000003	49.49	-0.003	0.0073	28.19	2.01	7.53	6.96	1411.2	98.89	0.09539999999999998	0.1222	0.6564	0.14	0.0891	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-31	70
FHI	4310000000.0	0.024300000000000002	0.17350000000000002	0.3361	23.57%	2.75	2.75	0.36	0.38	0.7478	0.2954	0.2127	Jan 29/a	56.71	0.009399999999999999	681453.0	Federated Hermes Inc	Financial	Asset Management	USA	11.05	0.65	1.5	0.0054	0.0277	0.1	-0.022099999999999998	0.618	54.15	-0.0039000000000000003	0.013300000000000001	9.85	1.2	2.38	3.62	5.94	14.63	0.0008	0.1213	0.0971	0.0819	0.045899999999999996	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-31	70
GLW	116660000000.0	0.0088	0.054400000000000004	0.1419	7.87%	1.59	1.04	0.72	0.79	0.3532	0.1532	0.10210000000000001	Jan 28/b	135.97	0.057699999999999994	10607929.0	Corning, Inc	Technology	Electronic Components	USA	73.94	1.08	9.24	0.0207	0.0667	0.5439	-0.1612	2.6443	52.06	0.0349	0.022000000000000002	35.08	1.48	7.46	9.3	76.45	82.56	0.2305	0.24989999999999998	0.2786	0.2364	0.0668	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-31	70
BK	81490000000.0	0.0187	0.0125	0.12960000000000002	7.10%	1.68		0.69	1.73		0.16899999999999998	0.1308	Apr 16/b	118.63	0.03	4820039.0	Bank Of New York Mellon Corp	Financial	Banks - Diversified	USA	16.0	1.04	2.9	0.0206	0.0017000000000000001	0.0855	-0.0787	0.6837000000000001	54.82	0.0176	0.012199999999999999	12.71	1.17	2.01	2.07		15.74	0.1319	0.11410000000000001	0.141	0.10859999999999999	0.19269999999999998	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-31	65
BWXT	18700000000.0	0.0053	0.09210000000000002	0.2844	10.02%	2.32	2.25	1.66	1.67	0.22870000000000001	0.1011	0.10279999999999999	Feb 23/a	204.49	0.0673	1010531.0	BWX Technologies Inc	Industrials	Aerospace & Defense	USA	57.11	0.82	10.94	0.0106	0.0040999999999999995	0.1284	-0.0801	1.4284000000000001	50.73	0.0482	0.0183	39.68	3.04	5.85	15.17	37.19	63.33	0.1503	0.11720000000000001	0.042300000000000004	0.1306	0.08539999999999999	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-31	65
MYRG	4390000000.0		0.0736	0.18780000000000002	15.88%	1.33	1.33	0.13	0.16	0.11449999999999999	0.044500000000000005	0.032400000000000005	Feb 25/a	282.32	0.057	453636.0	MYR Group Inc	Industrials	Engineering & Construction	USA	37.45	1.07	13.95	0.04650000000000001	0.061799999999999994	0.29410000000000003	-0.0294	1.8891	56.75	0.0535	0.0033	26.23	1.3	1.2	6.64	29.22	18.9	0.23559999999999998	0.1568	0.16699999999999998	0.2018	0.1023	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-31	65
SPNT	2520000000.0		0.0466	0.2086	13.95%	0.67		0.29	0.29		0.2016	0.1383	Feb 18/a	21.54	0.0175	716822.0	SiriusPoint Ltd	Financial	Insurance - Reinsurance	Bermuda	5.85	0.64	0.65	0.0356	0.0437	0.08960000000000001	-0.059000000000000004	0.4593	58.62	0.005600000000000001	0.0118	7.75	1.15	0.79	1.11		26.22	0.0012	0.0892	0.1984	0.0673	0.2983	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-31	65
MTZ	25380000000.0		0.0407	0.1293	6.97%	1.32	1.29	0.76	0.86	0.0955	0.045599999999999995	0.0279	Feb 26/a	321.74	0.0521	922796.0	Mastec Inc	Industrials	Engineering & Construction	USA	63.42	1.77	15.39	0.0546	0.1499	0.4793	-0.021099999999999997	2.2271	60.36	0.0418	0.009899999999999999	30.58	1.29	1.78	7.79	64.1	88.84	0.2893	0.2458	0.0297	0.23670000000000002	0.1773	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-31	65
