Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
AGI	21230000000.0	0.0025	0.1512	0.2206	19.02%	1.72	1.33	0.05	0.05	0.5326	0.4805	0.48969999999999997	Feb 18/a	50.56	-0.011699999999999999	2806761.0	Alamos Gold Inc	Basic Materials	Gold	Canada	24.12	0.56	2.76	0.0349	0.1499	0.4892	-0.0875	1.22	57.1	-0.025099999999999997	0.0137	14.9	0.4	11.74	4.77	31.13	79.49	0.9690000000000001	0.23079999999999998	0.4175	0.3693	0.1931	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-10	100
AVGO	1623980000000.0	0.0076	0.149	0.3337	17.38%	1.9	1.73	0.8	0.83	0.6496	0.4157	0.3657	Mar 04/a	342.52	-0.009300000000000001	29412076.0	Broadcom Inc	Technology	Semiconductors	USA	66.86	1.24	15.02	0.0374	0.0252	0.0643	-0.1739	1.4802000000000002	57.15	-0.018500000000000003	0.009300000000000001	19.54	0.41	23.78	19.98	114.57	56.17	0.6334000000000001	0.5732	0.4976	0.47119999999999995	0.21739999999999998	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-10	100
CDE	14990000000.0		0.1675	0.2641	16.08%	2.47	1.66	0.1	0.11	0.3931	0.3628	0.28309999999999996	Feb 18/a	23.35	0.0286	17303871.0	Coeur Mining Inc	Basic Materials	Gold	USA	25.36	1.22	1.75	-0.0189	0.0452	0.47350000000000003	-0.1592	4.0983	50.02	0.0034000000000000002	0.025099999999999997	10.18	0.24	7.25	4.53	27.08	22.52	1.7859	0.028999999999999998	0.5525	0.42090000000000005	0.2164	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-10	100
MU	454080000000.0	0.0012	0.15130000000000002	0.2255	16.85%	2.46	1.78	0.2	0.21	0.45530000000000004	0.3292	0.2815	Mar 18/a	403.44	0.0363	33390211.0	Micron Technology Inc	Technology	Semiconductors	USA	38.35	1.55	25.71	-0.0069	0.0608	0.8493	-0.1143	5.555700000000001	52.17	0.022000000000000002	0.0139	8.22	0.1	10.73	7.72	44.0	97.61	3.2039999999999997	0.4077	0.2619	0.8267	0.1176	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-10	100
EGO	8439999999.999999	0.004699999999999999	0.0828	0.1272	9.20%	1.83	1.46	0.29	0.3	0.4487	0.4147	0.2789	Feb 19/a	42.49	0.047599999999999996	3280128.0	Eldorado Gold Corp	Basic Materials	Gold	Canada	17.02	0.55	2.53	-0.037200000000000004	0.0083	0.435	-0.16949999999999998	2.022	49.02	0.0177	0.029300000000000003	6.64	0.13	4.64	1.97	9.71		1.5834000000000001	0.41479999999999995	0.2792	0.5232	0.1206	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-10	90
CGAU	3880000000.0	0.0106	0.2224	0.3143	28.20%	2.39	1.65	0.01	0.01	0.2547	0.18710000000000002	0.44689999999999996	Feb 19/a	19.4	0.0248	1258787.0	Centerra Gold Inc	Basic Materials	Gold	Canada	6.82	0.84	1.11	0.0105	0.0969	0.6694	-0.0836	2.5860000000000003	54.6	0.0067	0.018000000000000002	9.98	0.52	2.97	1.88	7.18	41.65	0.7001999999999999	0.0305	0.1553	0.19079999999999997	0.1295	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-10	90
WPM	68480000000.00001	0.0044	0.1267	0.1305	12.37%	8.09	8.09	0.0	0.0	0.6851999999999999	0.6409	0.5472	Mar 12/a	150.83	0.0195	1605981.0	Wheaton Precious Metals Corp	Basic Materials	Gold	Canada	68.46	0.52	7.17	-0.0016	0.0736	0.3729	-0.0901	1.2170999999999998	52.78	-0.0075	0.027200000000000002	28.9	0.49	37.41	8.46	59.15	98.57	1.0686	0.7897	0.433	0.5917	0.0832	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-10	90
FNV	50620000000.0	0.0059	0.1331	0.1417	13.13%	4.64	4.63	0.0	0.0	0.7199	0.6908	0.5951	Mar 10/a	262.57	-0.0017000000000000001	660730.0	Franco-Nevada Corporation	Basic Materials	Gold	Canada	55.06	0.43	11.51	0.0007000000000000001	0.0664	0.3013	-0.0809	0.8751000000000001	53.59	-0.0178	0.0163	30.63	0.68	32.75	7.23	213.85		0.6823	0.5876	0.09380000000000001	0.4522	0.057	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-10	90
AU	54660000000.0	0.052000000000000005	0.0941	0.1942	25.66%	2.87	2.2	0.27	0.28	0.5218	0.4389	0.26649999999999996	Feb 20/b	108.26	-0.0059	2799564.0	AngloGold Ashanti Plc	Basic Materials	Gold	United Kingdom	20.83	0.59	6.49	-0.052000000000000005	0.0362	0.4781	-0.1617	2.5860000000000003	47.07	-0.0194	0.0138	9.85	0.37	5.53	7.09	18.67	17.44	0.9762000000000001	0.036000000000000004	0.1794	0.26489999999999997	0.1745	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-10	85
PAHC	2049999999.9999998	0.0095	0.0684	0.318	8.56%	3.05	1.22	2.24	2.33	0.3178	0.11900000000000001	0.0629	Feb 04/a	50.43	0.0338	295056.0	Phibro Animal Health Corp	Healthcare	Drug Manufacturers - Specialty & Generic	USA	22.36	0.73	2.48	-0.026099999999999998	0.11470000000000001	0.35229999999999995	-0.1043	2.1207	53.31	0.0379	-0.0039000000000000003	14.99	0.71	1.4	6.15	27.47	43.28	0.4474	0.1124	0.0745	0.2104	0.1012	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-10	85
