Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
AGI	19250000000.0	0.0025	0.1512	0.2206	19.02%	1.72	1.33	0.05	0.05	0.5326	0.4805	0.48969999999999997	Feb 18/a	45.86	0.048499999999999995	4065554.0	Alamos Gold Inc	Basic Materials	Gold	Canada	21.87	0.6	2.61	0.0862	0.12990000000000002	0.4203	-0.0171	1.0812	58.25	0.0506	-0.0021	13.34	0.37	10.64	4.33	28.23	72.09	0.9823999999999999	0.2386	0.4175	0.3583	0.1931	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-19	100
NVDA	4566140000000.0	0.0002	0.7715000000000001	1.0735999999999999	77.27%	4.47	3.71	0.08	0.09	0.7005	0.5884	0.5301	Feb 25/a	187.91	-0.0004	122281588.0	NVIDIA Corp	Technology	Semiconductors	USA	46.54	2.32	6.18	0.0104	0.0173	0.0874	-0.1144	1.1693	52.79	0.0046	-0.0049	24.14	0.48	24.4	38.41	75.34	59.05	0.5669	0.6615000000000001	0.9183	0.49810000000000004	0.6424	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-19	100
MU	469630000000.0	0.0012	0.15130000000000002	0.2255	16.85%	2.46	1.78	0.2	0.21	0.45530000000000004	0.3292	0.2815	Dec 17/a	417.26	-0.0088	21370643.0	Micron Technology Inc	Technology	Semiconductors	USA	39.66	1.5	25.39	0.0268	0.2236	1.1106	-0.0839	5.7802999999999995	59.39	0.0039000000000000003	-0.0126	9.08	0.11	11.1	7.99	45.51	100.95	3.07	0.3619	0.2619	0.8011	0.1176	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-19	100
AMG	8600000000.0	0.0001	0.0795	0.2177	12.04%	1.4	1.4	0.84	0.84	0.9267	0.2823	0.308	Feb 12/b	322.23	-0.0258	322027.0	Affiliated Managers Group Inc	Financial	Asset Management	USA	14.07	1.17	11.51	0.022400000000000003	0.0633	0.33990000000000004	-0.0375	1.3144999999999998	56.49	-0.0169	-0.009000000000000001	8.49	0.41	3.7	2.69	14.67	8.56	0.265	0.1514	0.3932	0.2077	0.0054	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-19	95
SSRM	5910000000.0		0.0702	0.1197	10.83%	2.08	1.25	0.04	0.11	0.35729999999999995	0.28859999999999997	0.24280000000000002	Feb 17/a	29.11	0.09480000000000001	5580060.0	SSR Mining Inc	Basic Materials	Gold	USA	15.93	-0.14	1.92	0.12240000000000001	0.2195	0.5376	0.0104	2.3649	61.29	0.096	-0.0011	5.67	0.17	3.63	1.68	10.27	24.4	1.3131	0.1047	0.12990000000000002	0.3317	0.1382	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-19	90
KGC	40380000000.0	0.004	0.2054	0.3096	25.61%	2.35	1.37	0.09	0.09	0.47450000000000003	0.4341	0.33899999999999997	Feb 18/a	33.45	-0.0321	14894447.0	Kinross Gold Corp	Basic Materials	Gold	Canada	17.08	0.75	1.81	-0.0281	0.0535	0.4594	-0.1447	2.2412	50.49	-0.0042	-0.0281	10.2	0.93	5.73	4.68	23.0	16.0	0.6426999999999999	0.085	0.1292	0.1101	0.1085	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-19	90
FNV	49150000000.0	0.006	0.1331	0.1417	13.13%	4.64	4.63	0.0	0.0	0.7199	0.6908	0.5951	Mar 10/a	254.96	0.0031	482746.0	Franco-Nevada Corporation	Basic Materials	Gold	Canada	53.47	0.48	10.71	0.0245	0.1026	0.30760000000000004	-0.068	0.8603000000000001	57.09	0.0104	-0.0072	30.05	0.65	31.8	7.02	207.65		0.6831999999999999	0.5700999999999999	0.09380000000000001	0.4642	0.057	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-19	90
EXEL	11470000000.0		0.2667	0.3553	33.52%	3.56	3.5	0.08	0.09	0.9639	0.3848	0.3373	Feb 10/a	44.16	-0.006999999999999999	2735751.0	Exelixis Inc	Healthcare	Biotechnology	USA	15.86	0.41	1.44	0.0199	0.0131	0.0644	-0.11	0.3638	54.17	0.0002	-0.0072	10.83	0.62	4.94	5.36	10.83	13.09	0.0759	0.23079999999999998	0.5119	0.1736	0.1863	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-19	90
WPM	65989999999.99999	0.0045000000000000005	0.1267	0.1305	12.37%	8.09	8.09	0.0	0.0	0.6851999999999999	0.6409	0.5472	Nov 06/a	145.34	0.0036	1708141.0	Wheaton Precious Metals Corp	Basic Materials	Gold	Canada	65.97	0.53	6.82	0.017	0.1139	0.3825	-0.09369999999999999	1.1794	55.94	0.0128	-0.0091	29.58	0.52	36.05	8.15	57.0	94.95	1.0276	0.7187	0.433	0.5743	0.0832	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-19	90
LRCX	296520000000.0	0.0043	0.3014	0.6556000000000001	44.78%	2.26	1.61	0.37	0.44	0.498	0.33759999999999996	0.30219999999999997	Jan 28/a	237.45	-0.011000000000000001	6365225.0	Lam Research Corp	Technology	Semiconductor Equipment & Materials	USA	48.66	1.77	11.7	0.029300000000000003	0.1606	0.7302	-0.057300000000000004	3.2161	59.05	0.0106	-0.0213	33.89	1.37	14.42	29.28	47.98	47.71	0.2847	0.3172	0.2242	0.2481	0.1292	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-19	85
PAAS	25830000000.0	0.0105	0.11539999999999999	0.1672	12.55%	2.69	1.97	0.11	0.12	0.3766	0.32270000000000004	0.2702	Feb 18/a	61.21	0.0552	9128594.0	Pan American Silver Corp	Basic Materials	Gold	Canada	24.46	0.65	3.7	0.037000000000000005	0.10880000000000001	0.5989	-0.12539999999999998	1.9786000000000001	56.68	0.0592	-0.0038	13.31	0.62	7.14	3.69	19.59	24.25	0.5331	0.1809	0.248	0.2159	0.22	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-19	85
PAHC	2100000000.0	0.009300000000000001	0.0684	0.318	8.56%	3.05	1.22	2.24	2.33	0.3178	0.11900000000000001	0.0629	Feb 04/a	51.85	0.0151	213659.0	Phibro Animal Health Corp	Healthcare	Drug Manufacturers - Specialty & Generic	USA	22.99	0.75	2.16	0.1277	0.2346	0.46490000000000004	-0.079	2.2085	70.5	0.0233	-0.008	15.41	0.73	1.44	6.32	28.24	44.5	0.4474	0.1124	0.0745	0.2104	0.1012	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-19	85
FIX	48450000000.0	0.0014000000000000002	0.16440000000000002	0.4384	31.94%	1.22	1.2	0.17	0.19	0.2278	0.1336	0.10060000000000001	Feb 19/a	1373.52	0.040999999999999995	645560.0	Comfort Systems USA, Inc	Industrials	Engineering & Construction	USA	58.16	1.65	63.76	0.12269999999999999	0.2589	0.7223	-0.0182	3.9686000000000003	69.8	0.0383	0.0026	44.38	1.27	5.82	21.69	54.98	60.65	0.7990999999999999	0.1784	0.3652	0.34979999999999994	0.2186	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-19	85
SIMO	4500000000.0	0.0166	0.1085	0.1525	14.66%	2.79	1.54	0.0	0.0	0.4827	0.105	0.1381	Feb 03/a	132.31	-0.0034000000000000002	497891.0	Silicon Motion Technology Corp ADR	Technology	Semiconductors	Hong Kong	36.48	1.01	8.08	0.053200000000000004	0.20829999999999999	0.5189	-0.0855	2.5558	61.41	0.0023	-0.005699999999999999	18.75	0.4	5.08	5.39	22.27	715.91	0.604	0.23920000000000002	0.0977	0.4731	0.1039	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-19	85
STRL	12750000000.0		0.1377	0.35729999999999995	22.98%	1.0	1.0	0.31	0.34	0.22190000000000001	0.16140000000000002	0.1414	Feb 25/a	415.13	0.011000000000000001	554042.0	Sterling Infrastructure Inc	Industrials	Engineering & Construction	USA	40.71	1.48	24.0	0.0611	0.1924	0.38409999999999994	-0.1167	3.3089999999999997	60.58	0.0113	-0.0003	34.28	1.02	5.71	12.13	41.62	35.4	0.6977	0.16949999999999998	0.41229999999999994	0.335	0.1344	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-19	85
SSB	10410000000.0	0.0231	0.013999999999999999	0.10679999999999999	8.19%	0.1		0.08	0.15		0.26239999999999997	0.2266	Jan 22/a	103.61	-0.0008	740588.0	SouthState Bank Corp	Financial	Banks - Regional	USA	13.16	0.72	2.5	0.0011	0.044199999999999996	0.0897	-0.0447	0.3328	56.14	0.0104	-0.0111	9.84	0.8	2.96	1.13			0.20550000000000002	0.10980000000000001	0.2914	0.1232	0.2657	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-19	80
CRS	19130000000.0	0.0022	0.1273	0.2348	16.25%	4.25	2.26	0.35	0.35	0.2897	0.20420000000000002	0.1476	Jan 29/b	383.98	0.0315	750582.0	Carpenter Technology Corp	Industrials	Metal Fabrication	USA	44.6	1.24	16.24	0.09720000000000001	0.1445	0.3638	-0.0172	1.7702	65.87	0.020499999999999997	0.0108	31.71	1.35	6.5	9.63	82.47	60.39	0.36939999999999995	0.1822	2.1797999999999997	0.2351	0.057	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-19	80
