Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
KGC	38120000000.0	0.004	0.1537	0.2409	19.09%	2.83	1.68	0.16	0.16	0.4301	0.4007	0.273	Feb 18/a	31.58	0.0006	13661008.0	Kinross Gold Corp	Basic Materials	Gold	Canada	22.04	0.74	1.83	-0.0683	0.048499999999999995	0.44909999999999994	-0.1925	2.06	44.32	-0.0019	0.0025	11.55	0.19	5.92	4.8	21.96	17.42	1.5794	0.5593	0.06280000000000001	0.606	0.08039999999999999	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-02	100
MU	492750000000.0	0.0011	0.15130000000000002	0.2255	16.85%	2.46	1.78	0.2	0.21	0.45530000000000004	0.3292	0.2815	Dec 17/a	437.8	0.0552	36890891.0	Micron Technology Inc	Technology	Semiconductors	USA	41.62	1.52	22.64	0.174	0.4622	1.4576	-0.038900000000000004	6.1141	73.96	0.0623	-0.0066	10.07	0.13	11.65	8.38	47.75	105.92	2.9602	0.3249	0.2619	0.7526999999999999	0.1176	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-02	100
NVDA	4510320000000.0	0.0002	0.7715000000000001	1.0735999999999999	77.27%	4.47	3.71	0.08	0.09	0.7005	0.5884	0.5301	Feb 25/a	185.61	-0.028900000000000002	162336859.0	NVIDIA Corp	Technology	Semiconductors	USA	45.97	2.31	5.26	-0.0051	0.009300000000000001	0.10400000000000001	-0.1253	1.1428	48.81	-0.0087	-0.0204	23.98	0.49	24.1	37.94	74.42	58.33	0.5656	0.6533	0.9183	0.4941	0.6424	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-02	100
STRL	11300000000.0		0.1377	0.35729999999999995	22.98%	1.0	1.0	0.31	0.34	0.22190000000000001	0.16140000000000002	0.1414	Nov 03/a	367.95	0.0281	280898.0	Sterling Infrastructure Inc	Industrials	Engineering & Construction	USA	36.08	1.51	18.52	0.0762	0.1175	0.2945	-0.12210000000000001	2.8193	59.87	0.0282	-0.0001	30.64	0.9	5.06	10.75	36.89	31.38	0.6933	0.16260000000000002	0.41229999999999994	0.34119999999999995	0.1344	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-02	95
EVR	13720000000.0	0.009399999999999999	0.1323	0.3139	18.65%	2.71	2.71	0.57	0.63	0.9890000000000001	0.20079999999999998	0.1483	Feb 04/b	354.68	0.004	500864.0	Evercore Inc	Financial	Capital Markets	USA	28.29	1.57	11.65	-0.0333	0.025099999999999997	0.18289999999999998	-0.0875	1.3862999999999999	46.87	0.0048	-0.0008	19.77	0.56	3.85	7.56	5.68	13.25	0.4254	0.33630000000000004	0.056900000000000006	0.3507	0.08109999999999999	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-02	95
WPM	60030000000.0	0.005	0.1267	0.1305	12.37%	8.09	8.09	0.0	0.0	0.6851999999999999	0.6409	0.5472	Nov 06/a	132.21	0.0026	4083572.0	Wheaton Precious Metals Corp	Basic Materials	Gold	Canada	60.01	0.52	7.09	-0.0281	0.0848	0.3013	-0.17550000000000002	1.1320999999999999	48.84	0.0036	-0.0011	31.3	0.64	32.79	7.42	51.85	86.37	0.963	0.5262	0.433	0.4926	0.0832	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-02	90
FNV	44920000000.0	0.006500000000000001	0.1331	0.1417	13.13%	4.64	4.63	0.0	0.0	0.7199	0.6908	0.5951	Nov 03/a	232.99	-0.0058	960095.0	Franco-Nevada Corporation	Basic Materials	Gold	Canada	48.86	0.48	10.36	-0.0355	0.055999999999999994	0.2232	-0.1483	0.7238	46.9	0.002	-0.0079	29.34	0.71	29.06	6.42	189.76		0.6762999999999999	0.4756	0.09380000000000001	0.4131	0.057	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-02	90
AEM	95800000000.0	0.0077	0.1103	0.1567	14.48%	2.12	1.31	0.01	0.01	0.5305	0.4975	0.3262	Feb 12/a	190.82	0.0017000000000000001	3719068.0	Agnico Eagle Mines Ltd	Basic Materials	Gold	Canada	27.87	0.63	9.19	-0.0454	0.0481	0.2842	-0.1519	1.0717	46.22	0.015	-0.0131	15.78	0.37	9.07	4.08	40.41	26.24	0.9343	0.478	0.1368	0.4211	0.2713	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-02	90
RGLD	21900000000.0	0.0072	0.12359999999999999	0.149	11.49%	2.89	2.68	0.23	0.23	0.7159	0.6687000000000001	0.5597	Feb 18/a	259.46	-0.0146	1284888.0	Royal Gold, Inc	Basic Materials	Gold	USA	35.57	0.49	11.55	-0.0252	0.113	0.35	-0.1528	0.8755	50.07	-0.0102	-0.0044	21.41	0.63	25.53	5.01	126.69		0.5346	0.5015	0.2865	0.3408	0.11199999999999999	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-02	90
EXPE	33900000000.0	0.0042	0.0572	1.044	22.88%	0.74	0.74	3.54	4.85	0.8382	0.1298	0.0966	Feb 12/a	276.67	0.0447	2201077.0	Expedia Group Inc	Consumer Cyclical	Travel Services	USA	26.47	1.42	9.2	-0.0213	0.0043	0.2871	-0.08929999999999999	1.1281	49.53	0.026699999999999998	0.0175	15.18	0.71	2.36	25.46	4.46	11.31	0.2655	0.1895	0.1887	0.21289999999999998	0.0256	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-02	85
FIX	41490000000.0	0.0016	0.16440000000000002	0.4384	31.94%	1.22	1.2	0.17	0.19	0.2278	0.1336	0.10060000000000001	Oct 23/a	1176.26	0.029900000000000003	329590.0	Comfort Systems USA, Inc	Industrials	Engineering & Construction	USA	49.81	1.67	46.78	0.0721	0.1603	0.5814	-0.02	3.255	66.76	0.029300000000000003	0.0006	38.11	1.1	4.98	18.58	47.08	51.94	0.7990999999999999	0.1752	0.3652	0.34490000000000004	0.2186	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-02	85
LRCX	296580000000.0	0.0043	0.3014	0.6556000000000001	44.78%	2.26	1.61	0.37	0.44	0.498	0.33759999999999996	0.30219999999999997	Jan 28/a	237.5	0.0173	13196145.0	Lam Research Corp	Technology	Semiconductor Equipment & Materials	USA	48.68	1.79	10.98	0.07519999999999999	0.2758	0.8615999999999999	-0.0571	3.217	65.16	0.019299999999999998	-0.002	34.06	1.4	14.42	29.29	47.99	47.72	0.2829	0.3128	0.2242	0.2433	0.1292	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-02	85
