Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
PAHC	2270000000.0	0.0086	0.0684	0.318	8.56%	3.05	1.22	2.24	2.33	0.3178	0.11900000000000001	0.0629	Feb 04/a	55.82	-0.0209	390657.0	Phibro Animal Health Corp	Healthcare	Drug Manufacturers - Specialty & Generic	USA	24.75	0.68	2.57	0.0738	0.15	0.4315	-0.0296	2.4541999999999997	63.29	-0.0085	-0.0125	16.59	0.79	1.55	6.81	30.4	47.91	0.4474	0.1124	0.0745	0.2104	0.1012	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-26	85
SQM	11050000000.0	0.0223	0.0451	0.1081	5.90%	3.27	2.25	0.75	0.84	0.2933	0.245	0.1284	Feb 28/a	77.37	-0.0226	709227.0	Sociedad Quimica Y Minera de Chile S.A. ADR	Basic Materials	Specialty Chemicals	Chile	37.57	1.01	3.47	0.034	0.0172	0.3986	-0.1017	1.6352000000000002	53.98	-0.0044	-0.0183	11.91	0.31	2.41	3.88	4.05	25.29	1.8381	0.111	0.2712	0.3872	0.20120000000000002	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-26	85
JBL	27890000000.0	0.0012	0.0426	0.5988	15.76%	1.01	0.68	2.82	3.27	0.10640000000000001	0.049800000000000004	0.0248	Mar 18/b	264.15	-0.0674	1037448.0	Jabil Inc	Technology	Electronic Components	USA	35.43	1.14	12.66	0.0209	0.0349	0.1748	-0.0691	1.431	52.24	-0.0493	-0.019	18.29	0.9	0.85	21.0	15.24	21.88	0.2627	0.17329999999999998	0.7636	0.2022	0.0179	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-26	85
CRS	19500000000.0	0.0021	0.1273	0.2348	16.25%	4.25	2.26	0.35	0.35	0.2897	0.20420000000000002	0.1476	Jan 29/b	391.51	-0.037200000000000004	1009810.0	Carpenter Technology Corp	Industrials	Metal Fabrication	USA	45.48	1.23	19.97	0.0038	0.0622	0.2984	-0.050499999999999996	1.8244999999999998	53.09	-0.0176	-0.02	32.37	1.37	6.62	9.82	84.09	61.57	0.3661	0.18359999999999999	2.1797999999999997	0.2357	0.057	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-26	80
FCFS	8449999999.999999	0.0087	0.0676	0.15259999999999999	6.98%	4.55	3.08	1.08	1.13	0.5167	0.1536	0.0902	Feb 05/b	192.0	0.008199999999999999	215760.0	FirstCash Holdings Inc	Financial	Credit Services	USA	25.87	0.47	5.88	-0.0019	0.0501	0.2256	-0.0381	0.6457999999999999	54.49	0.0178	-0.009399999999999999	15.61	0.77	2.31	3.71	67.45	18.0	0.1838	0.18600000000000003	0.237	0.2018	0.17550000000000002	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-26	75
FIX	47790000000.0	0.002	0.1834	0.4924	35.38%	1.21	1.19	0.18	0.2	0.2346	0.1442	0.11230000000000001	Feb 19/a	1358.66	-0.0761	421244.0	Comfort Systems USA, Inc	Industrials	Engineering & Construction	USA	47.02	1.58	75.32	-0.028900000000000002	0.0414	0.4851	-0.0942	3.9148	48.47	-0.056799999999999996	-0.020499999999999997	30.67	1.76	5.25	19.52	48.67	46.5	0.2729	0.2051	0.47850000000000004	0.1747	0.2608	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-26	75
TSEM	19520000000.0		0.0689	0.0791	7.22%	6.48	5.51	0.05	0.06	0.2323	0.124	0.1408	Feb 11/b	174.68	-0.0745	5429469.0	Tower Semiconductor Ltd	Technology	Semiconductors	Israel	90.09	0.7	12.43	0.2464	0.2985	0.9484	-0.1059	5.0992	67.16	-0.0334	-0.0425	35.71	0.85	12.47	6.73	16.95		0.3018	0.6409	0.2039	0.42200000000000004	0.0435	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-26	75
IESC	9340000000.0		0.23190000000000002	0.4201	33.01%	1.8	1.62	0.07	0.07	0.24420000000000003	0.1167	0.09699999999999999	Jan 30/b	468.92	-0.0645	145132.0	IES Holdings Inc	Industrials	Engineering & Construction	USA	27.89	1.66	30.39	0.0169	0.0049	0.1989	-0.12789999999999999	2.2005	50.8	-0.043	-0.0225	23.16	1.07	2.68	9.72	36.12	34.54	0.28550000000000003	0.1532	0.5008	0.2161	0.2288	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-26	75
GLW	116100000000.0	0.0089	0.054400000000000004	0.1419	7.87%	1.59	1.04	0.72	0.79	0.3532	0.1532	0.10210000000000001	Jan 28/b	135.32	-0.0754	11174775.0	Corning, Inc	Technology	Electronic Components	USA	73.59	1.02	9.13	-0.0045000000000000005	0.0825	0.5586	-0.16519999999999999	2.6269	51.77	-0.049699999999999994	-0.027000000000000003	34.85	1.44	7.43	9.26	76.08	82.16	0.2275	0.2552	0.2786	0.24230000000000002	0.0668	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-26	70
COHR	45610000000.0	0.0002	0.02	0.0363	1.61%	2.25	1.3	0.4	0.42	0.37170000000000003	0.11789999999999999	0.0305	Feb 04/a	243.29	-0.1057	6292552.0	Coherent Corp	Technology	Scientific & Technical Instruments	USA	240.79	1.85	22.4	-0.059500000000000004	0.0332	0.6015999999999999	-0.18960000000000002	4.3376	47.66	-0.0663	-0.042199999999999994	32.66	0.84	7.25	5.34	50.73		0.5155	0.3924	0.0801	0.3895	0.1954	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-26	70
