Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
MU	463430000000.0	0.0012	0.15130000000000002	0.2255	16.85%	2.46	1.78	0.2	0.21	0.45530000000000004	0.3292	0.2815	Dec 17/a	411.75	-0.0054	33303708.0	Micron Technology Inc	Technology	Semiconductors	USA	39.14	1.51	26.36	0.0286	0.2469	1.1369	-0.096	5.6908	59.61	0.016399999999999998	-0.021400000000000002	9.05	0.11	10.95	7.88	44.91	99.62	3.0506	0.3552	0.2619	0.7901	0.1176	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-13	100
KGC	41520000000.0	0.0036	0.1537	0.2409	19.09%	2.83	1.68	0.16	0.16	0.4301	0.4007	0.273	Feb 18/a	34.4	0.063	11053487.0	Kinross Gold Corp	Basic Materials	Gold	Canada	24.0	0.76	1.87	-0.0063	0.0971	0.5203	-0.1204	2.3333	54.11	0.0443	0.0179	11.71	0.17	6.44	5.23	23.92	18.98	1.5585	0.6887000000000001	0.06280000000000001	0.6725	0.08039999999999999	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-13	100
AGI	19000000000.0	0.0022	0.0955	0.1427	12.52%	1.72	1.33	0.07	0.07	0.4875	0.4301	0.3346	Feb 18/a	45.25	0.0725	4483547.0	Alamos Gold Inc	Basic Materials	Gold	Canada	35.49	0.6	2.59	0.0885	0.12869999999999998	0.4132	-0.0302	1.0536	57.88	0.038599999999999995	0.0327	16.66	0.28	11.8	4.71	37.29	81.06	0.7652	0.8994	0.2311	0.6052000000000001	0.1454	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-13	90
FNV	48620000000.0	0.0060999999999999995	0.1331	0.1417	13.13%	4.64	4.63	0.0	0.0	0.7199	0.6908	0.5951	Nov 03/a	252.18	0.0533	587337.0	Franco-Nevada Corporation	Basic Materials	Gold	Canada	52.88	0.49	11.53	0.015300000000000001	0.10490000000000001	0.3019	-0.0781	0.8401000000000001	56.01	0.0356	0.017	30.31	0.67	31.45	6.95	205.39		0.6829000000000001	0.5401	0.09380000000000001	0.45380000000000004	0.057	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-13	90
RGLD	24150000000.0	0.0066	0.12359999999999999	0.149	11.49%	2.89	2.68	0.23	0.23	0.7159	0.6687000000000001	0.5597	Feb 18/a	286.1	0.0489	712767.0	Royal Gold, Inc	Basic Materials	Gold	USA	39.22	0.49	12.38	0.0291	0.1568	0.45770000000000005	-0.0658	1.0014	59.89	0.030699999999999998	0.0177	22.89	0.59	28.15	5.52	139.7		0.5284	0.555	0.2865	0.39020000000000005	0.11199999999999999	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-13	90
WPM	66239999999.99999	0.0045000000000000005	0.1267	0.1305	12.37%	8.09	8.09	0.0	0.0	0.6851999999999999	0.6409	0.5472	Nov 06/a	145.9	0.0484	1366995.0	Wheaton Precious Metals Corp	Basic Materials	Gold	Canada	66.22	0.53	7.22	0.0274	0.13699999999999998	0.4003	-0.0902	1.1878	56.8	0.0275	0.0203	31.12	0.58	36.19	8.19	57.22	95.32	0.9892	0.6717	0.433	0.5390999999999999	0.0832	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-13	90
EXEL	11410000000.0		0.2667	0.3553	33.52%	3.56	3.5	0.08	0.09	0.9639	0.3848	0.3373	Feb 10/a	43.92	0.0286	2054370.0	Exelixis Inc	Healthcare	Biotechnology	USA	15.78	0.42	1.51	0.0146	0.0076	0.0605	-0.1149	0.3564	53.32	0.024	0.0044	10.72	0.62	4.92	5.33	10.77	13.02	0.08039999999999999	0.2311	0.5119	0.1736	0.1863	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-13	90
FIX	47190000000.0	0.0014000000000000002	0.16440000000000002	0.4384	31.94%	1.22	1.2	0.17	0.19	0.2278	0.1336	0.10060000000000001	Feb 19/a	1337.95	0.0292	297288.0	Comfort Systems USA, Inc	Industrials	Engineering & Construction	USA	56.66	1.64	63.7	0.12240000000000001	0.251	0.7075	-0.0436	3.8399	68.69	0.019	0.01	43.23	1.24	5.67	21.13	53.55	59.08	0.7990999999999999	0.1784	0.3652	0.34979999999999994	0.2186	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-13	85
LRCX	294120000000.0	0.0044	0.3014	0.6556000000000001	44.78%	2.26	1.61	0.37	0.44	0.498	0.33759999999999996	0.30219999999999997	Jan 28/a	235.53	0.0183	9586887.0	Lam Research Corp	Technology	Semiconductor Equipment & Materials	USA	48.27	1.78	12.2	0.0298	0.17850000000000002	0.7478	-0.0649	3.182	58.82	-0.002	0.0204	33.62	1.35	14.31	29.05	47.59	47.32	0.2847	0.3172	0.2242	0.249	0.1292	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-13	85
PAHC	2120000000.0	0.0092	0.0684	0.318	8.56%	3.05	1.22	2.24	2.33	0.3178	0.11900000000000001	0.0629	Feb 04/a	52.26	0.0194	213329.0	Phibro Animal Health Corp	Healthcare	Drug Manufacturers - Specialty & Generic	USA	23.17	0.73	2.18	0.1764	0.2647	0.49729999999999996	-0.0718	2.2338999999999998	74.81	0.0106	0.0087	15.53	0.74	1.45	6.37	28.47	44.85	0.4474	0.1124	0.0745	0.2104	0.1012	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-13	85
