Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Forward P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
AVGO	1919670000000.0	0.0067	0.149	0.3337	17.38%	1.9	1.73	0.8	0.83	0.6496	0.4157	0.3657	Mar 04/a	405.45	0.0141	14994039.0	Broadcom Inc	Technology	Semiconductors	USA	79.09	1.4	12.92	0.0661	0.1716	0.1971	-0.0556	1.2033	64.14	0.0052	0.0088	22.54	0.46	28.11	24.04	135.44	66.4	0.6595	0.5895	0.4976	0.4864	0.21739999999999998	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-29	100
NVDA	5084780000000.0	0.0002	0.7542	1.0149	71.75%	3.91	3.24	0.06	0.07	0.7106999999999999	0.6038	0.556	May 20/a	209.25	-0.0184	120291844.0	NVIDIA Corp	Technology	Semiconductors	USA	42.69	2.33	5.9	0.0732	0.1207	0.1399	-0.0349	1.0105	65.42	-0.0159	-0.0025	18.80	0.48	23.55	32.33	81.28	60.77	0.7351000000000001	0.34509999999999996	0.9527	0.39380000000000004	0.669	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-29	100
MU	584680000000.0	0.0011	0.2762	0.3982	29.16%	2.9	2.32	0.14	0.15	0.5854	0.4865	0.41490000000000005	Mar 18/a	518.46	0.0281	35657511.0	Micron Technology Inc	Technology	Semiconductors	USA	24.48	1.88	27.09	0.1638	0.23079999999999998	0.8998	-0.024300000000000002	6.0539	68.36	-0.0149	0.0436	5.42	0.05	10.06	8.07	40.01	56.87	5.888400000000001	0.675	0.2619	1.1654	0.1176	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-29	100
AMG	7710000000.0	0.0001	0.0795	0.2177	12.04%	1.4	1.4	0.84	0.84	0.9267	0.2823	0.308	May 01/b	289.1	-0.0115	330981.0	Affiliated Managers Group Inc	Financial	Asset Management	USA	12.62	1.15	10.35	0.0016	0.0007000000000000001	0.09140000000000001	-0.1364	0.8029999999999999	49.7	-0.011699999999999999	0.0002	7.63	0.38	3.32	2.41	13.16	7.68	0.2726	0.1435	0.3932	0.2029	0.0054	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-29	95
NXPI	73090000000.0	0.0149	0.1015	0.262	12.11%	2.24	1.55	1.0	1.07	0.5371	0.2631	0.21030000000000001	Apr 28/a	289.25	0.2555	10660196.0	NXP Semiconductors NV	Technology	Semiconductors	Netherlands	27.68	1.54	11.75	0.3247	0.36310000000000003	0.31679999999999997	0.1283	0.6409999999999999	81.91	0.026000000000000002	0.2236	16.66	0.83	5.79	6.69	19.71	26.23	0.2353	0.19	1.1219	0.20149999999999998	0.0733	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-29	95
EXEL	11350000000.0		0.2667	0.3553	33.52%	3.56	3.5	0.08	0.09	0.9639	0.3848	0.3373	May 05/a	44.69	-0.0053	1857261.0	Exelixis Inc	Healthcare	Biotechnology	USA	16.05	0.4	1.34	-0.0022	0.0318	0.0721	-0.09939999999999999	0.324	52.13	0.0025	-0.0078000000000000005	11.53	0.87	4.89	5.43	10.72	12.96	0.0746	0.17120000000000002	0.5119	0.133	0.1863	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-29	90
CLS	43290000000.0		0.136	0.5245000000000001	32.17%	1.26	0.73	0.42	0.45	0.1151	0.08220000000000001	0.0695	Apr 27/a	376.54	0.0415	3063591.0	Celestica Inc	Technology	Electronic Components	Canada	45.51	1.98	23.05	0.0385	0.20879999999999999	0.3514	-0.1104	3.5987	56.22	0.011399999999999999	0.0298	25.68	0.57	3.14	20.64	114.53	87.91	0.6605	0.4597	0.7248	0.45439999999999997	0.166	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-29	90
LRCX	311080000000.0	0.0040999999999999995	0.3292	0.6676000000000001	46.86%	2.54	1.77	0.35	0.35	0.49979999999999997	0.34259999999999996	0.3094	Apr 22/a	248.75	-0.009899999999999999	9531612.0	Lam Research Corp	Technology	Semiconductor Equipment & Materials	USA	46.95	1.81	12.21	-0.0169	0.052300000000000006	0.44049999999999995	-0.09820000000000001	2.6301	50.2	-0.0184	0.0086	31.64	1.0	14.35	29.39	65.48	51.8	0.36579999999999996	0.39049999999999996	0.2242	0.31739999999999996	0.1292	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-29	90
XPEL	1290000000.0		0.1493	0.2026	17.25%	3.25	1.52	0.06	0.08	0.42210000000000003	0.1316	0.1076	May 06/b	46.61	0.0126	176227.0	XPEL Inc	Consumer Cyclical	Auto Parts	USA	25.23	1.12	1.57	0.0123	0.064	0.1041	-0.1663	0.7155	58.05	0.0177	-0.005	16.57	0.56	2.7	4.59	25.3	20.45	0.1477	0.325	0.22820000000000001	0.2979	0.24539999999999998	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-29	90
VICR	11650000000.0		0.18600000000000003	0.20489999999999997	17.99%	14.3	12.03	0.01	0.01	0.5690999999999999	0.12619999999999998	0.32030000000000003	Apr 21/b	256.7	0.0322	874494.0	Vicor Corp	Technology	Electronic Components	USA	85.89	2.23	20.82	0.218	0.3417	1.2878999999999998	-0.1267	5.5947000000000005	66.83	0.0066	0.0254	45.50	1.25	27.3	16.33	28.81	97.69	0.061799999999999994	1.036	0.449	0.3649	0.06570000000000001	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-29	90
