Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
KGC	39810000000.0	0.0038	0.1537	0.2409	19.09%	2.83	1.68	0.16	0.16	0.4301	0.4007	0.273	Feb 18/a	32.98	-0.0096	17373819.0	Kinross Gold Corp	Basic Materials	Gold	Canada	23.01	0.76	1.91	-0.036699999999999997	0.08310000000000001	0.5008	-0.1567	2.1957	49.9	-0.026000000000000002	0.0168	11.45	0.17	6.18	5.02	22.93	18.19	1.569	0.6486	0.06280000000000001	0.6576000000000001	0.08039999999999999	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-04	100
MU	427310000000.0	0.0013	0.15130000000000002	0.2255	16.85%	2.46	1.78	0.2	0.21	0.45530000000000004	0.3292	0.2815	Dec 17/a	379.66	-0.09480000000000001	56529943.0	Micron Technology Inc	Technology	Semiconductors	USA	36.09	1.51	25.8	-0.0011	0.2373	1.0924	-0.16649999999999998	5.1693	53.8	-0.0761	-0.0203	8.73	0.12	10.1	7.27	41.41	91.86	2.9602	0.3249	0.2619	0.7526999999999999	0.1176	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-04	100
STRL	11060000000.0		0.1377	0.35729999999999995	22.98%	1.0	1.0	0.31	0.34	0.22190000000000001	0.16140000000000002	0.1414	Nov 03/a	360.16	-0.0688	547451.0	Sterling Infrastructure Inc	Industrials	Engineering & Construction	USA	35.32	1.5	20.45	0.0379	0.0874	0.2568	-0.1407	2.7384	54.14	-0.0704	0.0017000000000000001	29.99	0.88	4.95	10.52	36.11	30.71	0.6933	0.16260000000000002	0.41229999999999994	0.34119999999999995	0.1344	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-04	95
AEM	99680000000.0	0.0074	0.1103	0.1567	14.48%	2.12	1.31	0.01	0.01	0.5305	0.4975	0.3262	Feb 12/a	198.54	0.006	2737836.0	Agnico Eagle Mines Ltd	Basic Materials	Gold	Canada	29.0	0.65	9.42	-0.0167	0.08220000000000001	0.32939999999999997	-0.1176	1.1555	51.87	0.0019	0.0040999999999999995	15.39	0.33	9.43	4.24	42.04	27.3	0.9329999999999999	0.5778	0.1368	0.4631	0.2713	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-04	90
FNV	45990000000.0	0.006500000000000001	0.1331	0.1417	13.13%	4.64	4.63	0.0	0.0	0.7199	0.6908	0.5951	Nov 03/a	238.56	-0.0005	1094910.0	Franco-Nevada Corporation	Basic Materials	Gold	Canada	50.03	0.49	10.32	-0.0216	0.0724	0.2481	-0.12789999999999999	0.7406999999999999	50.95	-0.0191	0.019	29.28	0.66	29.75	6.57	194.29		0.6768000000000001	0.5139	0.09380000000000001	0.44689999999999996	0.057	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-04	90
AGI	16989999999.999998	0.0025	0.0955	0.1427	12.52%	1.72	1.33	0.07	0.07	0.4875	0.4301	0.3346	Jan 14/a	40.48	0.0572	11105324.0	Alamos Gold Inc	Basic Materials	Gold	Canada	31.75	0.63	2.27	-0.0175	0.0363	0.2845	-0.10400000000000001	0.9027	50.84	0.0356	0.0209	14.31	0.24	10.56	4.22	33.36	72.51	0.7852	0.9569	0.2311	0.5991	0.1454	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-04	90
WPM	63670000000.0	0.004699999999999999	0.1267	0.1305	12.37%	8.09	8.09	0.0	0.0	0.6851999999999999	0.6409	0.5472	Nov 06/a	140.23	0.0252	2881903.0	Wheaton Precious Metals Corp	Basic Materials	Gold	Canada	63.65	0.54	7.14	0.0194	0.13699999999999998	0.373	-0.1255	1.2187000000000001	55.95	0.0016	0.0235	31.12	0.58	34.78	7.87	54.99	91.61	0.9790000000000001	0.6147	0.433	0.5368999999999999	0.0832	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-04	90
RGLD	22440000000.0	0.0070999999999999995	0.12359999999999999	0.149	11.49%	2.89	2.68	0.23	0.23	0.7159	0.6687000000000001	0.5597	Feb 18/a	265.89	0.0027	873967.0	Royal Gold, Inc	Basic Materials	Gold	USA	36.45	0.5	12.07	-0.011699999999999999	0.1253	0.37770000000000004	-0.1318	0.8992	53.7	-0.0174	0.0204	21.3	0.55	26.16	5.13	129.83		0.5275	0.5537	0.2865	0.3907	0.11199999999999999	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-04	90
FIX	39500000000.0	0.0017000000000000001	0.16440000000000002	0.4384	31.94%	1.22	1.2	0.17	0.19	0.2278	0.1336	0.10060000000000001	Oct 23/a	1119.81	-0.0745	624344.0	Comfort Systems USA, Inc	Industrials	Engineering & Construction	USA	47.42	1.67	53.27	0.0086	0.0934	0.4891	-0.0821	3.0507999999999997	53.78	-0.0668	-0.008199999999999999	36.28	1.05	4.75	17.69	44.82	49.45	0.7990999999999999	0.1752	0.3652	0.34490000000000004	0.2186	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-04	85
LRCX	261970000000.00003	0.0049	0.3014	0.6556000000000001	44.78%	2.26	1.61	0.37	0.44	0.498	0.33759999999999996	0.30219999999999997	Jan 28/a	209.78	-0.0883	19512466.0	Lam Research Corp	Technology	Semiconductor Equipment & Materials	USA	42.99	1.78	12.63	-0.0584	0.10880000000000001	0.6245	-0.1671	2.7248	48.1	-0.0901	0.002	30.17	1.24	12.74	25.87	42.39	42.15	0.2826	0.3095	0.2242	0.2433	0.1292	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-04	85
EVR	13780000000.0	0.009899999999999999	0.1323	0.3139	18.65%	2.71	2.71	0.57	0.63	0.9890000000000001	0.20079999999999998	0.1483	Feb 04/b	356.36	0.052000000000000005	877239.0	Evercore Inc	Financial	Capital Markets	USA	28.42	1.57	13.15	-0.023	0.024399999999999998	0.1819	-0.0832	1.3976	49.64	0.0019	0.0501	15.33	0.82	3.87	7.59	5.7	13.31	0.235	0.2929	0.056900000000000006	0.1861	0.08109999999999999	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-04	85
LLY	1046650000000.0001	0.0059	0.19329999999999997	0.9682	28.47%	1.55	1.24	1.72	1.79	0.8303	0.44409999999999994	0.3099	Feb 04/b	1107.12	0.1033	7101719.0	Lilly(Eli) & Co	Healthcare	Drug Manufacturers - General	USA	54.75	0.4	37.39	0.0458	0.0489	0.2914	-0.023700000000000002	0.7748999999999999	59.59	0.027999999999999997	0.0733	27.07	1.07	17.61	44.01	105.58	112.88	0.3665	0.23629999999999998	0.1877	0.2525	0.1508	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-04	85
CBOE	28380000000.0	0.01	0.11	0.2151	15.16%	1.72	1.72	0.32	0.33	0.46759999999999996	0.29969999999999997	0.2118	Feb 06/b	271.2	0.009399999999999999	1083424.0	Cboe Global Markets Inc	Financial	Financial Data & Stock Exchanges	USA	29.11	0.35	6.08	0.0127	0.04769999999999999	0.1207	-0.0291	0.35009999999999997	60.2	0.011899999999999999	-0.0025	24.0	1.97	6.15	5.81	18.55	24.71	0.225	0.07150000000000001	0.16690000000000002	0.122	0.10400000000000001	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-04	80
CRS	16649999999.999998	0.0025	0.1273	0.2348	16.25%	4.25	2.26	0.35	0.35	0.2897	0.20420000000000002	0.1476	Jan 29/b	334.19	-0.013999999999999999	811961.0	Carpenter Technology Corp	Industrials	Metal Fabrication	USA	38.82	1.26	16.99	0.010700000000000001	0.029300000000000003	0.225	-0.058600000000000006	1.411	52.44	-0.0115	-0.0025	27.43	1.19	5.65	8.38	71.78	52.56	0.3797	0.1805	2.1797999999999997	0.2299	0.057	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-04	80
AROC	5260000000.0	0.0275	0.0638	0.19329999999999997	6.56%	1.56	1.01	1.81	1.81	0.46909999999999996	0.3625	0.1822	Oct 28/a	29.99	0.0054	1766365.0	Archrock Inc	Energy	Oil & Gas Equipment & Services	USA	19.95	0.91	0.79	0.08810000000000001	0.1449	0.2048	-0.0053	0.49060000000000004	78.57	-0.001	0.0064	15.85	0.58	3.65	3.7	1289.05	272.36	0.49700000000000005	0.20379999999999998	0.0849	0.27399999999999997	0.037000000000000005	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-04	80
