Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
AGI	20080000000.0	0.0024	0.1512	0.2206	19.02%	1.72	1.33	0.05	0.05	0.5326	0.4805	0.48969999999999997	Feb 18/a	47.84	0.0432	4254918.0	Alamos Gold Inc	Basic Materials	Gold	Canada	22.82	0.59	2.64	0.12560000000000002	0.17149999999999999	0.4765	0.0253	1.1711	61.52	0.0418	0.0013	13.92	0.39	11.1	4.52	29.45	75.21	0.9823999999999999	0.2386	0.4175	0.3583	0.1931	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-20	100
MU	481910000000.0	0.0011	0.15130000000000002	0.2255	16.85%	2.46	1.78	0.2	0.21	0.45530000000000004	0.3292	0.2815	Dec 17/a	428.17	0.0259	29558730.0	Micron Technology Inc	Technology	Semiconductors	USA	40.7	1.5	24.67	0.049699999999999994	0.24239999999999998	1.1469	-0.06	5.9576	61.83	0.030899999999999997	-0.0048	9.32	0.12	11.39	8.2	46.7	103.59	3.07	0.3619	0.2619	0.8011	0.1176	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-20	100
NVDA	4612630000000.0	0.0002	0.7715000000000001	1.0735999999999999	77.27%	4.47	3.71	0.08	0.09	0.7005	0.5884	0.5301	Feb 25/a	189.82	0.0102	176718551.0	NVIDIA Corp	Technology	Semiconductors	USA	47.02	2.32	6.05	0.0194	0.027200000000000002	0.09609999999999999	-0.1054	1.1914	54.88	0.0178	-0.0075	24.39	0.49	24.65	38.8	76.11	59.65	0.5669	0.6615000000000001	0.9183	0.49810000000000004	0.6424	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-20	100
FNV	50200000000.0	0.0059	0.1331	0.1417	13.13%	4.64	4.63	0.0	0.0	0.7199	0.6908	0.5951	Mar 10/a	260.4	0.0213	838055.0	Franco-Nevada Corporation	Basic Materials	Gold	Canada	54.61	0.48	10.56	0.045899999999999996	0.1202	0.3323	-0.0481	0.9	59.7	0.023700000000000002	-0.0024	30.7	0.66	32.48	7.17	212.08		0.6829999999999999	0.5698	0.09380000000000001	0.46409999999999996	0.057	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-20	90
EXEL	11330000000.0		0.2667	0.3553	33.52%	3.56	3.5	0.08	0.09	0.9639	0.3848	0.3373	Feb 10/a	43.64	-0.0118	1912855.0	Exelixis Inc	Healthcare	Biotechnology	USA	15.68	0.41	1.4	0.0089	0.0005	0.0513	-0.12050000000000001	0.3477	50.64	-0.0089	-0.0029	10.7	0.62	4.88	5.3	10.7	12.94	0.0759	0.23079999999999998	0.5119	0.1736	0.1863	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-20	90
SSRM	6180000000.0		0.0702	0.1197	10.83%	2.08	1.25	0.04	0.11	0.35729999999999995	0.28859999999999997	0.24280000000000002	Feb 17/a	30.46	0.0464	6642095.0	SSR Mining Inc	Basic Materials	Gold	USA	16.67	-0.16	1.93	0.16440000000000002	0.266	0.6004	0.0263	2.521	64.21	0.0482	-0.0017000000000000001	5.93	0.18	3.79	1.76	10.74	25.53	1.3131	0.1047	0.12990000000000002	0.3317	0.1382	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-20	90
KGC	40380000000.0	0.0040999999999999995	0.2054	0.3096	25.61%	2.35	1.37	0.09	0.09	0.47450000000000003	0.4341	0.33899999999999997	Feb 18/a	33.45	0.0	18237630.0	Kinross Gold Corp	Basic Materials	Gold	Canada	17.08	0.75	1.8	-0.0236	0.0489	0.4534	-0.1447	2.2412	50.49	-0.016200000000000003	0.016399999999999998	10.13	0.82	5.73	4.68	23.0	16.0	0.6341	0.0981	0.1292	0.1241	0.1085	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-20	90
WPM	68280000000.0	0.0044	0.1267	0.1305	12.37%	8.09	8.09	0.0	0.0	0.6851999999999999	0.6409	0.5472	Nov 06/a	150.38	0.0347	2008481.0	Wheaton Precious Metals Corp	Basic Materials	Gold	Canada	68.26	0.52	6.82	0.049800000000000004	0.1446	0.42590000000000006	-0.0622	1.255	59.54	0.0336	0.001	30.6	0.53	37.3	8.44	58.97	98.28	1.0276	0.7187	0.433	0.5743	0.0832	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-20	90
PAHC	2140000000.0000002	0.0091	0.0684	0.318	8.56%	3.05	1.22	2.24	2.33	0.3178	0.11900000000000001	0.0629	Feb 04/a	52.8	0.0183	212060.0	Phibro Animal Health Corp	Healthcare	Drug Manufacturers - Specialty & Generic	USA	23.41	0.74	2.14	0.13449999999999998	0.24960000000000002	0.48469999999999996	-0.0622	2.2673	72.4	0.0177	0.0006	15.69	0.75	1.46	6.44	28.76	45.31	0.4474	0.1124	0.0745	0.2104	0.1012	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-20	85
LRCX	305850000000.0	0.0042	0.3014	0.6556000000000001	44.78%	2.26	1.61	0.37	0.44	0.498	0.33759999999999996	0.30219999999999997	Jan 28/a	244.92	0.0317	8537481.0	Lam Research Corp	Technology	Semiconductor Equipment & Materials	USA	50.2	1.77	11.49	0.056100000000000004	0.1875	0.7736	-0.0276	3.3487	62.66	0.031200000000000002	0.0005	34.96	1.41	14.88	30.2	49.49	49.21	0.2847	0.3172	0.2242	0.2481	0.1292	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-20	85
PAAS	27310000000.0	0.009899999999999999	0.11539999999999999	0.1672	12.55%	2.69	1.97	0.11	0.12	0.3766	0.32270000000000004	0.2702	Feb 18/a	64.7	0.057	10651898.0	Pan American Silver Corp	Basic Materials	Gold	Canada	25.85	0.63	3.76	0.0933	0.1631	0.6811	-0.0756	2.1484	61.12	0.057	0.0	14.07	0.65	7.55	3.9	20.7	25.63	0.5329999999999999	0.18100000000000002	0.248	0.2159	0.22	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-20	85
STRL	13380000000.0		0.1377	0.35729999999999995	22.98%	1.0	1.0	0.31	0.34	0.22190000000000001	0.16140000000000002	0.1414	Feb 25/a	435.5	0.049100000000000005	659604.0	Sterling Infrastructure Inc	Industrials	Engineering & Construction	USA	42.7	1.48	24.5	0.10310000000000001	0.243	0.44549999999999995	-0.07339999999999999	3.5204000000000004	65.39	0.0479	0.0011	35.96	1.07	5.99	12.72	43.66	37.14	0.6977	0.16949999999999998	0.41229999999999994	0.335	0.1344	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-20	85
SIMO	4580000000.0	0.0163	0.1085	0.1525	14.66%	2.79	1.54	0.0	0.0	0.4827	0.105	0.1381	Feb 03/a	134.88	0.0194	446897.0	Silicon Motion Technology Corp ADR	Technology	Semiconductors	Hong Kong	37.18	1.01	7.93	0.0654	0.2223	0.5412	-0.0677	2.6248	63.69	0.021	-0.0015	19.11	0.4	5.18	5.5	22.7	729.81	0.604	0.23920000000000002	0.0977	0.4731	0.1039	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-20	85
