Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
AGI	21940000000.0	0.0024	0.1512	0.2206	19.02%	1.72	1.33	0.05	0.05	0.5326	0.4805	0.48969999999999997	Feb 18/a	52.25	-0.0557	5081567.0	Alamos Gold Inc	Basic Materials	Gold	Canada	24.92	0.54	2.72	0.13019999999999998	0.21899999999999997	0.5683	-0.057	1.2952000000000001	62.64	0.0048	-0.0602	15.4	0.42	12.13	4.93	32.17	82.15	0.9690000000000001	0.23079999999999998	0.4175	0.3693	0.1931	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-03	100
MU	427550000000.0	0.0013	0.15130000000000002	0.2255	16.85%	2.46	1.78	0.2	0.21	0.45530000000000004	0.3292	0.2815	Mar 18/a	379.87	-0.0795	38352479.0	Micron Technology Inc	Technology	Semiconductors	USA	36.11	1.54	24.63	-0.06480000000000001	0.0318	0.8022	-0.166	5.1727	44.45	-0.0161	-0.0644	8.08	0.1	10.1	7.27	41.43	91.91	3.13	0.3728	0.2619	0.8112999999999999	0.1176	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-03	100
AMG	8279999999.999999	0.0001	0.0795	0.2177	12.04%	1.4	1.4	0.84	0.84	0.9267	0.2823	0.308	Feb 12/b	310.3	-0.0084	322507.0	Affiliated Managers Group Inc	Financial	Asset Management	USA	13.54	1.18	13.4	-0.0013	0.008100000000000001	0.2638	-0.0731	1.2288	50.35	0.022099999999999998	-0.0298	8.03	0.38	3.56	2.59	14.13	8.24	0.29410000000000003	0.1459	0.3932	0.2101	0.0054	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-03	95
EGO	8310000000.000001	0.0048	0.0828	0.1272	9.20%	1.83	1.46	0.29	0.3	0.4487	0.4147	0.2789	Feb 19/a	41.87	-0.09630000000000001	2542363.0	Eldorado Gold Corp	Basic Materials	Gold	Canada	16.77	0.52	2.72	-0.042300000000000004	0.0051	0.4414	-0.1816	2.1305	45.97	-0.0417	-0.057	6.55	0.13	4.57	1.94	9.56		1.5834000000000001	0.41490000000000005	0.2792	0.5232	0.1206	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-03	90
CGAU	3910000000.0	0.0106	0.2224	0.3143	28.20%	2.39	1.65	0.01	0.01	0.2547	0.18710000000000002	0.44689999999999996	Feb 19/a	19.52	-0.0547	1995922.0	Centerra Gold Inc	Basic Materials	Gold	Canada	6.86	0.82	1.13	0.0369	0.1311	0.7254	-0.0779	2.6081	55.52	0.0026	-0.0571	10.04	0.53	2.99	1.89	7.22	41.91	0.7001999999999999	0.0305	0.1553	0.19079999999999997	0.1295	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-03	90
FNV	50590000000.0	0.0059	0.1331	0.1417	13.13%	4.64	4.63	0.0	0.0	0.7199	0.6908	0.5951	Mar 10/a	262.41	-0.0558	943679.0	Franco-Nevada Corporation	Basic Materials	Gold	Canada	55.03	0.42	11.52	0.0236	0.0866	0.3166	-0.0814	0.8740000000000001	53.74	-0.0032	-0.0527	30.96	0.69	32.73	7.23	213.72		0.6828	0.5689	0.09380000000000001	0.4499	0.057	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-03	90
WPM	68709999999.99999	0.0044	0.1267	0.1305	12.37%	8.09	8.09	0.0	0.0	0.6851999999999999	0.6409	0.5472	Nov 06/a	151.34	-0.0868	3349269.0	Wheaton Precious Metals Corp	Basic Materials	Gold	Canada	68.69	0.49	7.27	0.0223	0.0999	0.3993	-0.087	1.2246	53.41	-0.0108	-0.0768	29.94	0.52	37.54	8.49	59.35	98.9	1.0389	0.7584000000000001	0.433	0.5727	0.0832	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-03	90
SSRM	5880000000.0		0.0702	0.1197	10.83%	2.08	1.25	0.04	0.11	0.35729999999999995	0.28859999999999997	0.24280000000000002	Feb 17/a	28.93	-0.0942	3353622.0	SSR Mining Inc	Basic Materials	Gold	USA	15.83	-0.17	1.99	0.0369	0.1424	0.4658	-0.11259999999999999	2.3441	53.73	-0.029500000000000002	-0.0667	5.62	0.17	3.61	1.67	10.22	24.29	1.2311	0.14880000000000002	0.12990000000000002	0.3268	0.1382	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-03	90
KGC	40550000000.0	0.0044	0.2054	0.3096	25.61%	2.35	1.37	0.09	0.09	0.47450000000000003	0.4341	0.33899999999999997	Feb 18/a	33.8	-0.08130000000000001	14003584.0	Kinross Gold Corp	Basic Materials	Gold	Canada	17.25	0.73	1.89	-0.0152	0.023	0.42219999999999996	-0.1358	2.2438	47.79	-0.0027	-0.0788	10.59	0.74	5.75	4.73	23.1	16.07	0.6168	0.0725	0.1292	0.1435	0.1085	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-03	90
SIMO	4059999999.9999995	0.0163	0.1085	0.1525	14.66%	2.79	1.54	0.0	0.0	0.4827	0.105	0.1381	Feb 03/a	119.43	-0.0755	837178.0	Silicon Motion Technology Corp ADR	Technology	Semiconductors	Hong Kong	32.92	1.03	8.3	-0.0958	0.0273	0.32380000000000003	-0.1867	2.2096	42.52	-0.0444	-0.0326	15.96	0.34	4.59	4.87	20.1	646.22	0.6278	0.29460000000000003	0.0977	0.4731	0.1039	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-03	85
PAHC	2120000000.0	0.0092	0.0684	0.318	8.56%	3.05	1.22	2.24	2.33	0.3178	0.11900000000000001	0.0629	Feb 04/a	52.27	-0.0416	212520.0	Phibro Animal Health Corp	Healthcare	Drug Manufacturers - Specialty & Generic	USA	23.17	0.71	2.24	0.0207	0.1857	0.4264	-0.0716	2.2344999999999997	60.85	-0.016399999999999998	-0.025699999999999997	15.53	0.74	1.45	6.37	28.47	44.86	0.4474	0.1124	0.0745	0.2104	0.1012	True	True	True	True	True	True	True	True	True	True	True	True	2026-03-03	85
