Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Forward P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
AGI	20310000000.0	0.0026	0.1512	0.2206	19.02%	1.72	1.33	0.05	0.05	0.5326	0.4805	0.48969999999999997	Apr 29/a	48.37	0.0113	1695500.0	Alamos Gold Inc	Basic Materials	Gold	Canada	23.07	0.65	2.06	0.0863	0.0481	0.3309	-0.12710000000000002	1.0366	57.95	0.0008	0.0105	13.43	0.33	11.23	4.57	29.78	76.06	1.0725	0.2415	0.4175	0.4128	0.1931	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-16	100
AVGO	1886010000000.0	0.0068000000000000005	0.149	0.3337	17.38%	1.9	1.73	0.8	0.83	0.6496	0.4157	0.3657	Mar 04/a	398.34	0.0040999999999999995	18775539.0	Broadcom Inc	Technology	Semiconductors	USA	77.7	1.38	12.59	0.1869	0.2018	0.198	-0.0392	1.4647999999999999	77.34	0.0076	-0.0034999999999999996	22.19	0.46	27.62	23.62	133.06	65.23	0.6589	0.5868	0.4976	0.4864	0.21739999999999998	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-16	100
NVDA	4817300000000.0	0.0002	0.7542	1.0149	71.75%	3.91	3.24	0.06	0.07	0.7106999999999999	0.6038	0.556	Feb 25/a	198.24	-0.0032	133276503.0	NVIDIA Corp	Technology	Semiconductors	USA	40.44	2.31	5.27	0.09970000000000001	0.0848	0.09210000000000002	-0.06570000000000001	1.0859	68.72	0.0036	-0.0067	17.84	0.45	22.31	30.63	77.01	57.57	0.7399	0.3387	0.9527	0.3956	0.669	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-16	100
MU	515630000000.0	0.0013	0.2762	0.3982	29.16%	2.9	2.32	0.14	0.15	0.5854	0.4865	0.41490000000000005	Mar 18/a	457.23	0.0022	33449108.0	Micron Technology Inc	Technology	Semiconductors	USA	21.59	1.77	25.78	0.14800000000000002	0.1292	0.7820999999999999	-0.029900000000000003	5.965199999999999	63.35	0.009300000000000001	-0.0070999999999999995	4.81	0.04	8.87	7.12	35.28	50.15	5.8699	0.6690999999999999	0.2619	1.1387	0.1176	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-16	100
AMG	7990000000.0	0.0001	0.0795	0.2177	12.04%	1.4	1.4	0.84	0.84	0.9267	0.2823	0.308	Feb 12/b	299.41	-0.0058	346414.0	Affiliated Managers Group Inc	Financial	Asset Management	USA	13.07	1.19	10.37	0.0674	0.0241	0.1481	-0.1057	0.9789	60.67	-0.0073	0.0015	7.90	0.39	3.43	2.5	13.63	7.95	0.2743	0.142	0.3932	0.2029	0.0054	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-16	95
CGAU	3830000000.0	0.010700000000000001	0.2224	0.3143	28.20%	2.39	1.65	0.01	0.01	0.2547	0.18710000000000002	0.44689999999999996	Apr 29/a	19.17	-0.0103	2845362.0	Centerra Gold Inc	Basic Materials	Gold	Canada	6.74	0.9	0.89	0.0688	0.039900000000000005	0.4715	-0.09449999999999999	2.0404	56.96	-0.0209	0.0108	9.06	0.43	2.93	1.86	7.08	41.08	0.8204	0.0467	0.1553	0.21289999999999998	0.1295	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-16	95
EXEL	11530000000.0		0.2667	0.3553	33.52%	3.56	3.5	0.08	0.09	0.9639	0.3848	0.3373	Feb 10/a	44.38	0.0023	2069133.0	Exelixis Inc	Healthcare	Biotechnology	USA	15.94	0.39	1.19	0.0246	0.032799999999999996	0.0653	-0.1056	0.3148	55.4	0.005699999999999999	-0.0034000000000000002	11.35	0.72	4.97	5.39	10.88	13.16	0.0759	0.18	0.5119	0.15689999999999998	0.1863	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-16	90
FUTU	15640000000.0	0.006999999999999999	0.0584	0.3326	28.02%	1.19	1.16	0.01	0.44	0.929	0.6740999999999999	0.4962	Mar 12/b	165.06	0.0021	1211244.0	Futu Holdings Ltd ADR	Financial	Capital Markets	Hong Kong	16.04	0.54	5.98	0.134	0.11720000000000001	0.0072	-0.185	1.1257	68.35	-0.0069	0.009000000000000001	11.78	0.73	5.34	4.9	0.93		0.1802	0.1586	0.5083	0.16140000000000002	0.47	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-16	90
CLS	43960000000.0		0.1261	0.40490000000000004	27.08%	1.44	0.88	0.39	0.41	0.11539999999999999	0.0812	0.0672	Jan 28/a	382.32	0.001	2175928.0	Celestica, Inc	Technology	Electronic Components	Canada	53.27	2.04	19.8	0.2285	0.3054	0.42719999999999997	-0.027200000000000002	3.91	73.46	0.0151	-0.0139	29.61	0.72	3.55	19.82	73.8	95.71	0.4836	0.4388	0.7248	0.4122	0.166	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-16	90
XPEL	1300000000.0		0.1493	0.2026	17.25%	3.25	1.52	0.06	0.08	0.42210000000000003	0.1316	0.1076	Feb 25/b	47.06	0.0184	167305.0	XPEL Inc	Consumer Cyclical	Auto Parts	USA	25.47	1.14	1.84	0.0891	0.046799999999999994	0.1255	-0.1583	0.8832	63.94	0.0208	-0.0024	16.73	0.56	2.73	4.63	25.54	20.64	0.1477	0.325	0.22820000000000001	0.2979	0.24539999999999998	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-16	90
KGC	40560000000.0	0.0044	0.2054	0.3096	25.61%	2.35	1.37	0.09	0.09	0.47450000000000003	0.4341	0.33899999999999997	Apr 29/a	33.87	0.0144	5996392.0	Kinross Gold Corp	Basic Materials	Gold	Canada	17.29	0.83	1.38	0.1005	0.0455	0.2895	-0.134	1.5505000000000002	59.87	0.005600000000000001	0.0087	9.81	0.5	5.75	4.74	23.1	16.07	0.6836	0.1143	0.1292	0.19519999999999998	0.1085	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-16	90
SSRM	6380000000.0		0.0702	0.1197	10.83%	2.08	1.25	0.04	0.11	0.35729999999999995	0.28859999999999997	0.24280000000000002	May 05/a	31.15	-0.0003	1935937.0	SSR Mining Inc	Basic Materials	Gold	USA	17.05	-0.12	1.94	0.065	0.07780000000000001	0.39020000000000005	-0.1469	2.1544	53.69	-0.005699999999999999	0.0055000000000000005	6.20	0.2	3.91	1.8	11.08	26.34	1.1240999999999999	0.17679999999999998	0.12990000000000002	0.30510000000000004	0.1382	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-16	90
SII	3750000000.0	0.0113	0.14730000000000001	0.195	18.34%	1.92	1.92	0.0	0.0	0.9228000000000001	0.33039999999999997	0.2322	Feb 19/b	145.44	0.0053	84659.0	Sprott Inc	Financial	Asset Management	Canada	55.76	0.88	6.57	0.031200000000000002	0.0173	0.46240000000000003	-0.1426	1.9328	51.85	-0.0053	0.010700000000000001	24.97	0.72	12.94	10.21	30.23	39.06	0.7754000000000001	0.2619	0.1883	0.3446	0.17550000000000002	True	True	False	True	True	True	True	True	True	True	True	True	2026-04-16	90
SQM	13610000000.0	0.020099999999999996	0.0451	0.1081	5.90%	3.27	2.25	0.75	0.84	0.2933	0.245	0.1284	Feb 28/a	95.31	0.08779999999999999	2308144.0	Sociedad Quimica Y Minera de Chile S.A. ADR	Basic Materials	Specialty Chemicals	Chile	46.28	1.01	4.16	0.1698	0.24050000000000002	0.6199	0.053099999999999994	2.2462999999999997	71.79	0.0649	0.0215	15.16	0.42	2.97	4.78	4.99	31.15	1.8465	0.0724	0.2712	0.3617	0.20120000000000002	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-16	85
OR	7660000000.0	0.0054	0.139	0.1573	14.35%	4.53	4.53	0.0	0.0	0.8338	0.7292000000000001	0.743	Feb 18/a	40.87	0.0184	911125.0	OR Royalties Inc	Basic Materials	Gold	Canada	37.53	0.81	1.73	0.084	0.0023	0.1376	-0.1496	0.851	57.28	0.0101	0.008199999999999999	24.24	0.85	27.62	5.34	53.9	36.63	0.6937000000000001	0.13140000000000002	0.6990999999999999	0.2866	0.1173	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-16	85
NFLX	454520000000.0	0.0025	0.1986	0.4276	26.06%	1.19	1.19	0.58	0.64	0.48590000000000005	0.2964	0.2425	Apr 16/a	107.65	-0.0006	56102028.0	Netflix Inc	Communication Services	Entertainment	USA	42.6	1.7	2.77	0.1	0.1751	0.0152	-0.1973	0.4351	78.74	0.0019	-0.0024	27.89	1.28	10.04	17.08	50.12	48.04	0.2612	0.2096	0.3298	0.2186	0.1261	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-16	85
LRCX	325880000000.0	0.0039000000000000003	0.3014	0.6556000000000001	44.78%	2.26	1.61	0.37	0.44	0.498	0.33759999999999996	0.30219999999999997	Apr 22/a	260.96	-0.0158	7790959.0	Lam Research Corp	Technology	Semiconductor Equipment & Materials	USA	53.48	1.87	11.85	0.10460000000000001	0.132	0.5772999999999999	-0.045899999999999996	3.2681999999999998	62.09	-0.011200000000000002	-0.004699999999999999	36.18	1.3	15.85	32.18	52.73	52.43	0.2907	0.35	0.2242	0.27899999999999997	0.1292	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-16	85
EVR	14160000000.0	0.0098	0.1225	0.3166	19.22%	2.16	2.16	0.52	0.57	0.9884000000000001	0.21239999999999998	0.15259999999999999	Feb 04/b	357.52	0.0013	393199.0	Evercore Inc	Financial	Capital Markets	USA	25.53	1.6	12.92	0.1568	0.147	0.1131	-0.0802	1.0981	76.81	-0.0003	0.0016	15.63	0.79	3.65	6.78	4.71	12.2	0.24780000000000002	0.2591	0.113	0.19760000000000003	0.1118	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-16	85
PAHC	2190000000.0	0.0089	0.0684	0.318	8.56%	3.05	1.22	2.24	2.33	0.3178	0.11900000000000001	0.0629	Feb 04/a	53.88	-0.020499999999999997	281279.0	Phibro Animal Health Corp	Healthcare	Drug Manufacturers - Specialty & Generic	USA	23.89	0.67	2.73	-0.0308	0.0175	0.3077	-0.1032	2.3342	47.68	-0.022000000000000002	0.0015	15.90	0.74	1.49	6.57	29.35	46.24	0.4515	0.11720000000000001	0.0745	0.2146	0.1012	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-16	85
SIMO	4660000000.0	0.014199999999999999	0.1085	0.1525	14.66%	2.79	1.54	0.0	0.0	0.4827	0.105	0.1381	Apr 28/a	137.0	-0.0146	450159.0	Silicon Motion Technology Corp ADR	Technology	Semiconductors	Hong Kong	37.77	1.11	6.73	0.13419999999999999	0.08900000000000001	0.3885	-0.06709999999999999	2.6224000000000003	65.3	-0.0073	-0.0073	18.32	0.39	5.26	5.58	23.06	741.28	0.6272	0.29460000000000003	0.0977	0.4731	0.1039	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-16	85
GOOGL	4049630000000.0	0.0025	0.2528	0.35700000000000004	27.73%	2.01	2.01	0.15	0.16	0.5968	0.32939999999999997	0.32789999999999997	Feb 04/a	335.95	-0.0034999999999999996	19811388.0	Alphabet Inc	Communication Services	Internet Content & Information	USA	31.09	1.15	8.29	0.1039	0.09179999999999999	0.2365	-0.0374	1.2994999999999999	70.11	-0.0073	0.0039000000000000003	24.81	1.89	10.05	9.78	31.93	55.27	0.0647	0.17629999999999998	0.2982	0.1316	0.1718	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-16	80
BOH	3110000000.0	0.035699999999999996	0.0086	0.11699999999999999	7.42%	0.07		0.35	0.38		0.2452	0.17300000000000001	Apr 20/b	78.39	-0.0036	335284.0	Bank of Hawaii Corp	Financial	Banks - Regional	USA	16.94	0.72	1.83	0.0388	0.0296	0.1297	-0.0275	0.3206	61.23	-0.0004	-0.0032	11.33	0.56	2.91	2.07		16.9	0.2952	0.15410000000000001	0.037200000000000004	0.20149999999999998	0.0897	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-16	80
WBS	11630000000.0	0.022400000000000003	0.0121	0.1065	9.37%	0.05		0.1	0.48		0.2851	0.2206	Apr 28/a	72.16	-0.005	1865484.0	Webster Financial Corp	Financial	Banks - Regional	USA	12.21	1.05	1.02	0.0291	0.0222	0.1478	-0.024900000000000002	0.6501	61.45	-0.0033	-0.0017000000000000001	9.70	0.86	2.63	1.26		11.54	0.11410000000000001	0.12369999999999999	0.2026	0.1128	0.2817	True	True	True	True	True	True	True	True	True	True	True	True	2026-04-16	80
