Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
EXEL	11780000000.0		0.23440000000000003	0.3056	29.01%	3.75	3.68	0.08	0.08	0.9662999999999999	0.35850000000000004	0.2963	Feb 10/a	43.95	0.0011	2182532.0	Exelixis Inc	Healthcare	Biotechnology	USA	18.5	0.42	1.46	0.008	0.0070999999999999995	0.0639	-0.1143	0.35729999999999995	53.06	0.0002	0.0009	13.1	0.38	5.15	5.45	11.92	15.11	0.6706	0.1414	0.1155	0.34840000000000004	0.1751	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-09	100
NVDA	4613550000000.0	0.0002	0.7715000000000001	1.0735999999999999	77.27%	4.47	3.71	0.08	0.09	0.7005	0.5884	0.5301	Feb 25/a	189.86	0.024	195156404.0	NVIDIA Corp	Technology	Semiconductors	USA	47.02	2.32	7.06	0.026699999999999998	0.0329	0.1161	-0.1052	1.1918	55.21	0.0302	-0.006	24.53	0.5	24.65	38.81	76.12	59.67	0.5656	0.6531999999999999	0.9183	0.4941	0.6424	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-09	100
KGC	40960000000.0	0.0037	0.1537	0.2409	19.09%	2.83	1.68	0.16	0.16	0.4301	0.4007	0.273	Feb 18/a	33.93	0.057300000000000004	8776184.0	Kinross Gold Corp	Basic Materials	Gold	Canada	23.68	0.76	1.9	-0.0155	0.0993	0.5256000000000001	-0.1324	2.2878	53.73	0.0326	0.024	11.7	0.18	6.36	5.16	23.59	18.72	1.569	0.6597	0.06280000000000001	0.6576000000000001	0.08039999999999999	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-09	100
MU	431630000000.0	0.0013	0.15130000000000002	0.2255	16.85%	2.46	1.78	0.2	0.21	0.45530000000000004	0.3292	0.2815	Dec 17/a	383.5	-0.028399999999999998	30601293.0	Micron Technology Inc	Technology	Semiconductors	USA	36.45	1.51	25.48	-0.0105	0.20989999999999998	1.0595999999999999	-0.15810000000000002	5.2317	53.97	0.0074	-0.0355	8.72	0.12	10.2	7.34	41.83	92.78	2.9766000000000004	0.3346	0.2619	0.7437	0.1176	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-09	100
FNV	47870000000.0	0.0062	0.1331	0.1417	13.13%	4.64	4.63	0.0	0.0	0.7199	0.6908	0.5951	Nov 03/a	248.32	0.07	825104.0	Franco-Nevada Corporation	Basic Materials	Gold	Canada	52.08	0.5	11.04	0.0116	0.1051	0.2927	-0.0922	0.8119	56.78	0.047	0.022000000000000002	30.3	0.68	30.97	6.84	202.24		0.6766	0.5229	0.09380000000000001	0.44689999999999996	0.057	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-09	90
AEM	105350000000.0	0.006999999999999999	0.1103	0.1567	14.48%	2.12	1.31	0.01	0.01	0.5305	0.4975	0.3262	Feb 12/a	209.84	0.0673	2578158.0	Agnico Eagle Mines Ltd	Basic Materials	Gold	Canada	30.65	0.65	9.77	0.03	0.131	0.3942	-0.0674	1.2781	58.5	0.0492	0.0173	16.17	0.35	9.97	4.48	44.44	28.85	0.9329999999999999	0.5869	0.1368	0.4631	0.2713	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-09	90
CLS	36720000000.0		0.1261	0.40490000000000004	28.06%	1.44	0.88	0.34	0.35	0.11800000000000001	0.0867	0.0672	Jan 28/a	319.21	0.038	2329374.0	Celestica, Inc	Technology	Electronic Components	Canada	44.47	1.87	24.13	0.0393	0.0339	0.40409999999999996	-0.1216	4.4989	54.16	0.057	-0.018000000000000002	25.0	0.62	2.96	18.1	61.66	79.96	0.4736	0.43229999999999996	0.7245	0.4046	0.166	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-09	90
AGI	18410000000.0	0.0022	0.0955	0.1427	12.52%	1.72	1.33	0.07	0.07	0.4875	0.4301	0.3346	Feb 18/a	43.85	0.0916	4916389.0	Alamos Gold Inc	Basic Materials	Gold	Canada	34.39	0.62	2.44	0.068	0.1112	0.3837	-0.0294	0.9973000000000001	58.21	0.0766	0.0139	16.19	0.27	11.44	4.57	36.14	78.55	0.78	0.8781	0.2311	0.5896	0.1454	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-09	90
RGLD	23560000000.0	0.0067	0.12359999999999999	0.149	11.49%	2.89	2.68	0.23	0.23	0.7159	0.6687000000000001	0.5597	Feb 18/a	279.21	0.0506	875615.0	Royal Gold, Inc	Basic Materials	Gold	USA	38.28	0.5	12.47	0.025099999999999997	0.159	0.4374	-0.0883	0.9531999999999999	59.36	0.042	0.008199999999999999	22.34	0.57	27.47	5.39	136.33		0.5284	0.5549000000000001	0.2865	0.39020000000000005	0.11199999999999999	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-09	90
EVR	13910000000.0	0.0097	0.1323	0.3139	20.90%	2.71	2.71	0.33	0.33	0.9884000000000001	0.21239999999999998	0.15259999999999999	Feb 04/b	359.65	0.0054	551500.0	Evercore Inc	Financial	Capital Markets	USA	25.68	1.56	14.41	-0.0086	0.025699999999999997	0.1825	-0.0748	1.4198	51.83	0.0074	-0.002	15.38	0.63	3.59	7.66	9.94	13.43	0.2709	0.2641	0.113	0.2427	0.1118	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-09	90
