Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
KGC	39060000000.0	0.0039000000000000003	0.1537	0.2409	19.09%	2.83	1.68	0.16	0.16	0.4301	0.4007	0.273	Feb 18/a	32.36	-0.0706	14403032.0	Kinross Gold Corp	Basic Materials	Gold	Canada	22.58	0.75	1.84	-0.0636	0.0366	0.4364	-0.1726	2.1356	47.45	-0.0582	-0.0132	11.01	0.16	6.06	4.92	22.5	17.85	1.5607	0.6873	0.06280000000000001	0.6725	0.08039999999999999	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-12	100
MU	465930000000.0	0.0012	0.15130000000000002	0.2255	16.85%	2.46	1.78	0.2	0.21	0.45530000000000004	0.3292	0.2815	Dec 17/a	413.97	0.0088	44916906.0	Micron Technology Inc	Technology	Semiconductors	USA	39.35	1.51	26.22	0.043899999999999995	0.2669	1.1672	-0.09119999999999999	5.7268	60.32	-0.022000000000000002	0.0315	9.09	0.12	11.01	7.93	45.15	100.16	3.0502	0.3558	0.2619	0.7901	0.1176	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-12	100
NVDA	4544100000000.0	0.0002	0.7715000000000001	1.0735999999999999	77.27%	4.47	3.71	0.08	0.09	0.7005	0.5884	0.5301	Feb 25/a	187.0	-0.016	186303097.0	NVIDIA Corp	Technology	Semiconductors	USA	46.32	2.32	6.45	0.008	0.014199999999999999	0.0916	-0.11869999999999999	1.1589	51.71	-0.0311	0.0155	24.14	0.49	24.28	38.23	74.98	58.77	0.5658	0.6543000000000001	0.9183	0.4953	0.6424	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-12	100
AGI	17710000000.0	0.0024	0.0955	0.1427	12.52%	1.72	1.33	0.07	0.07	0.4875	0.4301	0.3346	Feb 18/a	42.19	-0.08779999999999999	5669216.0	Alamos Gold Inc	Basic Materials	Gold	Canada	33.09	0.61	2.54	0.021	0.0572	0.3211	-0.0958	0.9147	52.3	-0.0762	-0.0125	15.52	0.26	11.01	4.39	34.77	75.58	0.7652	0.9015000000000001	0.2311	0.6052000000000001	0.1454	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-12	90
AEM	103030000000.0	0.0070999999999999995	0.1103	0.1567	14.48%	2.12	1.31	0.01	0.01	0.5305	0.4975	0.3262	Feb 12/a	205.21	-0.0552	3726479.0	Agnico Eagle Mines Ltd	Basic Materials	Gold	Canada	29.97	0.64	9.55	-0.0034000000000000002	0.0925	0.35100000000000003	-0.08800000000000001	1.2279	53.53	-0.0434	-0.0123	15.55	0.33	9.75	4.38	43.45	28.22	0.9390000000000001	0.6087	0.1368	0.4725	0.2713	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-12	90
RGLD	23020000000.0	0.0069	0.12359999999999999	0.149	11.49%	2.89	2.68	0.23	0.23	0.7159	0.6687000000000001	0.5597	Feb 18/a	272.76	-0.0437	775751.0	Royal Gold, Inc	Basic Materials	Gold	USA	37.39	0.49	12.28	-0.0141	0.1105	0.3935	-0.1094	0.9081	54.09	-0.038900000000000004	-0.005	21.82	0.56	26.84	5.27	133.18		0.5284	0.5549000000000001	0.2865	0.39020000000000005	0.11199999999999999	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-12	90
FNV	46160000000.0	0.0064	0.1331	0.1417	13.13%	4.64	4.63	0.0	0.0	0.7199	0.6908	0.5951	Nov 03/a	239.42	-0.0709	855589.0	Franco-Nevada Corporation	Basic Materials	Gold	Canada	50.21	0.49	11.4	-0.0338	0.0535	0.23870000000000002	-0.12480000000000001	0.747	49.87	-0.0695	-0.0016	28.79	0.63	29.86	6.59	195.0		0.6831	0.5392	0.09380000000000001	0.45399999999999996	0.057	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-12	90
WPM	63190000000.0	0.004699999999999999	0.1267	0.1305	12.37%	8.09	8.09	0.0	0.0	0.6851999999999999	0.6409	0.5472	Nov 06/a	139.17	-0.0667	2296567.0	Wheaton Precious Metals Corp	Basic Materials	Gold	Canada	63.17	0.53	7.22	-0.016399999999999998	0.091	0.33990000000000004	-0.1321	1.0947	52.11	-0.0552	-0.0121	29.68	0.55	34.52	7.81	54.58	90.92	0.9892	0.6717	0.433	0.5390999999999999	0.0832	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-12	90
STRL	13250000000.0		0.1377	0.35729999999999995	22.98%	1.0	1.0	0.31	0.34	0.22190000000000001	0.16140000000000002	0.1414	Nov 03/a	431.43	-0.005699999999999999	875843.0	Sterling Infrastructure Inc	Industrials	Engineering & Construction	USA	42.3	1.49	23.61	0.1444	0.2666	0.4643	-0.0223	3.4781999999999997	69.31	-0.051100000000000007	0.0478	35.62	1.06	5.93	12.6	43.26	36.79	0.6977	0.16949999999999998	0.41229999999999994	0.335	0.1344	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-12	85
PAHC	2080000000.0	0.009399999999999999	0.0684	0.318	8.56%	3.05	1.22	2.24	2.33	0.3178	0.11900000000000001	0.0629	Feb 04/a	51.26	-0.0049	236286.0	Phibro Animal Health Corp	Healthcare	Drug Manufacturers - Specialty & Generic	USA	22.73	0.77	2.25	0.17010000000000003	0.2477	0.4758	-0.0894	2.1723	73.15	-0.0103	0.0054	15.23	0.72	1.42	6.25	27.92	44.0	0.4474	0.1124	0.0745	0.2104	0.1012	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-12	85
