Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Forward P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
CCDNA	2430000000.0		0.22719999999999999	0.2949	25.30%	4.58	4.51	0.03	0.05	0.7011	-0.004	0.24230000000000002	Jul 30/a	46.99	1.03%	911184.0	Caredx Inc	Healthcare	Diagnostics & Research	USA	22.65	2.42	2.14	0.0694	0.3362	1.0268000000000002	-0.0557	3.1687	68.39	0.023700000000000002	-0.0131	34.68	0.7	5.31	5.68	6.51	28.7	1.092	0.1168	0.0009	0.4946	0.1459	True	True	True	True	True	True	True	True	True	True	True	True	2026-08-20	100
LLLY	1171420000000.0	0.0055000000000000005	0.21960000000000002	1.0243	32.68%	1.35	1.0	1.41	1.62	0.8340000000000001	0.4972	0.3353	Aug 05/b	1244.4	-2.81%	2621582.0	Lilly(Eli) & Co	Healthcare	Drug Manufacturers - General	USA	42.28	0.52	41.98	0.0412	0.0571	0.1838	-0.0373	0.8162	58.02	-0.0233	-0.0049	26.69	0.88	14.7	34.58	130.89	64.4	0.5033	0.2809	0.2759	0.3024	0.2158	True	True	True	True	True	True	True	True	True	True	True	True	2026-08-20	100
HHALO	12040000000.0		0.17859999999999998	1.7367	19.87%	2.71	2.31	13.5	14.96	0.764	0.5677	0.2486	Aug 06/a	106.12	-1.39%	1577789.0	Halozyme Therapeutics Inc	Healthcare	Biotechnology	USA	31.71	0.89	3.26	0.1399	0.2897	0.4727	-0.017	0.7333	76.7	-0.0027	-0.011200000000000002	10.29	0.25	7.24	84.31	52.14	14.94	1.0127	0.2343	0.2289	0.41350000000000003	0.39159999999999995	True	True	True	True	True	True	True	True	True	True	True	True	2026-08-20	100
NNVDA	5247770000000.0	0.0033	0.8297	1.1429	77.17%	3.44	2.85	0.06	0.07	0.7415	0.6402	0.6297	Aug 26/a	216.85	-0.33%	92457037.0	NVIDIA Corp	Technology	Semiconductors	USA	33.21	2.21	6.42	0.0191	0.0461	0.1106	-0.0832	0.32170000000000004	53.42	-0.0069	0.0037	16.94	0.35	20.7	26.87	65.13	44.07	0.8896999999999999	0.4205	0.9527	0.4779	0.669	True	True	True	True	True	True	True	True	True	True	True	True	2026-08-20	100
IIAG	11710000000.0		0.205	0.2953	23.56%	1.71	1.05	0.12	0.12	0.49329999999999996	0.47490000000000004	0.314	Aug 06/a	20.5	3.96%	7083203.0	Iamgold Corp	Basic Materials	Gold	Canada	10.38	1.41	0.93	0.2266	0.2706	0.17920000000000003	-0.1757	1.5497999999999998	72.2	0.0443	-0.0046	8.62	0.36	3.18	2.68	23.3	7.43	0.7354999999999999	0.11349999999999999	0.6994	0.23739999999999997	0.18100000000000002	True	True	True	True	True	True	True	True	True	True	True	True	2026-08-20	95
EETON	1710000000.0		0.1167	0.35969999999999996	19.01%	1.52	1.3	0.43	0.63	0.5787	0.1563	0.1202	Aug 13/a	59.91	-2.55%	586529.0	Eton Pharmaceuticals Inc	Healthcare	Drug Manufacturers - Specialty & Generic	USA	158.41	0.91	3.71	0.22719999999999999	0.4476	1.3163999999999998	-0.061399999999999996	3.1982999999999997	70.44	-0.0177	-0.008	24.37	0.21	16.22	36.38	63.8	116.25	2.6041000000000003	0.9487000000000001	0.33659999999999995	1.1421	3.5957	True	True	True	True	True	True	True	True	True	True	True	True	2026-08-20	95
SSCHW	189860000000.0	0.0116	0.0207	0.2027	13.96%	1.16	1.16	0.44	0.74	0.8503000000000001	0.49700000000000005	0.331	Jul 21/b	109.79	-0.98%	6641172.0	Charles Schwab Corp	Financial	Capital Markets	USA	19.96	0.75	1.99	0.0209	0.0875	0.1368	-0.0215	0.30760000000000004	64.7	-0.015	0.0052	13.92	0.59	6.46	4.32	3.08		0.3347	0.21309999999999998	0.1702	0.2341	0.17980000000000002	True	True	True	True	True	True	True	True	True	True	True	True	2026-08-20	95
BB	76150000000.0	0.0239	0.131	0.2504	20.41%	3.01	2.36	0.17	0.17	0.5318999999999999	0.5217	0.316	Aug 10/b	46.27	2.53%	13941867.0	Barrick Mining Corp	Basic Materials	Gold	Canada	11.9	0.51	1.68	0.15039999999999998	0.1971	0.10369999999999999	-0.154	0.9128000000000001	70.58	0.0317	-0.0062	11.25	0.46	3.69	2.79	12.85	13.57	0.4989	0.13419999999999999	0.1748	0.2452	0.0613	True	True	True	True	True	True	True	True	True	True	True	True	2026-08-20	95
AAU	58150000000.0	0.0421	0.2565	0.465	35.67%	2.71	2.07	0.19	0.2	0.5769	0.5068	0.32189999999999996	Jul 31/b	115.14	6.08%	5241398.0	AngloGold Ashanti Plc	Basic Materials	Gold	USA	15.41	0.75	4.82	0.2657	0.3425	0.23870000000000002	-0.1084	1.2121	78.19	0.071	-0.0095	12.33	0.56	4.92	6.49	20.71	13.74	0.6661	0.044000000000000004	0.17920000000000003	0.2191	0.1745	True	True	True	True	True	True	True	True	True	True	True	True	2026-08-20	95
KKGC	37280000000.0	0.004699999999999999	0.25370000000000004	0.36950000000000005	30.59%	2.89	1.95	0.08	0.08	0.5364	0.5008	0.37520000000000003	Jul 29/a	31.43	5.12%	10711287.0	Kinross Gold Corp	Basic Materials	Gold	Canada	11.92	0.84	1.2	0.2097	0.25489999999999996	0.081	-0.19640000000000002	0.6772	75.26	0.060700000000000004	-0.009000000000000001	10.34	0.53	4.4	3.86	13.95	12.13	0.5125	0.0919	0.1292	0.19519999999999998	0.1085	True	True	True	True	True	True	True	True	True	True	True	True	2026-08-20	90
