Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Forward P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
NNBIX	17510000000.0		0.15560000000000002	0.225	17.53%	2.93	2.85	0.12	0.12	0.9817	0.2575	0.2155	Jul 30/a	174.15	0.0085	1103119.0	Neurocrine Biosciences Inc	Healthcare	Drug Manufacturers - Specialty & Generic	USA	26.77	0.39	5.03	0.0066	0.055999999999999994	0.2034	-0.0388	0.42590000000000006	56.25	0.0204	-0.011699999999999999	17.43	0.44	5.64	5.14	13.3	21.06	0.6531999999999999	0.2945	0.0231	0.3917	0.2229	True	True	True	True	True	True	True	True	True	True	True	True	2026-07-23	100
HHALO	9590000000.0		0.1433	0.9940000000000001	16.18%	2.76	2.33	8.81	9.76	0.7693000000000001	0.5696	0.23129999999999998	May 11/a	80.84	0.0388	1721462.0	Halozyme Therapeutics Inc	Healthcare	Biotechnology	USA	29.07	0.85	2.51	0.0406	0.1125	0.1659	-0.0173	0.4102	64.66	0.044000000000000004	-0.005	8.11	0.21	6.36	43.62	30.09	14.36	0.9143000000000001	0.255	0.2289	0.389	0.39159999999999995	True	True	True	True	True	True	True	True	True	True	True	True	2026-07-23	100
LLLY	1116780000000.0	0.0059	0.24539999999999998	1.0764	35.82%	1.5	1.1	1.26	1.39	0.8283	0.473	0.34979999999999994	Aug 05/b	1185.87	0.0197	1902692.0	Lilly(Eli) & Co	Healthcare	Drug Manufacturers - General	USA	42.69	0.51	38.03	-0.0009	0.0538	0.1691	-0.0509	0.9011	55.21	0.0342	-0.0141	26.23	0.9	15.46	35.86	211.43	94.46	0.4545	0.2837	0.2759	0.2914	0.2158	True	True	True	True	True	True	True	True	True	True	True	True	2026-07-23	95
SSIMO	9700000000.0	0.0067	0.1477	0.2023	18.73%	2.85	1.38	0.0	0.0	0.48090000000000005	0.1277	0.15990000000000001	Jul 29/a	289.08	0.0263	886805.0	Silicon Motion Technology Corp ADR	Technology	Semiconductors	Hong Kong	57.5	1.69	25.23	-0.041299999999999996	0.0015	0.8024	-0.1857	3.0519	49.47	0.047400000000000005	-0.0202	25.70	0.39	9.14	10.71	46.88		1.5015	0.2666	0.0977	0.6541	0.1039	True	True	True	True	True	True	True	True	True	True	True	True	2026-07-23	95
AAMG	9190000000.0	0.0001	0.0833	0.2404	12.56%	1.18	1.18	0.94	0.94	0.9361	0.1954	0.3542	May 01/b	347.77	0.0031	236465.0	Affiliated Managers Group Inc	Financial	Asset Management	USA	14.17	1.12	13.07	-0.0206	0.0352	0.1754	-0.09140000000000001	0.7387999999999999	48.0	0.0106	-0.0075	8.39	0.33	4.31	2.98	24.42	8.4	0.37729999999999997	0.1549	0.3932	0.2529	0.0054	True	True	True	True	True	True	True	True	True	True	True	True	2026-07-23	95
AATLC	1450000000.0		0.025099999999999997	0.2139	1.94%	1.59	1.59	9.12	9.23	0.9209	0.2409	0.0546	May 07/a	95.62	0.004699999999999999	222565.0	Atlanticus Holdings Corp	Financial	Credit Services	USA	14.26	2.12	5.83	-0.04019999999999999	0.0384	0.40630000000000005	-0.1509	1.0905	48.41	0.023799999999999998	-0.018600000000000002	7.34	0.16	0.63	2.22	1.8	1.83	0.5968	0.36810000000000004	0.0855	0.45439999999999997	0.2843	True	True	True	True	True	True	True	True	True	True	True	True	2026-07-23	90
CCACC	6200000000.0		0.050499999999999996	0.2812	7.39%	0.27	0.27	3.05	4.23	0.9784	0.46909999999999996	0.1949	May 05/a	592.57	-0.0225	118603.0	Credit Acceptance Corp	Financial	Credit Services	USA	14.73	1.37	22.28	-0.0592	0.0105	0.1822	-0.11410000000000001	0.4744	42.73	-0.0137	-0.009000000000000001	10.44	0.47	2.66	4.08	11.1	5.89	0.2263	0.1705	0.0916	0.2216	0.0678	True	True	True	True	True	True	True	True	True	True	True	True	2026-07-23	90
CCPAY	23840000000.0		0.0519	0.3371	11.60%	0.98	0.98	1.88	2.95	0.7281	0.4561	0.24530000000000002	Aug 05/a	364.8	0.016200000000000003	384720.0	Corpay Inc	Technology	Software - Infrastructure	USA	21.81	0.88	11.36	0.033	0.0405	0.1475	-0.0248	0.4428	56.32	0.0308	-0.014199999999999999	11.92	0.64	4.98	6.87	2.7	18.2	0.2518	0.1437	0.13140000000000002	0.18510000000000001	0.1365	True	True	True	True	True	True	True	True	True	True	True	True	2026-07-23	90
OONB	10090000000.0	0.022099999999999998	0.012199999999999999	0.23420000000000002	12.06%	0.04					0.2985	0.2121	Jul 22/b	26.11	-0.0106	5970215.0	Old National Bancorp	Financial	Banks - Regional	USA	11.63	0.84	0.55	-0.0052	0.0446	0.1231	-0.0443	0.3465	52.96	0.0019	-0.0125	9.05	0.66	2.46			13.74	0.17850000000000002	0.1076	0.0558	0.1365	0.3285	True	True	True	True	True	True	True	True	True	True	True	True	2026-07-23	90
EEXEL	13990000000.0		0.3069	0.40990000000000004	39.59%	3.26	3.19	0.09	0.09	0.9643999999999999	0.4029	0.3508	Aug 05/a	55.65	0.012199999999999999	1659530.0	Exelixis Inc	Healthcare	Biotechnology	USA	18.44	0.44	1.47	0.0026	0.0513	0.2286	-0.0334	0.6486	56.05	0.0196	-0.0073	13.62	0.88	5.89	7.29	18.0	15.24	0.1351	0.1691	0.5119	0.15410000000000001	0.1863	True	True	True	True	True	True	True	True	True	True	True	True	2026-07-23	90
