Ticker	Market Cap	Dividend	ROA	ROE	ROIC	Curr R	Quick R	LTDebt/Eq	Debt/Eq	Gross M	Oper M	Profit M	Earnings	Price	Change	Volume	Company	Sector	Industry	Country	P/E	Beta	ATR	SMA20	SMA50	SMA200	52W High	52W Low	RSI	Change from Open	Gap	Fwd P/E	PEG	P/S	P/B	P/C	P/FCF	EPS This Y	EPS Next Y	EPS Past 5Y	EPS Next 5Y	Sales Past 5Y	Price_Over_15	Market_Cap_Over_500m	Avg_Volume_Over_100k	Price_Above_SMA50	Price_Above_SMA200	Pct_Above_Low_Over_30%	Pct_Below_High_Under_20%	EPS_This_Y_Positive	EPS_Next_Y_Positive	EPS_Past_5Y_Positive	EPS_Next_5Y_Positive	Sales_Past_5Y_Positive	Run_Day	Investor_Score
MU	419870000000.0	0.0013	0.15130000000000002	0.2255	16.85%	2.46	1.78	0.2	0.21	0.45530000000000004	0.3292	0.2815	Dec 17/a	373.05	-0.0273	35202566.0	Micron Technology Inc	Technology	Semiconductors	USA	35.46	1.51	24.91	-0.0408	0.16649999999999998	0.9876999999999999	-0.18100000000000002	5.0619	50.99	-0.009399999999999999	-0.018000000000000002	8.38	0.11	9.92	7.14	40.69	90.26	2.9896	0.3454	0.2619	0.7661	0.1176	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-10	100
KGC	41420000000.0	0.0036	0.1537	0.2409	19.09%	2.83	1.68	0.16	0.16	0.4301	0.4007	0.273	Feb 18/a	34.31	0.011200000000000002	6950618.0	Kinross Gold Corp	Basic Materials	Gold	Canada	23.94	0.76	1.81	-0.006500000000000001	0.1067	0.5359	-0.12269999999999999	2.3246	54.97	0.0091	0.0021	11.64	0.17	6.43	5.22	23.86	18.93	1.5644	0.691	0.06280000000000001	0.6716	0.08039999999999999	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-10	100
NVDA	4582910000000.0	0.0002	0.7715000000000001	1.0735999999999999	77.27%	4.47	3.71	0.08	0.09	0.7005	0.5884	0.5301	Feb 25/a	188.6	-0.0076	135995512.0	NVIDIA Corp	Technology	Semiconductors	USA	46.71	2.32	6.53	0.018799999999999997	0.025099999999999997	0.106	-0.1112	1.1773	53.8	-0.0146	0.0072	24.37	0.49	24.49	38.55	75.62	59.27	0.5656	0.6531999999999999	0.9183	0.4941	0.6424	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-10	100
AGI	18970000000.0	0.0022	0.0955	0.1427	12.52%	1.72	1.33	0.07	0.07	0.4875	0.4301	0.3346	Feb 18/a	45.18	0.030299999999999997	3970284.0	Alamos Gold Inc	Basic Materials	Gold	Canada	35.44	0.62	2.41	0.0969	0.14	0.4219	0.0	1.0504	60.63	0.032	-0.0016	16.51	0.28	11.79	4.71	37.24	80.93	0.78	0.8978	0.2311	0.6002000000000001	0.1454	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-10	90
AEM	106380000000.0	0.0069	0.1103	0.1567	14.48%	2.12	1.31	0.01	0.01	0.5305	0.4975	0.3262	Feb 12/a	211.89	0.0098	2032285.0	Agnico Eagle Mines Ltd	Basic Materials	Gold	Canada	30.95	0.65	9.31	0.0356	0.1373	0.4035	-0.0583	1.3004	59.58	0.005699999999999999	0.004	16.06	0.34	10.07	4.53	44.87	29.14	0.9390000000000001	0.6087	0.1368	0.4725	0.2713	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-10	90
FNV	49160000000.0	0.006	0.1331	0.1417	13.13%	4.64	4.63	0.0	0.0	0.7199	0.6908	0.5951	Nov 03/a	255.01	0.0269	718839.0	Franco-Nevada Corporation	Basic Materials	Gold	Canada	53.48	0.49	10.8	0.0337	0.13	0.3247	-0.0678	0.8606999999999999	59.99	0.0296	-0.0026	30.67	0.68	31.8	7.02	207.69		0.6829999999999999	0.5392	0.09380000000000001	0.45399999999999996	0.057	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-10	90
EVR	14010000000.0	0.0097	0.1323	0.3139	20.90%	2.71	2.71	0.33	0.33	0.9884000000000001	0.21239999999999998	0.15259999999999999	Feb 04/b	362.18	0.006999999999999999	448790.0	Evercore Inc	Financial	Capital Markets	USA	25.87	1.56	14.38	-0.0005	0.030299999999999997	0.1877	-0.0683	1.4368	53.36	0.001	0.006	15.48	0.64	3.61	7.72	10.01	13.53	0.2709	0.2641	0.113	0.2427	0.1118	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-10	90
WPM	65650000000.00001	0.0045000000000000005	0.1267	0.1305	12.37%	8.09	8.09	0.0	0.0	0.6851999999999999	0.6409	0.5472	Nov 06/a	144.6	0.0127	1870974.0	Wheaton Precious Metals Corp	Basic Materials	Gold	Canada	65.63	0.54	7.04	0.0308	0.1458	0.40049999999999997	-0.0983	1.1764000000000001	58.13	0.0187	-0.0059	30.84	0.57	35.87	8.11	56.71	94.47	0.9892	0.6717	0.433	0.5390999999999999	0.0832	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-10	90
RGLD	23900000000.0	0.0066	0.12359999999999999	0.149	11.49%	2.89	2.68	0.23	0.23	0.7159	0.6687000000000001	0.5597	Feb 18/a	283.23	0.0144	702739.0	Royal Gold, Inc	Basic Materials	Gold	USA	38.83	0.5	12.05	0.033	0.1677	0.45439999999999997	-0.07519999999999999	0.9813	61.02	0.015700000000000002	-0.0013	22.66	0.58	27.87	5.47	138.29		0.5284	0.5549000000000001	0.2865	0.39020000000000005	0.11199999999999999	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-10	90
LRCX	282850000000.0	0.0045000000000000005	0.3014	0.6556000000000001	44.78%	2.26	1.61	0.37	0.44	0.498	0.33759999999999996	0.30219999999999997	Jan 28/a	226.5	-0.0121	7894556.0	Lam Research Corp	Technology	Semiconductor Equipment & Materials	USA	46.42	1.78	12.39	0.0038	0.1604	0.7118000000000001	-0.1007	3.0217	55.4	-0.0121	0.0	32.33	1.3	13.76	27.93	45.76	45.51	0.2847	0.3172	0.2242	0.249	0.1292	True	True	True	True	True	True	True	True	True	True	True	True	2026-02-10	85
